,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,dnf_id,yay_id
13,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-06-16 00:43:28.000000,2022-06-09 10:15:08,5820,123.0,7866.0,928.0,3564.0,253.0,4175.0,22862,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",565.0,43,True,2022-05-09 09:08:07,1.6.1,42.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,32278.0,32278.0,https://pypi.org/project/xgboost,10111704.0,10154727.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2707785.0,,,,,1.0,4322.0,,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-06-16 14:08:50.000000,2022-06-16 05:46:50,13013,1215.0,3545.0,427.0,15246.0,2249.0,8085.0,20934,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",709.0,43,True,2022-06-09 17:15:12,ray-1.13.0,58.0,ray,conda-forge/ray-tune,,,,5044.0,5044.0,https://pypi.org/project/ray,1257731.0,1259649.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,34526.0,,,,,1.0,,,,,,,,,,,,,,,
15,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2022-06-16 08:09:50.000000,2022-06-15 15:14:47,11952,103.0,4139.0,473.0,2622.0,488.0,4198.0,19520,Asynchronous task queue/job queue based on distributed message passing.,1220.0,43,False,2022-05-29 12:59:05,5.2.7,35.0,celery,conda-forge/celery,,,,70945.0,70945.0,https://pypi.org/project/celery,5967092.0,5978564.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,860412.0,,,,,1.0,,,,,,,,,,,,,,,
16,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-06-16 12:56:23.000000,2022-06-16 12:50:24,7031,367.0,2368.0,225.0,6260.0,406.0,4581.0,18712,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",686.0,43,True,2022-06-01 14:32:40,1.6.4,89.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],9516.0,9516.0,https://pypi.org/project/pytorch-lightning,4149722.0,4168985.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-06-07 13:19:15.354,457559.0,,,,,1.0,6973.0,,Lightning-AI/lightning,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-06-16 11:15:20.000000,2022-06-16 01:08:30,11916,1077.0,1630.0,268.0,6737.0,923.0,2306.0,17981,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",409.0,43,True,2022-05-16 19:13:26,jax-v0.3.13,45.0,jax,conda-forge/jaxlib,,,,4614.0,4614.0,https://pypi.org/project/jax,546848.0,556452.0,https://anaconda.org/conda-forge/jaxlib,2022-05-25 09:41:31.539,336173.0,,,,,1.0,,,,,,,,,,,,,,,
18,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-06-13 20:10:39.000000,2022-06-13 20:10:39,14304,54.0,2484.0,471.0,1360.0,221.0,1402.0,10811,Suite of libraries and programs for symbolic and statistical natural language processing for English.,424.0,43,True,,,14.0,nltk,conda-forge/nltk,,,,145619.0,145619.0,https://pypi.org/project/nltk,13842590.0,13861089.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1294934.0,,,,,1.0,,,,,,,,,,,,,,,
19,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-06-16 12:15:38.000000,2022-06-16 10:46:21,2959,145.0,1536.0,247.0,825.0,79.0,1957.0,9516,Statistical data visualization in Python.,167.0,43,True,2021-08-16 00:39:03,0.11.2,26.0,seaborn,conda-forge/seaborn,,,,163475.0,163475.0,https://pypi.org/project/seaborn,9973734.0,10030527.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,3975418.0,,,,,1.0,219.0,,,,,,,,,,,,,,
20,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-06-15 13:32:08.000000,2022-06-14 12:11:58,14606,82.0,2342.0,263.0,3567.0,2215.0,2527.0,7458,Statsmodels: statistical modeling and econometrics in Python.,376.0,43,True,2022-02-08 18:06:37,0.13.2,20.0,statsmodels,conda-forge/statsmodels,,,,64772.0,64772.0,https://pypi.org/project/statsmodels,11451077.0,11539134.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6340161.0,,,,,1.0,26.0,,,,,,,,,,,,,,
21,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-06-16 12:01:02.000000,2022-06-15 11:33:22,5063,84.0,1458.0,191.0,4102.0,522.0,1125.0,5880,TensorFlows Visualization Toolkit.,278.0,43,True,2022-06-13 11:14:01,2.9.1,42.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],111978.0,111978.0,https://pypi.org/project/tensorboard,16202863.0,16257282.0,https://anaconda.org/conda-forge/tensorboard,2022-06-12 14:07:22.031,2993090.0,,,,,1.0,,,,,,,,,,,,,,,
22,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-06-16 13:29:13.000000,2022-06-16 13:29:13,1648,101.0,7347.0,993.0,1300.0,18.0,1571.0,27826,A toolkit for developing and comparing reinforcement learning algorithms.,362.0,42,True,2022-06-07 13:51:45,0.24.1,13.0,gym,conda-forge/gym,,,,30089.0,30089.0,https://pypi.org/project/gym,571373.0,575782.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,114642.0,,,,,1.0,,,,,,,,,,,,,,,
23,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-06-16 11:31:51.000000,2022-06-16 00:45:02,2275,214.0,2462.0,250.0,468.0,1367.0,596.0,16623,A game theoretic approach to explain the output of any machine learning model.,204.0,42,True,2022-06-16 00:31:04,0.41.0,47.0,shap,conda-forge/shap,,,,5624.0,5624.0,https://pypi.org/project/shap,4544873.0,4571605.0,https://anaconda.org/conda-forge/shap,2022-01-23 08:45:26.945,1229685.0,,,,,1.0,,2.0,,,,,,,,,,,,,
24,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-06-16 05:42:14.000000,2022-06-14 19:50:26,2991,87.0,3449.0,450.0,2594.0,195.0,2497.0,13890,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",259.0,42,True,2022-01-07 14:53:52,3.3.2,24.0,lightgbm,conda-forge/lightgbm,,,,13628.0,13628.0,https://pypi.org/project/lightgbm,7422493.0,7442802.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1051422.0,,,,,2.0,154373.0,,,,,,,,,,,,,,
25,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-06-11 18:04:24.000000,2022-05-06 00:53:28,4383,64.0,4002.0,431.0,1606.0,352.0,1393.0,13268,Topic Modelling for Humans.,430.0,42,True,2022-05-01 08:38:45,4.2.0,41.0,gensim,conda-forge/gensim,,,,33963.0,33963.0,https://pypi.org/project/gensim,6908860.0,6923226.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,816146.0,,,,,1.0,3828.0,,,,,,,,,,,,,,
26,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-06-16 14:22:00.000000,2022-06-16 14:21:56,4126,134.0,1713.0,1737.0,3893.0,144.0,2292.0,9895,WebGL2 powered visualization framework.,198.0,42,True,2022-06-06 23:20:59,8.7.11,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],4185.0,4185.0,https://pypi.org/project/pydeck,911060.0,1199414.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,119836.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,284075.0,,,,,,,,,
27,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2022-06-16 13:20:56.000000,2022-06-15 21:00:45,51084,543.0,3589.0,284.0,11570.0,3897.0,7965.0,9313,A computer algebra system written in pure Python.,1150.0,42,False,2022-03-20 11:58:15,sympy-1.10.1,40.0,sympy,conda-forge/sympy,,,,43033.0,43033.0,https://pypi.org/project/sympy,1767821.0,1801161.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2123777.0,,,,,1.0,454584.0,,,,,,,,,,,,,,
28,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2022-06-16 14:05:47.000000,2022-06-16 14:05:47,13225,103.0,1933.0,186.0,3771.0,421.0,1840.0,4938,Image processing in Python.,558.0,42,False,2022-06-12 18:12:41,0.19.3,20.0,scikit-image,conda-forge/scikit-image,,,,105460.0,105460.0,https://pypi.org/project/scikit-image,9037214.0,9085760.0,https://anaconda.org/conda-forge/scikit-image,2022-06-15 05:10:24.990,3543894.0,,,,,1.0,,,,,,,,,,,,,,,
29,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-06-16 14:07:38.000000,2022-06-16 11:32:22,16496,1077.0,10357.0,744.0,17080.0,729.0,4929.0,26700,"Platform to programmatically author, schedule, and monitor workflows.",2433.0,41,True,2022-06-04 14:19:24,2.3.2,50.0,apache-airflow,conda-forge/airflow,apache/airflow,,,,,https://pypi.org/project/apache-airflow,6671313.0,7550807.0,https://anaconda.org/conda-forge/airflow,2022-06-04 17:38:17.887,640863.0,https://hub.docker.com/r/apache/airflow,2022-06-15 16:29:30.023461,347.0,74413887.0,1.0,304416.0,,,,,,stable/airflow,,,,,,,,
30,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-06-16 10:58:06.000000,2022-06-14 00:00:14,2368,198.0,7052.0,617.0,2075.0,102.0,1497.0,22389,The fastai deep learning library.,204.0,41,True,2022-05-01 02:02:21,2.6.3,39.0,fastai,,,,['pytorch'],10444.0,10444.0,https://pypi.org/project/fastai,292639.0,292639.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,
31,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-06-16 13:59:04.000000,2022-06-16 13:42:39,36096,1478.0,4416.0,728.0,28659.0,2072.0,12769.0,18365,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,759.0,41,True,2022-05-13 08:03:36,2.3.0,54.0,paddlepaddle,,,,['paddle'],121.0,121.0,https://pypi.org/project/paddlepaddle,97932.0,98150.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,
32,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-15 20:16:45.000000,2022-06-15 20:16:39,19562,50.0,3856.0,455.0,5170.0,694.0,6215.0,16376,"Interactive Data Visualization in the browser, from Python.",606.0,41,True,,,45.0,bokeh,conda-forge/bokeh,,,,52360.0,52360.0,https://pypi.org/project/bokeh,2792945.0,2914737.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7551129.0,,,,,1.0,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-06-16 14:16:53.000000,2022-06-15 19:03:57,1975,65.0,2715.0,427.0,2249.0,204.0,1736.0,12707,Open standard for machine learning interoperability.,237.0,41,True,2022-02-17 21:58:59,1.11.0,21.0,onnx,conda-forge/onnx,,,,7166.0,7166.0,https://pypi.org/project/onnx,1165298.0,1173438.0,https://anaconda.org/conda-forge/onnx,2022-04-24 20:16:13.541,430431.0,,,,,1.0,17628.0,,,,,,,,,,,,,,
34,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2022-06-16 12:52:51.000000,2022-06-16 09:46:33,6925,182.0,2548.0,273.0,2758.0,175.0,2577.0,10856,Network Analysis in Python.,599.0,41,False,2022-06-14 04:02:03,networkx-2.8.4,43.0,networkx,conda-forge/networkx,,,,110046.0,110046.0,https://pypi.org/project/networkx,21014427.0,21113596.0,https://anaconda.org/conda-forge/networkx,2022-06-14 14:05:11.499,6743503.0,,,,,1.0,60.0,,,,,,,,,,,,,,
35,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-06-16 07:05:27.000000,2022-06-14 09:08:00,7233,166.0,1460.0,223.0,4687.0,649.0,3668.0,9991,Parallel computing with task scheduling.,539.0,41,True,,,121.0,dask,conda-forge/dask,,,,37552.0,37552.0,https://pypi.org/project/dask,6265590.0,6344841.0,https://anaconda.org/conda-forge/dask,2022-06-11 00:24:06.072,5785385.0,,,,,1.0,,,,,,,stable/dask,,,,,,,,
36,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-06-16 07:08:00.000000,2022-06-15 22:50:30,7053,397.0,18248.0,1946.0,5330.0,257.0,11071.0,55445,Deep Learning for humans.,1071.0,40,True,2022-05-13 20:03:15,2.9.0,39.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,11141891.0,11175116.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2325799.0,,,,,2.0,,,,,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-06-16 13:02:42.000000,2022-06-16 10:10:40,13066,1089.0,703.0,127.0,2490.0,112.0,1076.0,6533,A hyperparameter optimization framework.,199.0,40,True,2022-06-13 05:38:25,2.10.1,47.0,optuna,conda-forge/optuna,,,,3505.0,3505.0,https://pypi.org/project/optuna,4371475.0,4380616.0,https://anaconda.org/conda-forge/optuna,2021-10-04 08:58:48.864,283372.0,,,,,1.0,,3.0,,,,,,,,,,,,,
38,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2022-06-16 14:04:03.000000,2022-06-16 13:58:09,7627,423.0,1888.0,179.0,3351.0,43.0,1489.0,14941,Build cross-modal and multi-modal applications on the cloud.,149.0,39,True,2022-06-13 18:40:19,3.6.3,100.0,jina,conda-forge/jina-core,jinaai/jina,,,300.0,300.0,https://pypi.org/project/jina,76555.0,115633.0,https://anaconda.org/conda-forge/jina-core,2022-04-22 14:11:20.474,7316.0,https://hub.docker.com/r/jinaai/jina,2022-06-16 12:35:32.506744,7.0,1071470.0,2.0,,,,,,,,,,,,,,,
39,dask.distributed,dask/distributed,distributed-ml,,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000,2022-06-16 14:12:41.000000,2022-06-16 13:24:50,4707,279.0,609.0,59.0,3763.0,907.0,1852.0,1371,A distributed task scheduler for Dask.,276.0,39,True,,,141.0,distributed,conda-forge/distributed,,,,23845.0,23845.0,https://pypi.org/project/distributed,4819469.0,4917041.0,https://anaconda.org/conda-forge/distributed,2022-06-10 23:03:47.479,7122788.0,,,,,1.0,,,,,,,,,,,,,,,
40,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2022-06-16 13:52:07.000000,2022-06-16 05:21:58,4967,675.0,4570.0,368.0,1968.0,1064.0,3557.0,22734,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages..",105.0,38,True,2022-05-09 11:48:13,2.5.0,5.0,paddleocr,,,,['paddle'],679.0,679.0,https://pypi.org/project/paddleocr,60353.0,60353.0,,,,,,,,1.0,,,,,,,,,,,,,,,
41,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-06-16 08:44:09.000000,2022-06-13 16:50:51,4751,122.0,1736.0,266.0,2333.0,581.0,1877.0,19559,Streamlit The fastest way to build data apps in Python.,141.0,38,True,2022-06-02 17:46:00,1.10.0,39.0,streamlit,,,,,319.0,319.0,https://pypi.org/project/streamlit,943656.0,943656.0,,,,,,,,1.0,,,,,,,,,,,,,,,
