,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
11,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-10-13 14:14:50.000000,2022-10-13 14:14:26,52615,4084.0,16056.0,1613.0,57918.0,9516.0,19268.0,59549,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3582.0,44,True,2022-08-05 19:35:19,1.12.1,41.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,8251563.0,9789022.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,19985742.0,,,,,1.0,6972.0,,,,,,,,,,,,,,
12,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-10-13 10:22:17.000000,2022-10-12 13:17:40,15626,81.0,3855.0,552.0,3352.0,79.0,5166.0,24371,Industrial-strength Natural Language Processing (NLP) in Python.,701.0,44,True,2022-07-26 13:08:23,3.4.1,100.0,spacy,conda-forge/spacy,,,,44190.0,44190.0,https://pypi.org/project/spacy,4284878.0,4326148.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2803436.0,,,,,1.0,3146.0,,,,,,,,,,,,,,
13,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-10-13 12:27:06.000000,2022-10-13 09:26:42,14571,1180.0,3836.0,427.0,17440.0,2479.0,9119.0,22316,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,766.0,44,True,2022-08-23 04:57:08,ray-2.0.0,59.0,ray,conda-forge/ray-tune,,,,6072.0,6072.0,https://pypi.org/project/ray,2149350.0,2152340.0,https://anaconda.org/conda-forge/ray-tune,2022-09-08 16:00:53.758,65782.0,,,,,1.0,,,,,,,,,,,,,,,
14,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-10-13 13:28:44.000000,2022-10-13 13:03:45,5979,123.0,7932.0,927.0,3768.0,272.0,4290.0,23292,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",578.0,43,True,2022-08-23 13:05:54,1.6.2,43.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,37051.0,37051.0,https://pypi.org/project/xgboost,8300039.0,8347736.0,https://anaconda.org/conda-forge/xgboost,2022-10-12 09:50:00.304,3192401.0,,,,,1.0,5220.0,,,,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-10-13 14:06:51.000000,2022-10-12 22:16:31,13391,1115.0,1845.0,287.0,7791.0,894.0,2672.0,20553,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",460.0,43,True,2022-10-12 18:07:55,jax-v0.3.23,49.0,jax,conda-forge/jaxlib,,,,5745.0,5745.0,https://pypi.org/project/jax,579544.0,591433.0,https://anaconda.org/conda-forge/jaxlib,2022-10-12 11:08:14.415,463706.0,,,,,1.0,,,,,,,,,,,,,,,
16,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2022-10-12 15:26:36.000000,2022-10-12 07:04:06,12018,44.0,4200.0,477.0,2702.0,514.0,4239.0,20254,Asynchronous task queue/job queue based on distributed message passing.,1242.0,43,False,2022-08-01 11:20:41,5.3.0b1,37.0,celery,conda-forge/celery,,,,76995.0,76995.0,https://pypi.org/project/celery,6243112.0,6255534.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,981374.0,,,,,1.0,,,,,,,,,,,,,,,
17,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-10-12 07:40:01.000000,2022-10-04 07:04:07,14370,54.0,2523.0,472.0,1382.0,221.0,1430.0,11122,Suite of libraries and programs for symbolic and statistical natural language processing for English.,435.0,43,True,,,14.0,nltk,conda-forge/nltk,,,,158305.0,158305.0,https://pypi.org/project/nltk,11490052.0,11510584.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1519381.0,,,,,1.0,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2022-10-12 23:56:58.000000,2022-10-07 21:33:46,52191,656.0,3657.0,282.0,11833.0,3948.0,8131.0,9692,A computer algebra system written in pure Python.,1178.0,43,False,2022-08-30 17:24:48,sympy-1.11.1,43.0,sympy,conda-forge/sympy,,,,46902.0,46902.0,https://pypi.org/project/sympy,2763474.0,2799880.0,https://anaconda.org/conda-forge/sympy,2022-09-30 23:50:08.948,2478922.0,,,,,1.0,467743.0,,,,,,,,,,,,,,
19,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-10-13 14:30:19.000000,2022-10-12 11:27:13,5211,115.0,1486.0,191.0,4269.0,544.0,1141.0,5994,TensorFlows Visualization Toolkit.,288.0,43,True,2022-09-26 15:14:27,2.10.1,44.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],126557.0,126557.0,https://pypi.org/project/tensorboard,17689664.0,17746481.0,https://anaconda.org/conda-forge/tensorboard,2022-09-27 00:28:15.265,3352222.0,,,,,1.0,,,,,,,,,,,,,,,
20,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-10-06 11:28:03.000000,2022-10-04 16:38:12,1754,68.0,7524.0,993.0,1429.0,30.0,1660.0,28781,A toolkit for developing and comparing reinforcement learning algorithms.,383.0,42,True,2022-10-04 16:39:12,0.26.2,19.0,gym,conda-forge/gym,,,,32878.0,32878.0,https://pypi.org/project/gym,1005443.0,1010473.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,150907.0,,,,,1.0,,,,,,,,,,,,,,,
21,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-10-13 07:10:53.000000,2022-10-12 01:53:01,3109,87.0,3523.0,451.0,2718.0,206.0,2606.0,14262,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",273.0,42,True,2022-10-10 18:03:31,3.3.3,25.0,lightgbm,conda-forge/lightgbm,,,,15703.0,15703.0,https://pypi.org/project/lightgbm,7405531.0,7427979.0,https://anaconda.org/conda-forge/lightgbm,2022-10-11 02:19:22.986,1255173.0,,,,,1.0,166695.0,,,,,,,,,,,,,,
22,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-10-13 13:42:59.000000,2022-10-12 05:22:47,4228,65.0,1774.0,1734.0,3998.0,152.0,2361.0,10260,WebGL2 powered visualization framework.,207.0,42,True,2022-10-12 03:17:41,8.8.13,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],4741.0,4741.0,https://pypi.org/project/pydeck,868038.0,1220661.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,204285.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,346240.0,,,,,,,,,,,
23,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-10-13 07:47:07.000000,2022-10-11 17:21:44,14736,65.0,2406.0,271.0,3611.0,2264.0,2559.0,7809,Statsmodels: statistical modeling and econometrics in Python.,386.0,42,True,2022-02-08 18:06:37,0.13.2,20.0,statsmodels,conda-forge/statsmodels,,,,71101.0,71101.0,https://pypi.org/project/statsmodels,9228178.0,9326376.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,7463066.0,,,,,1.0,26.0,,,,,,,,,,,,,,
24,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2022-10-13 13:19:36.000000,2022-10-13 12:56:37,13300,62.0,1976.0,188.0,3864.0,439.0,1885.0,5080,Image processing in Python.,576.0,42,False,2022-06-12 18:12:41,0.19.3,20.0,scikit-image,conda-forge/scikit-image,,,,114739.0,114739.0,https://pypi.org/project/scikit-image,5203061.0,5255679.0,https://anaconda.org/conda-forge/scikit-image,2022-08-10 20:08:06.478,4051643.0,,,,,1.0,,,,,,,,,,,,,,,
25,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-10-13 13:50:18.000000,2022-10-13 02:57:58,7441,290.0,18307.0,1936.0,5623.0,257.0,11236.0,56380,Deep Learning for humans.,1115.0,41,True,2022-09-02 21:31:44,2.10.0,41.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,10021512.0,10056806.0,https://anaconda.org/conda-forge/keras,2022-09-04 01:30:22.305,2611811.0,,,,,2.0,,,,,,,,,,,,,,,
26,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-10-13 14:07:00.000000,2022-10-13 11:20:09,17677,883.0,10951.0,760.0,18497.0,695.0,5542.0,28204,"Platform to programmatically author, schedule, and monitor workflows.",2573.0,41,True,2022-09-30 20:44:00,2.4.1,54.0,apache-airflow,conda-forge/airflow,apache/airflow,,,,,https://pypi.org/project/apache-airflow,10812081.0,11803752.0,https://anaconda.org/conda-forge/airflow,2022-09-30 23:25:12.051,744811.0,https://hub.docker.com/r/apache/airflow,2022-10-01 16:42:37.005281,392.0,87840152.0,1.0,362250.0,,,,stable/airflow,,,,,,,,,,
27,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-10-13 14:15:08.000000,2022-10-13 13:30:38,37992,1468.0,4576.0,736.0,31457.0,2028.0,13410.0,19005,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,837.0,41,True,2022-08-16 08:23:49,2.3.2,56.0,paddlepaddle,,,,['paddle'],144.0,144.0,https://pypi.org/project/paddlepaddle,68802.0,69009.0,,,,,,,,2.0,15321.0,,,,,,,,,,,,,,
28,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-10-13 14:31:39.000000,2022-10-12 23:53:54,2075,80.0,2988.0,427.0,2395.0,249.0,1839.0,13395,Open standard for machine learning interoperability.,255.0,41,True,2022-06-18 02:58:18,1.12.0,22.0,onnx,conda-forge/onnx,,,,8681.0,8681.0,https://pypi.org/project/onnx,1857571.0,1866986.0,https://anaconda.org/conda-forge/onnx,2022-09-26 01:58:13.778,537825.0,,,,,1.0,18006.0,,,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2022-10-13 12:45:55.000000,2022-10-12 20:15:33,7053,66.0,2652.0,278.0,2904.0,182.0,2645.0,11673,Network Analysis in Python.,618.0,41,False,2022-10-01 20:50:01,networkx-2.8.7,47.0,networkx,conda-forge/networkx,,,,120461.0,120461.0,https://pypi.org/project/networkx,18128886.0,18245517.0,https://anaconda.org/conda-forge/networkx,2022-10-01 23:32:58.825,8397457.0,,,,,1.0,60.0,,,,,,,,,,,,,,
30,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-10-13 14:07:37.000000,2022-10-12 00:09:07,7391,120.0,1503.0,221.0,4882.0,685.0,3798.0,10389,Parallel computing with task scheduling.,562.0,41,True,,,129.0,dask,conda-forge/dask,,,,40566.0,40566.0,https://pypi.org/project/dask,5818384.0,5907610.0,https://anaconda.org/conda-forge/dask,2022-10-01 02:48:44.071,6870462.0,,,,,1.0,,,,,stable/dask,,,,,,,,,,
31,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2022-10-13 14:11:49.000000,2022-10-13 13:19:49,12839,2284.0,999.0,152.0,3880.0,596.0,2201.0,10216,The easiest way to coordinate your dataflow.,79.0,41,True,2022-10-06 17:44:28,2.5.0,125.0,prefect,conda-forge/prefect,,,,1255.0,1255.0,https://pypi.org/project/prefect,469877.0,477663.0,https://anaconda.org/conda-forge/prefect,2022-10-07 16:10:27.506,334811.0,,,,,1.0,,,,,,4.0,,,,,,,,,
32,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-10-07 20:45:22.000000,2022-10-07 20:45:22,2558,131.0,7106.0,608.0,2130.0,107.0,1560.0,22862,The fastai deep learning library.,223.0,40,True,2022-08-02 19:19:53,2.7.8,46.0,fastai,,,,['pytorch'],11275.0,11275.0,https://pypi.org/project/fastai,270243.0,270243.0,,,,,,,,2.0,,,,,,,,,,,,,,,
33,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-10-13 10:36:46.000000,2022-10-13 09:22:01,5009,221.0,1864.0,275.0,2694.0,524.0,2229.0,20949,Streamlit The fastest way to build data apps in Python.,154.0,40,True,2022-09-22 17:18:41,1.13.0,45.0,streamlit,,,,,433.0,433.0,https://pypi.org/project/streamlit,898027.0,898027.0,,,,,,,,1.0,,,,,,,,,,,,,,,
34,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2022-10-13 14:36:17.000000,2022-10-07 12:47:20,6424,136.0,1711.0,406.0,819.0,660.0,703.0,17472,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",126.0,40,True,2022-09-23 14:50:19,2.6.2,86.0,dash,conda-forge/dash,,,,35872.0,35872.0,https://pypi.org/project/dash,1144696.0,1157043.0,https://anaconda.org/conda-forge/dash,2022-09-24 00:38:13.848,654396.0,,,,,1.0,,,,,,,,,,,,,,,
35,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-10-02 15:05:30.000000,2022-10-02 15:05:30,4391,8.0,4048.0,434.0,1625.0,362.0,1402.0,13603,Topic Modelling for Humans.,431.0,40,True,2022-05-01 08:38:45,4.2.0,41.0,gensim,conda-forge/gensim,,,,36996.0,36996.0,https://pypi.org/project/gensim,4874857.0,4889571.0,https://anaconda.org/conda-forge/gensim,2022-07-29 07:43:10.680,894778.0,,,,,1.0,3831.0,,,,,,,,,,,,,,
36,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-10-13 09:11:06.000000,2022-10-13 06:26:10,14014,480.0,754.0,123.0,2720.0,87.0,1194.0,7027,A hyperparameter optimization framework.,205.0,40,True,2022-10-11 07:16:18,3.0.3,52.0,optuna,conda-forge/optuna,,,,4387.0,4387.0,https://pypi.org/project/optuna,1853431.0,1863049.0,https://anaconda.org/conda-forge/optuna,2022-10-13 04:36:59.724,336641.0,,,,,1.0,,,,,,,,,,,,,,,
37,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/rwightman/pytorch-image-models,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2022-10-12 17:08:19.000000,2022-10-12 17:08:19,1552,113.0,3458.0,288.0,262.0,59.0,533.0,21334,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision..",80.0,39,True,2022-10-03 21:44:35,0.6.11,36.0,timm,conda-forge/timm,,,['pytorch'],5071.0,5071.0,https://pypi.org/project/timm,1360988.0,1412806.0,https://anaconda.org/conda-forge/timm,2021-06-30 20:44:15.682,31494.0,,,,,1.0,2076744.0,,,,,,,,,,,,,,
38,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-10-05 04:21:22.000000,2022-06-16 14:46:20,2277,,2603.0,257.0,487.0,1445.0,618.0,17674,A game theoretic approach to explain the output of any machine learning model.,205.0,39,True,2022-06-16 00:31:04,0.41.0,47.0,shap,conda-forge/shap,,,,6879.0,6879.0,https://pypi.org/project/shap,3801081.0,3831886.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1540272.0,,,,,1.0,,,,,,,,,,,,,,,
39,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-10-13 01:39:38.000000,2022-10-11 05:45:45,19789,194.0,3897.0,451.0,5349.0,669.0,6342.0,16772,"Interactive Data Visualization in the browser, from Python.",619.0,39,True,,,45.0,bokeh,conda-forge/bokeh,,,,157.0,157.0,https://pypi.org/project/bokeh,3181385.0,3315388.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8844221.0,,,,,1.0,,,,,,,,,,,,,,,
40,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2022-10-13 14:20:47.000000,2022-10-11 15:30:31,7936,239.0,1937.0,183.0,3559.0,32.0,1633.0,16276,Build cross-modal and multimodal applications on the cloud Neural Search Creative AI Cloud Native MLOps.,156.0,39,True,2022-10-06 15:06:28,3.10.1,100.0,jina,conda-forge/jina-core,jinaai/jina,,,368.0,368.0,https://pypi.org/project/jina,68516.0,105682.0,https://anaconda.org/conda-forge/jina-core,2022-08-16 02:48:28.481,26971.0,https://hub.docker.com/r/jinaai/jina,2022-10-11 15:53:38.336182,7.0,1122946.0,2.0,,,,,,,,,,,,,,,
41,pandas-profiling,ydataai/pandas-profiling,data-viz,,https://github.com/ydataai/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-10-11 17:17:08.000000,2022-10-10 10:55:03,1123,107.0,1361.0,154.0,485.0,121.0,484.0,9711,Create HTML profiling reports from pandas DataFrame objects.,96.0,39,True,2022-09-07 14:31:12,3.3.0,33.0,pandas-profiling,conda-forge/pandas-profiling,,,"['jupyter', 'pandas']",9261.0,9261.0,https://pypi.org/project/pandas-profiling,1132671.0,1136630.0,https://anaconda.org/conda-forge/pandas-profiling,2022-09-13 12:49:40.455,293037.0,,,,,1.0,,,,,,,,,,,,,,,
