,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,dnf_id,yay_id
13,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-09-08 12:09:16.000000,2022-09-08 00:29:25,5920.0,100.0,7913.0,928.0,3705.0,272.0,4249.0,23161.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",576.0,43,True,2022-08-23 13:05:54,1.6.2,43.0,xgboost,conda-forge/xgboost,,5079.0,8355346.0,35706.0,35706.0,https://pypi.org/project/xgboost,8309871.0,https://anaconda.org/conda-forge/xgboost,2022-09-01 17:07:10.599,2998159.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,
14,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-09-08 14:08:22.000000,2022-09-08 12:26:02,12972.0,1123.0,1789.0,287.0,7493.0,850.0,2602.0,20139.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",443.0,43,True,2022-08-31 18:23:45,jax-v0.3.17,47.0,jax,conda-forge/jaxlib,,,634602.0,5435.0,5435.0,https://pypi.org/project/jax,623529.0,https://anaconda.org/conda-forge/jaxlib,2022-08-25 23:05:09.618,420808.0,1.0,,,,,,,,,,,,,,,,,,,,
15,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-09-07 08:07:55.000000,2022-09-05 12:06:05,14348.0,49.0,2513.0,471.0,1378.0,217.0,1425.0,11032.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,434.0,43,True,,,14.0,nltk,conda-forge/nltk,,,11289857.0,154696.0,154696.0,https://pypi.org/project/nltk,11269959.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1452595.0,1.0,,,,,,,,,,,,,,,,,,,,
16,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-09-08 04:10:15.000000,2022-09-07 23:14:43,5179.0,119.0,1477.0,190.0,4229.0,535.0,1138.0,5979.0,TensorFlows Visualization Toolkit.,286.0,43,True,2022-08-10 19:44:48,2.10.0,43.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,15348841.0,122455.0,122455.0,https://pypi.org/project/tensorboard,15293005.0,https://anaconda.org/conda-forge/tensorboard,2022-09-04 18:30:04.851,3238507.0,1.0,,,,,,,,,,,,,,,,,,,,
17,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-09-08 13:59:15.000000,2022-09-08 13:59:15,1740.0,98.0,7465.0,993.0,1413.0,24.0,1633.0,28477.0,A toolkit for developing and comparing reinforcement learning algorithms.,378.0,42,True,2022-09-06 18:23:48,0.26.0,17.0,gym,conda-forge/gym,,,693878.0,32103.0,32103.0,https://pypi.org/project/gym,688996.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,141581.0,1.0,,,,,,,,,,,,,,,,,,,,
18,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2022-09-07 15:51:54.000000,2022-09-07 15:51:53,12001.0,54.0,4185.0,473.0,2683.0,508.0,4231.0,20028.0,Asynchronous task queue/job queue based on distributed message passing.,1238.0,42,False,2022-08-01 11:20:41,5.3.0b1,37.0,celery,conda-forge/celery,,,5967631.0,75261.0,75261.0,https://pypi.org/project/celery,5955523.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,944426.0,1.0,,,,,,,,,,,,,,,,,,,,
19,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-09-08 14:26:42.000000,2022-09-08 13:59:07,4205.0,101.0,1752.0,1735.0,3972.0,148.0,2347.0,10153.0,WebGL2 powered visualization framework.,205.0,42,True,2022-08-22 17:07:27,8.8.9,100.0,pydeck,conda-forge/pydeck,['jupyter'],,1143923.0,4586.0,4586.0,https://pypi.org/project/pydeck,806509.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,176466.0,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,331722.0,,,,,,,,,,,,,,,,
20,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2022-09-08 14:05:49.000000,2022-09-08 14:05:48,51983.0,853.0,3634.0,281.0,11791.0,3924.0,8095.0,9585.0,A computer algebra system written in pure Python.,1169.0,42,False,2022-08-30 17:24:48,sympy-1.11.1,43.0,sympy,conda-forge/sympy,,462577.0,2635031.0,45800.0,45800.0,https://pypi.org/project/sympy,2599769.0,https://anaconda.org/conda-forge/sympy,2022-08-23 23:56:28.223,2360368.0,1.0,,,,,,,,,,,,,,,,,,,,
21,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-08-27 04:03:39.000000,2022-08-27 04:03:39,14704.0,86.0,2392.0,270.0,3596.0,2246.0,2554.0,7726.0,Statsmodels: statistical modeling and econometrics in Python.,382.0,42,True,2022-02-08 18:06:37,0.13.2,20.0,statsmodels,conda-forge/statsmodels,,26.0,9126201.0,69171.0,69171.0,https://pypi.org/project/statsmodels,9031105.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,7132259.0,1.0,,,,,,,,,,,,,,,,,,,,
22,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2022-09-08 12:29:24.000000,2022-09-05 10:59:59,13262.0,46.0,1960.0,187.0,3815.0,437.0,1866.0,5036.0,Image processing in Python.,568.0,42,False,2022-06-12 18:12:41,0.19.3,20.0,scikit-image,conda-forge/scikit-image,,,5193244.0,111997.0,111997.0,https://pypi.org/project/scikit-image,5141997.0,https://anaconda.org/conda-forge/scikit-image,2022-08-10 20:08:06.478,3894834.0,1.0,,,,,,,,,,,,,,,,,,,,
23,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-09-07 23:43:34.000000,2022-09-07 23:43:29,7312.0,248.0,18300.0,1942.0,5510.0,252.0,11202.0,56097.0,Deep Learning for humans.,1101.0,41,True,2022-09-02 21:31:44,2.10.0,41.0,keras,conda-forge/keras,['tensorflow'],,8615237.0,,,https://pypi.org/project/keras,8580675.0,https://anaconda.org/conda-forge/keras,2022-09-04 01:30:22.305,2523030.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,
24,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-09-08 14:03:45.000000,2022-09-08 13:47:32,17356.0,917.0,10774.0,754.0,18063.0,696.0,5365.0,27763.0,"Platform to programmatically author, schedule, and monitor workflows.",2536.0,41,True,2022-08-23 14:41:06,2.3.4,52.0,apache-airflow,conda-forge/airflow,,344228.0,9944767.0,,,https://pypi.org/project/apache-airflow,8988101.0,https://anaconda.org/conda-forge/airflow,2022-09-02 16:16:59.596,707486.0,1.0,,,,,apache/airflow,stable/airflow,https://hub.docker.com/r/apache/airflow,2022-08-23 12:48:46.602165,384.0,83799141.0,,,,,,,,,,
25,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-09-08 13:59:04.000000,2022-09-08 13:21:27,37415.0,1403.0,4545.0,731.0,30515.0,2075.0,13202.0,18816.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,812.0,41,True,2022-08-16 08:23:49,2.3.2,56.0,paddlepaddle,,['paddle'],15320.0,85063.0,138.0,138.0,https://pypi.org/project/paddlepaddle,84854.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-09-07 07:08:54.000000,2022-06-16 14:46:20,2277.0,67.0,2575.0,255.0,479.0,1414.0,609.0,17408.0,A game theoretic approach to explain the output of any machine learning model.,205.0,41,True,2022-06-16 00:31:04,0.41.0,47.0,shap,conda-forge/shap,,,3513739.0,6521.0,6521.0,https://pypi.org/project/shap,3483854.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1464401.0,1.0,,,,,,,,,,,,,,,,,,,,
27,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2022-09-08 14:10:09.000000,2022-09-07 23:47:57,6360.0,200.0,1691.0,404.0,805.0,635.0,693.0,17276.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",123.0,41,True,2022-08-02 18:10:36,2.6.1,85.0,dash,conda-forge/dash,,,1057274.0,34952.0,34952.0,https://pypi.org/project/dash,1045604.0,https://anaconda.org/conda-forge/dash,2022-08-03 10:34:17.016,606873.0,1.0,,,,,,,,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-09-08 12:23:58.000000,2022-09-07 15:54:34,3084.0,98.0,3506.0,450.0,2689.0,196.0,2580.0,14152.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",269.0,41,True,2022-01-07 14:53:52,3.3.2,24.0,lightgbm,conda-forge/lightgbm,,163127.0,6452328.0,15136.0,15136.0,https://pypi.org/project/lightgbm,6430605.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1191268.0,1.0,,,,,,,,,,,,,,,,,,,,
29,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-09-08 14:03:52.000000,2022-09-07 23:42:18,2043.0,70.0,2910.0,430.0,2349.0,231.0,1810.0,13220.0,Open standard for machine learning interoperability.,251.0,41,True,2022-06-18 02:58:18,1.12.0,22.0,onnx,conda-forge/onnx,,17895.0,1703697.0,8245.0,8245.0,https://pypi.org/project/onnx,1694717.0,https://anaconda.org/conda-forge/onnx,2022-08-18 20:33:15.885,503311.0,1.0,,,,,,,,,,,,,,,,,,,,
30,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2022-09-08 13:20:24.000000,2022-09-06 22:04:39,7023.0,134.0,2616.0,275.0,2849.0,168.0,2638.0,11515.0,Network Analysis in Python.,614.0,41,False,2022-08-22 13:43:23,networkx-2.8.6,45.0,networkx,conda-forge/networkx,,60.0,19066774.0,117169.0,117169.0,https://pypi.org/project/networkx,18955049.0,https://anaconda.org/conda-forge/networkx,2022-08-22 18:30:33.145,7932485.0,1.0,,,,,,,,,,,,,,,,,,,,
31,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-09-08 13:46:55.000000,2022-09-07 15:10:13,7347.0,119.0,1491.0,222.0,4830.0,675.0,3766.0,10279.0,Parallel computing with task scheduling.,555.0,41,True,,,127.0,dask,conda-forge/dask,,,7403980.0,39704.0,39704.0,https://pypi.org/project/dask,7318810.0,https://anaconda.org/conda-forge/dask,2022-09-02 22:43:07.077,6472989.0,1.0,,,,,,stable/dask,,,,,,,,,,,,,,
32,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-09-08 09:14:35.000000,2022-09-08 07:22:26,13922.0,864.0,741.0,123.0,2670.0,76.0,1178.0,6889.0,A hyperparameter optimization framework.,204.0,41,True,2022-09-08 09:14:35,3.0.1,50.0,optuna,conda-forge/optuna,,,1508705.0,4136.0,4136.0,https://pypi.org/project/optuna,1499199.0,https://anaconda.org/conda-forge/optuna,2022-08-30 01:07:39.986,323222.0,1.0,,,,,,,,,,,4.0,,,,,,,,,
33,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-09-08 02:35:08.000000,2022-09-08 02:35:08,2514.0,153.0,7090.0,608.0,2112.0,112.0,1547.0,22720.0,The fastai deep learning library.,214.0,40,True,2022-08-02 19:19:53,2.7.8,46.0,fastai,,['pytorch'],,250115.0,11037.0,11037.0,https://pypi.org/project/fastai,250115.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
34,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-09-08 00:50:27.000000,2022-09-08 00:50:27,4390.0,7.0,4038.0,432.0,1622.0,361.0,1400.0,13507.0,Topic Modelling for Humans.,431.0,40,True,2022-05-01 08:38:45,4.2.0,41.0,gensim,conda-forge/gensim,,3831.0,4855615.0,36129.0,36129.0,https://pypi.org/project/gensim,4841049.0,https://anaconda.org/conda-forge/gensim,2022-07-29 07:43:10.680,871238.0,1.0,,,,,,,,,,,,,,,,,,,,
35,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2022-09-08 14:14:16.000000,2022-09-08 14:14:15,12448.0,2979.0,961.0,154.0,3634.0,543.0,2096.0,9992.0,The easiest way to coordinate your dataflow.,64.0,40,True,2022-09-07 20:52:33,1.3.1,120.0,prefect,conda-forge/prefect,,,392823.0,1150.0,1150.0,https://pypi.org/project/prefect,385267.0,https://anaconda.org/conda-forge/prefect,2022-09-07 21:01:14.656,317362.0,1.0,,,,,,,,,,,3.0,,,,,,,,,
36,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-09-08 08:08:03.000000,2022-09-08 08:08:03,4925.0,176.0,1824.0,274.0,2571.0,624.0,2045.0,20542.0,Streamlit The fastest way to build data apps in Python.,151.0,39,True,2022-08-26 00:36:51,1.12.2,44.0,streamlit,,,,824809.0,399.0,399.0,https://pypi.org/project/streamlit,824809.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2022-09-08 14:02:58.000000,2022-09-08 13:29:22,7867.0,265.0,1924.0,181.0,3490.0,32.0,1578.0,15927.0,Build cross-modal and multimodal applications on the cloud Neural Search Creative AI Cloud Native MLOps.,152.0,39,True,2022-09-08 11:53:55,3.9.0,100.0,jina,conda-forge/jina-core,,,125051.0,355.0,355.0,https://pypi.org/project/jina,87547.0,https://anaconda.org/conda-forge/jina-core,2022-08-16 02:48:28.481,22025.0,2.0,,,,,jinaai/jina,,https://hub.docker.com/r/jinaai/jina,2022-09-08 13:53:45.472405,7.0,1105769.0,,,,,,,,,,
38,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2022-09-05 12:30:00.000000,2022-08-23 02:54:34,3232.0,82.0,655.0,151.0,1015.0,216.0,1415.0,7734.0,Declarative statistical visualization library for Python.,138.0,39,True,2021-12-29 13:30:58,4.2.0,20.0,altair,conda-forge/altair,,,7527633.0,32504.0,32504.0,https://pypi.org/project/altair,7509465.0,https://anaconda.org/conda-forge/altair,2021-12-29 17:47:26.885,1344491.0,1.0,,,,,,,,,,,,,,,,,,,,
39,dask.distributed,dask/distributed,distributed-ml,,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000,2022-09-08 13:49:29.000000,2022-09-08 10:00:38,4904.0,211.0,624.0,59.0,4001.0,978.0,1975.0,1393.0,A distributed task scheduler for Dask.,286.0,39,True,,,147.0,distributed,conda-forge/distributed,,,5248342.0,24859.0,24859.0,https://pypi.org/project/distributed,5144708.0,https://anaconda.org/conda-forge/distributed,2022-09-02 22:17:41.367,7876222.0,1.0,,,,,,,,,,,,,,,,,,,,
40,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/rwightman/pytorch-image-models,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2022-09-07 23:55:09.000000,2022-09-07 19:37:37,1512.0,123.0,3342.0,281.0,255.0,58.0,525.0,20757.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision..",79.0,38,True,2022-08-24 18:03:56,0.1-weights-maxx,35.0,timm,conda-forge/timm,['pytorch'],1743715.0,1074023.0,4483.0,4483.0,https://pypi.org/project/timm,1029374.0,https://anaconda.org/conda-forge/timm,2021-06-30 20:44:15.682,27500.0,1.0,,,,,,,,,,,,,,,,,,,,
41,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-09-08 10:29:36.000000,2022-09-08 02:03:34,19698.0,141.0,3881.0,453.0,5279.0,685.0,6279.0,16659.0,"Interactive Data Visualization in the browser, from Python.",614.0,38,True,,,45.0,bokeh,conda-forge/bokeh,,,4224012.0,153.0,153.0,https://pypi.org/project/bokeh,4095017.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8384725.0,1.0,,,,,,,,,,,,,,,,,,,,
