,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
10,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-07-28 14:10:25.000000,2022-07-28 13:09:59,50188.0,4353.0,15527.0,1602.0,54893.0,8872.0,18466.0,57608,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3419.0,44,True,2022-06-28 16:48:06,1.12.0,40.0,torch,pytorch/pytorch,['pytorch'],4709.0,9570700.0,,,https://pypi.org/project/torch,7769972.0,https://anaconda.org/pytorch/pytorch,2022-06-28 00:12:32.204,18006614.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,
11,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-07-28 12:05:35.000000,2022-07-28 05:45:02,15560.0,150.0,3801.0,551.0,3234.0,78.0,5105.0,23872,Industrial-strength Natural Language Processing (NLP) in Python.,695.0,44,True,2022-07-26 13:08:23,3.4.1,100.0,spacy,conda-forge/spacy,,3145.0,4475686.0,41604.0,41604.0,https://pypi.org/project/spacy,4433779.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2721041.0,1.0,,,,,,,,,,,,,,,,,,,,
12,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-07-28 14:20:28.000000,2022-07-28 14:20:28,13695.0,1388.0,3649.0,426.0,16121.0,2408.0,8370.0,21385,A unified framework for scalable computing. Ray is packaged with scalable libraries for data processing (Ray..,737.0,44,True,2022-06-09 17:15:12,ray-1.13.0,58.0,ray,conda-forge/ray-tune,,,1531438.0,5443.0,5443.0,https://pypi.org/project/ray,1528853.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,49115.0,1.0,,,,,,,,,,,,,,,,,,,,
13,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-07-28 10:43:14.000000,2022-07-26 14:34:21,5879.0,126.0,7888.0,929.0,3638.0,267.0,4213.0,23005,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",570.0,43,True,2022-05-09 09:08:07,1.6.1,42.0,xgboost,conda-forge/xgboost,,4671.0,8129419.0,34087.0,34087.0,https://pypi.org/project/xgboost,8084961.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2842378.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,
14,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-07-28 13:53:46.000000,2022-07-28 13:15:08,12427.0,1076.0,1741.0,282.0,7083.0,892.0,2453.0,19612,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",427.0,43,True,2022-07-22 23:51:17,jax-v0.3.15,46.0,jax,conda-forge/jaxlib,,,608867.0,5075.0,5075.0,https://pypi.org/project/jax,598478.0,https://anaconda.org/conda-forge/jaxlib,2022-07-28 06:40:04.372,374005.0,1.0,,,,,,,,,,,,,,,,,,,,
15,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-07-22 09:42:11.000000,2022-07-19 20:49:31,14322.0,45.0,2500.0,471.0,1365.0,218.0,1416.0,10942,Suite of libraries and programs for symbolic and statistical natural language processing for English.,427.0,43,True,,,14.0,nltk,conda-forge/nltk,,,11631700.0,150094.0,150094.0,https://pypi.org/project/nltk,11612348.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1374061.0,1.0,,,,,,,,,,,,,,,,,,,,
16,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-07-26 00:35:11.000000,2022-07-26 00:35:11,2986.0,165.0,1552.0,247.0,850.0,91.0,1980.0,9625,Statistical data visualization in Python.,170.0,43,True,2021-08-16 00:39:03,0.11.2,28.0,seaborn,conda-forge/seaborn,,222.0,7052001.0,171211.0,171211.0,https://pypi.org/project/seaborn,6992005.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,4259619.0,1.0,,,,,,,,,,,,,,,,,,,,
17,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-07-22 14:19:45.000000,2022-07-22 14:19:44,14677.0,116.0,2365.0,264.0,3582.0,2233.0,2535.0,7590,Statsmodels: statistical modeling and econometrics in Python.,379.0,43,True,2022-02-08 18:06:37,0.13.2,20.0,statsmodels,conda-forge/statsmodels,,26.0,8305234.0,67069.0,67069.0,https://pypi.org/project/statsmodels,8213191.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6719202.0,1.0,,,,,,,,,,,,,,,,,,,,
18,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-07-27 22:58:02.000000,2022-07-27 22:09:42,5105.0,81.0,1464.0,189.0,4146.0,532.0,1132.0,5919,TensorFlows Visualization Toolkit.,283.0,43,True,2022-06-13 11:14:01,2.9.1,42.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,13637151.0,117434.0,117434.0,https://pypi.org/project/tensorboard,13581683.0,https://anaconda.org/conda-forge/tensorboard,2022-06-12 14:07:22.031,3106258.0,1.0,,,,,,,,,,,,,,,,,,,,
19,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-07-28 12:54:46.000000,2022-07-26 22:29:43,1699.0,111.0,7416.0,990.0,1369.0,16.0,1610.0,28145,A toolkit for developing and comparing reinforcement learning algorithms.,371.0,42,True,2022-07-26 22:30:34,0.25.1,15.0,gym,conda-forge/gym,,,659373.0,31190.0,31190.0,https://pypi.org/project/gym,654452.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,132885.0,1.0,,,,,,,,,,,,,,,,,,,,
20,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2022-07-28 13:43:09.000000,2022-07-28 07:50:51,11976.0,61.0,4163.0,474.0,2649.0,502.0,4210.0,19788,Asynchronous task queue/job queue based on distributed message passing.,1229.0,42,False,2022-06-29 11:35:14,5.3.0a1,36.0,celery,conda-forge/celery,,,5847598.0,73115.0,73115.0,https://pypi.org/project/celery,5835774.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,898640.0,1.0,,,,,,,,,,,,,,,,,,,,
21,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2022-07-28 10:58:11.000000,2022-07-25 19:25:07,6996.0,191.0,2580.0,273.0,2816.0,165.0,2625.0,11072,Network Analysis in Python.,608.0,42,False,2022-07-18 21:22:53,networkx-2.8.5,44.0,networkx,conda-forge/networkx,,60.0,17872499.0,113739.0,113739.0,https://pypi.org/project/networkx,17766246.0,https://anaconda.org/conda-forge/networkx,2022-07-19 07:19:04.156,7331466.0,1.0,,,,,,,,,,,,,,,,,,,,
22,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-07-28 08:13:37.000000,2022-07-27 12:00:33,4178.0,150.0,1736.0,1735.0,3944.0,137.0,2335.0,10055,WebGL2 powered visualization framework.,202.0,42,True,2022-07-28 07:48:09,8.8.6,100.0,pydeck,conda-forge/pydeck,['jupyter'],,1105345.0,4375.0,4375.0,https://pypi.org/project/pydeck,828815.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,143809.0,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,271572.0,,,,,,,,,,,,,,,,
23,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2022-07-28 14:17:33.000000,2022-07-27 22:07:52,51630.0,781.0,3616.0,283.0,11696.0,3897.0,8047.0,9443,A computer algebra system written in pure Python.,1158.0,42,False,2022-03-20 11:58:15,sympy-1.10.1,40.0,sympy,conda-forge/sympy,,457987.0,2408421.0,44422.0,44422.0,https://pypi.org/project/sympy,2374084.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2227201.0,1.0,,,,,,,,,,,,,,,,,,,,
24,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2022-07-25 09:30:47.000000,2022-07-25 09:01:49,13244.0,48.0,1951.0,187.0,3784.0,429.0,1848.0,4999,Image processing in Python.,563.0,42,False,2022-06-12 18:12:41,0.19.3,20.0,scikit-image,conda-forge/scikit-image,,,4598474.0,108955.0,108955.0,https://pypi.org/project/scikit-image,4548292.0,https://anaconda.org/conda-forge/scikit-image,2022-06-15 05:10:24.990,3713523.0,1.0,,,,,,,,,,,,,,,,,,,,
25,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-07-28 14:14:23.000000,2022-07-28 13:42:42,16911.0,951.0,10593.0,748.0,17567.0,707.0,5157.0,27205,"Platform to programmatically author, schedule, and monitor workflows.",2482.0,41,True,2022-07-09 18:29:26,2.3.3,51.0,apache-airflow,conda-forge/airflow,,323947.0,9301061.0,,,https://pypi.org/project/apache-airflow,8378746.0,https://anaconda.org/conda-forge/airflow,2022-07-27 08:26:31.487,671383.0,1.0,,,,,apache/airflow,stable/airflow,https://hub.docker.com/r/apache/airflow,2022-07-09 16:42:26.452758,371.0,78959936.0,,,,,,,,,,
26,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-07-28 12:51:14.000000,2022-07-28 04:06:01,2474.0,268.0,7072.0,612.0,2102.0,104.0,1531.0,22568,The fastai deep learning library.,210.0,41,True,2022-07-07 18:47:13,2.7.6,45.0,fastai,,['pytorch'],,283903.0,10757.0,10757.0,https://pypi.org/project/fastai,283903.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-07-28 14:08:03.000000,2022-07-28 13:23:05,36700.0,1155.0,4492.0,728.0,29532.0,2085.0,12990.0,18611,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,779.0,41,True,2022-07-12 03:54:24,2.3.1,55.0,paddlepaddle,,['paddle'],15319.0,71179.0,131.0,131.0,https://pypi.org/project/paddlepaddle,70964.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-07-21 00:59:30.000000,2022-06-16 14:46:20,2277.0,95.0,2530.0,252.0,472.0,1391.0,602.0,17023,A game theoretic approach to explain the output of any machine learning model.,205.0,41,True,2022-06-16 00:31:04,0.41.0,47.0,shap,conda-forge/shap,,,3552197.0,6105.0,6105.0,https://pypi.org/project/shap,3524043.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1323242.0,1.0,,,,,,,,,,,,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-07-27 23:49:57.000000,2022-07-27 21:54:20,19614.0,76.0,3873.0,455.0,5216.0,689.0,6254.0,16515,"Interactive Data Visualization in the browser, from Python.",609.0,41,True,,,45.0,bokeh,conda-forge/bokeh,,,3202669.0,54122.0,54122.0,https://pypi.org/project/bokeh,3076481.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7949864.0,1.0,,,,,,,,,,,,,,,,,,,,
30,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-07-28 04:26:30.000000,2022-07-28 04:23:44,3024.0,79.0,3473.0,449.0,2634.0,203.0,2545.0,14004,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",262.0,41,True,2022-01-07 14:53:52,3.3.2,24.0,lightgbm,conda-forge/lightgbm,,158119.0,5889251.0,14436.0,14436.0,https://pypi.org/project/lightgbm,5868179.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1113819.0,1.0,,,,,,,,,,,,,,,,,,,,
31,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-07-18 20:20:52.000000,2022-05-06 00:53:28,4383.0,10.0,4026.0,433.0,1612.0,360.0,1395.0,13397,Topic Modelling for Humans.,430.0,41,True,2022-05-01 08:38:45,4.2.0,41.0,gensim,conda-forge/gensim,,3831.0,4525754.0,35112.0,35112.0,https://pypi.org/project/gensim,4511170.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,843164.0,1.0,,,,,,,,,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-07-28 11:41:02.000000,2022-07-27 15:55:17,2006.0,66.0,2825.0,426.0,2304.0,226.0,1759.0,12982,Open standard for machine learning interoperability.,243.0,41,True,2022-06-18 02:58:18,1.12.0,22.0,onnx,conda-forge/onnx,,17764.0,1370413.0,7729.0,7729.0,https://pypi.org/project/onnx,1361827.0,https://anaconda.org/conda-forge/onnx,2022-06-18 09:22:46.041,463428.0,1.0,,,,,,,,,,,,,,,,,,,,
33,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-07-28 04:11:50.000000,2022-07-28 02:11:16,7290.0,144.0,1480.0,222.0,4757.0,665.0,3713.0,10154,Parallel computing with task scheduling.,550.0,41,True,,,124.0,dask,conda-forge/dask,,,7751956.0,38726.0,38726.0,https://pypi.org/project/dask,7669367.0,https://anaconda.org/conda-forge/dask,2022-07-22 23:48:28.931,6111648.0,1.0,,,,,,stable/dask,,,,,,,,,,,,,,
34,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-07-28 10:42:24.000000,2022-07-28 10:42:24,13558.0,953.0,723.0,127.0,2585.0,99.0,1125.0,6720,A hyperparameter optimization framework.,202.0,41,True,2022-06-13 05:38:25,2.10.1,47.0,optuna,conda-forge/optuna,,,1488099.0,3839.0,3839.0,https://pypi.org/project/optuna,1478608.0,https://anaconda.org/conda-forge/optuna,2022-07-06 03:46:47.901,303730.0,1.0,,,,,,,,,,,4.0,,,,,,,,,
35,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-07-28 01:57:28.000000,2022-07-28 01:44:02,7186.0,303.0,18286.0,1945.0,5423.0,264.0,11124.0,55772,Deep Learning for humans.,1090.0,40,True,2022-05-13 20:03:15,2.9.0,39.0,keras,conda-forge/keras,['tensorflow'],,8221698.0,,,https://pypi.org/project/keras,8187590.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2421675.0,2.0,https://keras.io,,,,,,,,,,,,,,,,,,,
36,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/rwightman/pytorch-image-models,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2022-07-27 21:12:16.000000,2022-07-27 21:07:37,1465.0,112.0,3228.0,278.0,248.0,50.0,494.0,19931,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision..",79.0,39,True,2022-07-27 21:12:16,0.6.7,33.0,timm,conda-forge/timm,['pytorch'],1513127.0,1042256.0,3893.0,3893.0,https://pypi.org/project/timm,1001445.0,https://anaconda.org/conda-forge/timm,2021-06-30 20:44:15.682,23830.0,1.0,,,,,,,,,,,,,,,,,,,,
37,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2022-07-28 13:14:20.957000,2022-07-28 09:19:12,7726.0,320.0,1899.0,178.0,3420.0,27.0,1541.0,15154,Build cross-modal and multimodal applications on the cloud.,151.0,39,True,2022-07-28 09:19:59,3.7.2,100.0,jina,conda-forge/jina-core,,,107071.0,327.0,327.0,https://pypi.org/project/jina,68090.0,https://anaconda.org/conda-forge/jina-core,2022-07-28 13:14:20.957,15796.0,2.0,,,,,jinaai/jina,,https://hub.docker.com/r/jinaai/jina,2022-07-28 09:35:25.180412,7.0,1084680.0,,,,,,,,,,
38,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2022-07-28 13:32:14.000000,2022-07-27 21:04:21,11437.0,3045.0,930.0,148.0,3212.0,632.0,1782.0,9626,The easiest way to automate your data.,53.0,39,True,2022-07-08 22:37:36,1.2.4,109.0,prefect,conda-forge/prefect,,,286831.0,1001.0,1001.0,https://pypi.org/project/prefect,279433.0,https://anaconda.org/conda-forge/prefect,2022-07-09 19:09:39.493,295922.0,1.0,,,,,,,,,,,,,,,,,,,,
39,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2022-07-18 20:56:33.000000,2022-07-12 05:07:11,3229.0,79.0,647.0,151.0,1011.0,211.0,1411.0,7661,Declarative statistical visualization library for Python.,137.0,39,True,2021-12-29 13:30:58,4.2.0,20.0,altair,conda-forge/altair,,,7597783.0,30382.0,30382.0,https://pypi.org/project/altair,7580193.0,https://anaconda.org/conda-forge/altair,2021-12-29 17:47:26.885,1266533.0,1.0,,,,,,,,,,,,,,,,,,,,
40,dask.distributed,dask/distributed,distributed-ml,,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000,2022-07-28 08:12:24.000000,2022-07-27 16:42:14,4801.0,239.0,612.0,58.0,3882.0,966.0,1891.0,1380,A distributed task scheduler for Dask.,280.0,39,True,,,144.0,distributed,conda-forge/distributed,,,5404007.0,24428.0,24428.0,https://pypi.org/project/distributed,5302907.0,https://anaconda.org/conda-forge/distributed,2022-07-22 23:14:29.748,7481411.0,1.0,,,,,,,,,,,,,,,,,,,,
41,MMDetection,open-mmlab/mmdetection,image,,https://github.com/open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06.000,2022-07-28 14:14:57.000000,2022-07-28 06:57:27,2113.0,59.0,6780.0,358.0,2266.0,569.0,5543.0,20709,OpenMMLab Detection Toolbox and Benchmark.,350.0,38,True,2022-06-01 14:16:46,2.25.0,34.0,mmdet,,['pytorch'],,65688.0,503.0,503.0,https://pypi.org/project/mmdet,65688.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
42,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-07-28 14:03:06.000000,2022-07-28 13:09:56,4818.0,152.0,1783.0,273.0,2417.0,581.0,1975.0,20083,Streamlit The fastest way to build data apps in Python.,144.0,38,True,2022-07-27 21:20:42,1.11.1,41.0,streamlit,,,,843023.0,348.0,348.0,https://pypi.org/project/streamlit,843023.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
