,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
12,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-11-02 13:31:47.000000,2023-11-02 11:04:23,18070.0,1157.0,2270.0,315.0,11451.0,1279.0,3355.0,25157.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",591.0,45,True,2023-10-19 20:04:45,jaxlib-v0.4.19,87.0,jax,conda-forge/jaxlib,,,,18744.0,18744.0,https://pypi.org/project/jax,4077008.0,4100798.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,975414.0,,,,,1.0,,,,,,,,,,,,,,,
13,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-11-02 13:59:14.000000,2023-11-02 13:03:03,9858.0,341.0,2970.0,241.0,9616.0,655.0,5909.0,25017.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",908.0,45,True,2023-10-12 13:10:13,2.1.0,103.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],25451.0,25451.0,https://pypi.org/project/pytorch-lightning,4173092.0,4197773.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-10-12 22:54:18.350,995242.0,,,,,1.0,13432.0,,Lightning-AI/lightning,,,,,,,,,,,,
14,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-11-02 13:59:50.000000,2023-11-02 12:13:24,44489.0,1634.0,5153.0,726.0,40955.0,1079.0,16377.0,20974.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1116.0,45,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],4183.0,4183.0,https://pypi.org/project/paddlepaddle,181250.0,181426.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,,
15,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-11-02 03:53:05.000000,2023-11-01 19:15:27,56564.0,1473.0,3980.0,290.0,12746.0,4239.0,8543.0,11492.0,A computer algebra system written in pure Python.,1257.0,45,False,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,90074.0,90074.0,https://pypi.org/project/sympy,9887494.0,9943025.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4620742.0,,,,,1.0,519582.0,,,,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-11-02 10:40:02.000000,2023-11-01 23:04:33,9909.0,511.0,18521.0,1922.0,6689.0,110.0,11251.0,59653.0,Deep Learning for humans.,1246.0,44,True,2023-09-12 16:19:40,2.14.0,52.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,13182930.0,13263561.0,https://anaconda.org/conda-forge/keras,2023-10-27 17:22:04.536,3305891.0,,,,,2.0,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-11-02 14:09:47.000000,2023-11-02 05:14:19,19700.0,1247.0,4725.0,470.0,24848.0,3065.0,12703.0,28454.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,937.0,44,True,2023-10-09 17:47:23,ray-2.7.1,73.0,ray,conda-forge/ray-tune,,,,12039.0,12039.0,https://pypi.org/project/ray,2490262.0,2495156.0,https://anaconda.org/conda-forge/ray-tune,2023-10-17 08:48:26.741,171266.0,,,,,1.0,100.0,,,,,,,,,,,,,,
18,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-11-02 11:02:18.000000,2023-11-02 11:02:18,16064.0,74.0,4131.0,566.0,3905.0,74.0,5421.0,27504.0,Industrial-strength Natural Language Processing (NLP) in Python.,742.0,44,True,2023-10-16 16:11:22,3.7.2,100.0,spacy,conda-forge/spacy,,,,72824.0,72824.0,https://pypi.org/project/spacy,7317700.0,7397478.0,https://anaconda.org/conda-forge/spacy,2023-10-10 09:44:18.186,3270933.0,,,,,1.0,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-11-02 10:10:43.000000,2023-11-01 23:20:44,6625.0,154.0,8116.0,914.0,4773.0,328.0,4642.0,24932.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",629.0,44,True,2023-10-24 08:56:42,2.0.1,54.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,70528.0,70528.0,https://pypi.org/project/xgboost,11464419.0,11573637.0,https://anaconda.org/conda-forge/xgboost,2023-10-24 05:08:56.957,4366183.0,,,,,2.0,7477.0,,,,,,,,,,,,,,
20,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2023-11-02 12:10:20.000000,2023-11-02 12:10:20,12345.0,73.0,4371.0,473.0,3100.0,584.0,4349.0,22451.0,Asynchronous task queue/job queue based on distributed message passing.,1313.0,44,False,2023-09-03 20:03:56,5.3.4,43.0,celery,conda-forge/celery,,,,115016.0,115016.0,https://pypi.org/project/celery,8010393.0,8046397.0,https://anaconda.org/conda-forge/celery,2023-09-05 18:58:51.808,1476176.0,,,,,1.0,,,,,,,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-11-02 14:11:04.000000,2023-11-02 14:11:04,4967.0,531.0,3538.0,291.0,6830.0,1008.0,2246.0,15715.0,Open source platform for the machine learning lifecycle.,668.0,44,True,2023-10-29 21:36:49,2.8.0,76.0,mlflow,conda-forge/mlflow,,,,25519.0,25519.0,https://pypi.org/project/mlflow,13608176.0,13647947.0,https://anaconda.org/conda-forge/mlflow,2023-10-29 23:48:54.745,1630631.0,,,,,1.0,,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-11-01 17:31:59.000000,2023-10-31 18:43:54,6231.0,94.0,2382.0,279.0,1566.0,1377.0,1356.0,14345.0,The interactive graphing library for Python This project now includes Plotly Express!.,246.0,44,True,2023-10-25 19:52:56,5.18.0,97.0,plotly,conda-forge/plotly,,,,212239.0,212239.0,https://pypi.org/project/plotly,11134049.0,11300428.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5007990.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,47142.0,,,,,,,,,
23,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-02 05:35:29.000000,2023-10-31 16:42:00,20290.0,112.0,4038.0,447.0,5868.0,739.0,6721.0,18255.0,"Interactive Data Visualization in the browser, from Python.",673.0,43,True,,,54.0,bokeh,conda-forge/bokeh,,,,78497.0,78497.0,https://pypi.org/project/bokeh,3512753.0,3829655.0,https://anaconda.org/conda-forge/bokeh,2023-10-11 08:08:05.962,12992993.0,,,,,1.0,,,,,,,,,,,,,,,
24,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-11-02 14:13:28.879000,2023-11-01 20:43:02,2586.0,129.0,3498.0,438.0,3013.0,265.0,2267.0,15810.0,Open standard for machine learning interoperability.,298.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,20056.0,20056.0,https://pypi.org/project/onnx,4142186.0,4163617.0,https://anaconda.org/conda-forge/onnx,2023-11-02 14:13:28.879,867766.0,,,,,1.0,19433.0,,,,,,,,,,,,,,
25,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-11-02 12:36:03.000000,2023-11-02 12:36:03,3366.0,53.0,3643.0,441.0,3015.0,296.0,2849.0,15588.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,26473.0,26473.0,https://pypi.org/project/lightgbm,6859775.0,6917421.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2091924.0,,,,,2.0,205123.0,,,,,,,,,,,,,,
26,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2023-11-02 14:06:34.000000,2023-11-02 13:08:49,15281.0,390.0,1333.0,155.0,6289.0,561.0,3674.0,13136.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",205.0,43,True,2023-10-26 22:20:11,2.14.2,196.0,prefect,conda-forge/prefect,,,,3922.0,3922.0,https://pypi.org/project/prefect,624376.0,637536.0,https://anaconda.org/conda-forge/prefect,2023-10-31 18:55:52.818,552735.0,,,,,1.0,,,,,,,,,,,,,,,
27,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-11-01 17:20:14.000000,2023-10-22 21:29:01,3194.0,38.0,1723.0,255.0,1057.0,111.0,2299.0,11292.0,Statistical data visualization in Python.,200.0,43,True,2023-09-29 19:01:44,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,318459.0,318459.0,https://pypi.org/project/seaborn,12553809.0,12742434.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7733552.0,,,,,1.0,282.0,,,,,,,,,,,,,,
28,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-10-29 19:50:07.000000,2023-10-29 06:30:59,15118.0,24.0,2590.0,278.0,3813.0,2524.0,2709.0,8972.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,43,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,105876.0,105876.0,https://pypi.org/project/statsmodels,11433681.0,11720464.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11758120.0,,,,,2.0,29.0,,,,,,,,,,,,,,
29,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-11-02 12:42:36.000000,2023-11-01 16:55:40,5710.0,99.0,1556.0,193.0,4849.0,591.0,1214.0,6387.0,TensorFlows Visualization Toolkit.,307.0,43,True,2023-10-19 19:31:58,2.15.0,55.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],195437.0,195437.0,https://pypi.org/project/tensorboard,21463616.0,21570638.0,https://anaconda.org/conda-forge/tensorboard,2023-10-20 00:55:28.414,4387930.0,,,,,1.0,,,,,,,,,,,,,,,
30,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-11-02 06:42:41.000000,2023-11-01 20:48:33,7485.0,132.0,2959.0,277.0,3524.0,184.0,2893.0,13369.0,Network Analysis in Python.,687.0,42,False,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,195905.0,195905.0,https://pypi.org/project/networkx,31374924.0,31732699.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,13953257.0,,,,,1.0,65.0,,,,,,,,,,,,,,
31,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-11-02 02:07:00.000000,2023-11-01 22:34:43,31052.0,422.0,4743.0,348.0,9982.0,1430.0,8039.0,11860.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1550.0,42,True,2023-09-27 22:44:39,1.11.3,82.0,scipy,conda-forge/scipy,,,,21.0,21.0,https://pypi.org/project/scipy,64812363.0,66021604.0,https://anaconda.org/conda-forge/scipy,2023-10-05 05:09:54.567,43394150.0,,,,,1.0,384875.0,,,,,,-7.0,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-11-02 10:30:05.000000,2023-10-31 16:06:15,4550.0,61.0,1960.0,1699.0,4391.0,225.0,2549.0,11270.0,WebGL2 powered visualization framework.,239.0,42,True,2023-10-24 16:55:44,8.9.32,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6688.0,6688.0,https://pypi.org/project/pydeck,1615715.0,2132469.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,457342.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,506591.0,,,,,,,,,
33,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-11-02 06:29:49.000000,2023-10-29 18:51:32,3585.0,53.0,704.0,145.0,1285.0,159.0,1711.0,8525.0,Declarative statistical visualization library for Python.,158.0,42,True,2023-10-03 18:18:45,5.1.2,26.0,altair,conda-forge/altair,,,,83128.0,83128.0,https://pypi.org/project/altair,13645577.0,13735802.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2075164.0,,,,,1.0,89.0,,,,,,,,,,,,,,
34,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-11-01 14:32:16.000000,2023-10-31 20:08:48,13768.0,111.0,2109.0,184.0,4303.0,519.0,2018.0,5651.0,Image processing in Python.,632.0,42,False,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,158386.0,158386.0,https://pypi.org/project/scikit-image,10032142.0,10172309.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5746876.0,,,,,1.0,,,,,,,,,,,,,,,
35,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-11-02 10:52:55.000000,2023-10-31 18:15:43,1905.0,192.0,3361.0,307.0,2240.0,711.0,1415.0,29132.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",255.0,41,True,2023-10-09 16:54:24,0.11.1,57.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4653.0,4653.0,https://pypi.org/project/deepspeed,384000.0,384375.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17252.0,1.0,,,,,,,9.0,,,,,,,,
36,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-11-02 14:10:30.000000,2023-11-02 05:36:08,5914.0,259.0,2444.0,309.0,3875.0,662.0,3025.0,28236.0,Streamlit A faster way to build and share data apps.,203.0,41,True,2023-10-26 17:18:34,1.28.0,67.0,streamlit,,,,,1038.0,1038.0,https://pypi.org/project/streamlit,2534045.0,2534045.0,,,,,,,,1.0,,,,,,,,,,,,,,,
37,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-10-31 19:16:21.000000,2023-10-31 19:16:21,2060.0,118.0,4249.0,309.0,409.0,68.0,742.0,27417.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",121.0,41,True,2023-10-21 20:52:29,0.9.8,50.0,timm,conda-forge/timm,,,['pytorch'],17911.0,17911.0,https://pypi.org/project/timm,3368317.0,3476200.0,https://anaconda.org/conda-forge/timm,2023-10-21 20:00:32.835,107974.0,,,,,1.0,5679971.0,,huggingface/pytorch-image-models,,,,,,,,,,,,
38,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-11-02 14:28:20.000000,2023-11-02 12:10:11,5834.0,350.0,1598.0,139.0,2817.0,447.0,2604.0,23130.0,"Wrap UIs around any model, share with anyone.",218.0,41,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,15983.0,15983.0,https://pypi.org/project/gradio,2756261.0,2756261.0,,,,,,,,1.0,,,,,,,8.0,,,,,,,,
39,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-11-02 07:24:54.000000,2023-10-27 12:56:05,2559.0,93.0,2953.0,259.0,753.0,1409.0,931.0,20363.0,A game theoretic approach to explain the output of any machine learning model.,226.0,41,True,2023-10-09 09:41:17,0.43.0,50.0,shap,conda-forge/shap,,,,14012.0,14012.0,https://pypi.org/project/shap,7339538.0,7402098.0,https://anaconda.org/conda-forge/shap,2023-10-09 21:10:21.871,2189605.0,,,,,1.0,,,shap/shap,,,,,,,,,,,,
40,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-11-02 01:24:24.000000,2023-10-23 12:18:50,32584.0,199.0,4310.0,350.0,6271.0,1.0,6642.0,17167.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",591.0,41,True,2023-10-23 10:55:37,3.6.13,100.0,rasa,,,,['tensorflow'],3738.0,3738.0,https://pypi.org/project/rasa,129041.0,129041.0,,,,,,,,1.0,,,,,,,,,,,,,,,
