,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-06-08 10:48:04.000000,2022-06-08 10:48:04,13344,479.0,1705.0,211.0,3781.0,98.0,2422.0,9838,The friendly PIL fork (Python Imaging Library).,399.0,47,True,2022-05-17 16:46:23,9.1.1,46.0,Pillow,conda-forge/pillow,,,,758088.0,758088.0,https://pypi.org/project/Pillow,48334695.0,48544173.0,https://anaconda.org/conda-forge/pillow,2022-05-30 15:31:46.569,15501433.0,,,,,1.0,,2.0,,,,,,,,,,,,,
11,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-06-09 14:01:37.000000,2022-06-08 17:34:11,15466,125.0,3753.0,556.0,3130.0,82.0,5042.0,23551,Industrial-strength Natural Language Processing (NLP) in Python.,682.0,44,True,2022-06-07 17:23:29,3.3.1,98.0,spacy,conda-forge/spacy,,,,39791.0,39791.0,https://pypi.org/project/spacy,7215343.0,7256958.0,https://anaconda.org/conda-forge/spacy,2022-05-03 18:34:30.893,2660477.0,,,,,1.0,3141.0,,,,,,,,,,,,,,
12,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-06-09 14:04:05.000000,2022-06-09 13:32:20,47261,2831.0,15154.0,1597.0,52568.0,8454.0,18008.0,56530,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3312.0,43,True,2022-03-10 16:59:55,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,10622968.0,12527919.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,17144087.0,,,,,1.0,3721.0,-6.0,,,,,,,,,,,,,
13,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-06-09 10:15:08.000000,2022-06-09 10:15:08,5820,130.0,7864.0,928.0,3560.0,246.0,4169.0,22828,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",565.0,43,True,2022-05-09 09:08:07,1.6.1,42.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,31957.0,31957.0,https://pypi.org/project/xgboost,10714996.0,10757693.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2687243.0,,,,,1.0,4287.0,,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-06-09 13:15:16.000000,2022-06-09 12:54:34,12909,1265.0,3526.0,429.0,15083.0,2216.0,8050.0,20842,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",704.0,43,True,2022-05-16 22:46:43,ray-1.12.1,57.0,ray,conda-forge/ray-tune,,,,4976.0,4976.0,https://pypi.org/project/ray,1253501.0,1255320.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,32754.0,,,,,1.0,,,,,,,,,,,,,,,
15,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2022-06-09 13:42:56.000000,2022-06-09 13:42:56,11945,101.0,4139.0,474.0,2616.0,489.0,4193.0,19474,Asynchronous task queue/job queue based on distributed message passing.,1216.0,43,False,2022-05-29 12:59:05,5.2.7,35.0,celery,conda-forge/celery,,,,70644.0,70644.0,https://pypi.org/project/celery,5738559.0,5749947.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,854123.0,,,,,1.0,,,,,,,,,,,,,,,
16,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-06-09 14:01:32.000000,2022-06-08 20:02:16,7012,360.0,2345.0,223.0,6229.0,404.0,4573.0,18656,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",686.0,43,True,2022-06-01 14:32:40,1.6.4,89.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],9377.0,9377.0,https://pypi.org/project/pytorch-lightning,4671995.0,4691018.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-06-07 13:19:15.354,451838.0,,,,,1.0,6907.0,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-06-09 11:34:58.000000,2022-06-09 08:39:26,11824,1055.0,1606.0,265.0,6677.0,927.0,2289.0,17707,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",403.0,43,True,2022-05-16 19:13:26,jax-v0.3.13,45.0,jax,conda-forge/jaxlib,,,,4538.0,4538.0,https://pypi.org/project/jax,475805.0,485216.0,https://anaconda.org/conda-forge/jaxlib,2022-05-25 09:41:31.539,329396.0,,,,,1.0,,,,,,,,,,,,,,,
18,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-06-09 02:51:00.000000,2022-06-07 00:45:56,2941,127.0,1531.0,248.0,808.0,104.0,1928.0,9499,Statistical data visualization in Python.,167.0,43,True,2021-08-16 00:39:03,0.11.2,26.0,seaborn,conda-forge/seaborn,,,,162067.0,162067.0,https://pypi.org/project/seaborn,10486974.0,10543064.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,3926183.0,,,,,1.0,219.0,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-06-08 15:13:19.000000,2022-06-05 22:49:12,14601,78.0,2335.0,262.0,3565.0,2211.0,2523.0,7441,Statsmodels: statistical modeling and econometrics in Python.,375.0,43,True,2022-02-08 18:06:37,0.13.2,20.0,statsmodels,conda-forge/statsmodels,,,,64381.0,64381.0,https://pypi.org/project/statsmodels,12136312.0,12223389.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,6269594.0,,,,,1.0,26.0,,,,,,,,,,,,,,
20,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-06-09 13:41:33.000000,2022-06-09 13:29:52,5058,86.0,1457.0,191.0,4093.0,523.0,1122.0,5875,TensorFlows Visualization Toolkit.,278.0,43,True,2022-04-29 19:39:04,2.9.0,41.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],110978.0,110978.0,https://pypi.org/project/tensorboard,16581152.0,16635210.0,https://anaconda.org/conda-forge/tensorboard,2022-05-02 19:23:15.865,2973208.0,,,,,1.0,,,,,,,,,,,,,,,
21,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-06-09 13:38:18.000000,2022-06-09 13:38:18,1640,103.0,7342.0,994.0,1286.0,14.0,1567.0,27753,A toolkit for developing and comparing reinforcement learning algorithms.,360.0,42,True,2022-06-07 13:51:45,0.24.1,13.0,gym,conda-forge/gym,,,,29892.0,29892.0,https://pypi.org/project/gym,574847.0,579162.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,112192.0,,,,,1.0,,,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-06-09 12:16:21.000000,2022-06-08 03:03:10,2986,91.0,3445.0,450.0,2582.0,193.0,2491.0,13875,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",258.0,42,True,2022-01-07 14:53:52,3.3.2,24.0,lightgbm,conda-forge/lightgbm,,,,13510.0,13510.0,https://pypi.org/project/lightgbm,7509925.0,7530006.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1038820.0,,,,,2.0,153445.0,,,,,,,,,,,,,,
23,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-05-25 13:12:56.039000,2022-05-06 00:53:28,4383,71.0,4001.0,431.0,1605.0,352.0,1391.0,13253,Topic Modelling for Humans.,430.0,42,True,2022-05-01 08:38:45,4.2.0,41.0,gensim,conda-forge/gensim,,,,33775.0,33775.0,https://pypi.org/project/gensim,7489874.0,7504133.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,810050.0,,,,,1.0,3828.0,,,,,,,,,,,,,,
24,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-05-30 11:40:09.000000,2022-05-25 20:00:43,14291,41.0,2484.0,471.0,1359.0,220.0,1402.0,10798,Suite of libraries and programs for symbolic and statistical natural language processing for English.,422.0,42,True,,,14.0,nltk,conda-forge/nltk,,,,144851.0,144851.0,https://pypi.org/project/nltk,14336065.0,14354359.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1280623.0,,,,,1.0,,,,,,,,,,,,,,,
25,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-06-09 11:07:23.000000,2022-06-09 08:29:36,4098,109.0,1708.0,1738.0,3867.0,146.0,2284.0,9878,WebGL2 powered visualization framework.,197.0,42,True,2022-06-06 23:20:59,8.7.11,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],4163.0,4163.0,https://pypi.org/project/pydeck,927056.0,1221499.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,115346.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,290324.0,,,,,,,,,,
26,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2022-06-09 13:15:38.000000,2022-06-09 09:07:13,51064,561.0,3579.0,284.0,11561.0,3891.0,7958.0,9297,A computer algebra system written in pure Python.,1148.0,42,False,2022-03-20 11:58:15,sympy-1.10.1,40.0,sympy,conda-forge/sympy,,,,42810.0,42810.0,https://pypi.org/project/sympy,1696367.0,1729418.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2102954.0,,,,,1.0,454179.0,,,,,,,,,,,,,,
27,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2022-06-09 06:13:31.000000,2022-06-08 23:56:07,13214,104.0,1927.0,187.0,3759.0,428.0,1832.0,4930,Image processing in Python.,555.0,42,False,2022-02-17 18:25:54,0.19.2,19.0,scikit-image,conda-forge/scikit-image,,,,104809.0,104809.0,https://pypi.org/project/scikit-image,10018813.0,10066898.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3510216.0,,,,,1.0,,,,,,,,,,,,,,,
28,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-06-09 13:41:01.000000,2022-06-09 09:53:59,16432,1063.0,10306.0,742.0,16996.0,732.0,4888.0,26614,"Platform to programmatically author, schedule, and monitor workflows.",2422.0,41,True,2022-06-04 14:19:24,2.3.2,50.0,apache-airflow,conda-forge/airflow,apache/airflow,,,,,https://pypi.org/project/apache-airflow,6847456.0,7719427.0,https://anaconda.org/conda-forge/airflow,2022-06-04 17:38:17.887,634105.0,https://hub.docker.com/r/apache/airflow,2022-06-04 14:40:41.989913,344.0,73779748.0,1.0,301182.0,,,,,stable/airflow,,,,,,,,,
29,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-06-09 00:30:04.000000,2022-06-03 18:25:01,2352,210.0,7050.0,617.0,2068.0,100.0,1495.0,22362,The fastai deep learning library.,203.0,41,True,2022-05-01 02:02:21,2.6.3,39.0,fastai,,,,['pytorch'],10378.0,10378.0,https://pypi.org/project/fastai,301624.0,301624.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,
30,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-06-09 13:54:50.000000,2022-06-09 12:12:38,35994,1540.0,4402.0,729.0,28495.0,2083.0,12703.0,18326,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,750.0,41,True,2022-05-13 08:03:36,2.3.0,54.0,paddlepaddle,,,,['paddle'],119.0,119.0,https://pypi.org/project/paddlepaddle,104146.0,104364.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,
31,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-09 10:36:17.000000,2022-06-08 20:11:55,19554,47.0,3851.0,455.0,5166.0,694.0,6210.0,16350,"Interactive Data Visualization in the browser, from Python.",605.0,41,True,,,45.0,bokeh,conda-forge/bokeh,,,,52070.0,52070.0,https://pypi.org/project/bokeh,2779491.0,2900078.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7476438.0,,,,,1.0,,,,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-06-09 00:26:05.000000,2022-06-08 17:03:15,1969,59.0,2700.0,427.0,2236.0,201.0,1730.0,12611,Open standard for machine learning interoperability.,237.0,41,True,2022-02-17 21:58:59,1.11.0,21.0,onnx,conda-forge/onnx,,,,7054.0,7054.0,https://pypi.org/project/onnx,1174469.0,1182479.0,https://anaconda.org/conda-forge/onnx,2022-04-24 20:16:13.541,423309.0,,,,,1.0,17621.0,,,,,,,,,,,,,,
33,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2022-06-09 13:18:48.000000,2022-06-09 13:18:48,6885,147.0,2541.0,273.0,2700.0,176.0,2569.0,10835,Network Analysis in Python.,598.0,41,False,2022-06-04 16:16:05,networkx-2.8.3,42.0,networkx,conda-forge/networkx,,,,109351.0,109351.0,https://pypi.org/project/networkx,21867994.0,21965673.0,https://anaconda.org/conda-forge/networkx,2022-06-04 20:42:40.216,6642186.0,,,,,1.0,60.0,,,,,,,,,,,,,,
34,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-06-09 11:05:11.000000,2022-06-08 18:04:17,7225,173.0,1459.0,223.0,4681.0,643.0,3665.0,9975,Parallel computing with task scheduling.,536.0,41,True,,,120.0,dask,conda-forge/dask,,,,37345.0,37345.0,https://pypi.org/project/dask,6392971.0,6471439.0,https://anaconda.org/conda-forge/dask,2022-05-27 01:12:14.569,5728168.0,,,,,1.0,,,,,,stable/dask,,,,,,,,,
35,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-06-08 21:31:22.000000,2022-06-08 21:31:17,7048,418.0,18239.0,1947.0,5321.0,252.0,11064.0,55390,Deep Learning for humans.,1070.0,40,True,2022-05-13 20:03:15,2.9.0,39.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,11516508.0,11549442.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2305437.0,,,,,2.0,,,,,,,,,,,,,,,
36,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-06-09 11:01:18.000000,2022-05-24 21:22:03,2151,105.0,2453.0,249.0,464.0,1367.0,590.0,16541,A game theoretic approach to explain the output of any machine learning model.,182.0,40,True,2021-10-20 18:36:57,0.40.0,46.0,shap,conda-forge/shap,,,,5566.0,5566.0,https://pypi.org/project/shap,5135278.0,5161679.0,https://anaconda.org/conda-forge/shap,2022-01-23 08:45:26.945,1214455.0,,,,,1.0,,,,,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-06-09 13:09:05.000000,2022-06-09 11:45:53,13001,1084.0,702.0,127.0,2470.0,103.0,1071.0,6500,A hyperparameter optimization framework.,196.0,39,True,2021-10-04 06:36:18,2.10.0,46.0,optuna,conda-forge/optuna,,,,3466.0,3466.0,https://pypi.org/project/optuna,4428148.0,4437211.0,https://anaconda.org/conda-forge/optuna,2021-10-04 08:58:48.864,280953.0,,,,,1.0,,2.0,,,,,,,,,,,,,
38,dask.distributed,dask/distributed,distributed-ml,,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000,2022-06-09 13:37:59.000000,2022-06-09 11:33:42,4680,266.0,607.0,59.0,3744.0,906.0,1832.0,1369,A distributed task scheduler for Dask.,273.0,39,True,,,140.0,distributed,conda-forge/distributed,,,,23740.0,23740.0,https://pypi.org/project/distributed,5134198.0,5230870.0,https://anaconda.org/conda-forge/distributed,2022-05-26 23:34:01.893,7057120.0,,,,,1.0,,,,,,,,,,,,,,,
39,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2022-06-09 09:22:49.000000,2022-06-08 12:14:34,4958,681.0,4536.0,364.0,1948.0,1044.0,3520.0,22576,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages..",101.0,38,True,2022-05-09 11:48:13,2.5.0,5.0,paddleocr,,,,['paddle'],669.0,669.0,https://pypi.org/project/paddleocr,64851.0,64851.0,,,,,,,,1.0,,,,,,,,,,,,,,,
40,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-06-09 14:18:37.000000,2022-06-09 00:55:02,4745,124.0,1731.0,265.0,2324.0,573.0,1868.0,19496,Streamlit The fastest way to build data apps in Python.,141.0,38,True,2022-06-02 17:46:00,1.10.0,39.0,streamlit,,,,,314.0,314.0,https://pypi.org/project/streamlit,959712.0,959712.0,,,,,,,,1.0,,,,,,,,,,,,,,,
41,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/rwightman/pytorch-image-models,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2022-06-08 01:04:44.000000,2022-05-24 17:40:23,1385,78.0,3081.0,272.0,236.0,51.0,449.0,18948,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision..",75.0,38,True,2022-04-03 22:14:28,0.1-weights-swin2,31.0,timm,conda-forge/timm,,,['pytorch'],3220.0,3220.0,https://pypi.org/project/timm,3984920.0,4020664.0,https://anaconda.org/conda-forge/timm,2021-06-30 20:44:15.682,18595.0,,,,,1.0,1292665.0,,,,,,,,,,,,,,
42,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2022-06-09 13:31:48.000000,2022-06-07 13:42:22,6137,339.0,1648.0,402.0,746.0,589.0,664.0,16603,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",116.0,38,True,2022-06-07 14:58:08,2.5.0,82.0,dash,conda-forge/dash,,,,194.0,194.0,https://pypi.org/project/dash,870924.0,880655.0,https://anaconda.org/conda-forge/dash,2022-06-09 02:13:41.642,476850.0,,,,,1.0,,,,,,,,,,,,,,,
