,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,maven_id,maven_url,dnf_id,yay_id,snap_id
19,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-09-14 11:18:44.000000,2023-09-14 09:50:44,17413.0,934.0,2235.0,312.0,10947.0,1229.0,3264.0,24589.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",576.0,44,True,2023-07-27 23:20:52,jax-v0.4.14,79.0,jax,conda-forge/jaxlib,,,,17331.0,17331.0,https://pypi.org/project/jax,3028469.0,3051859.0,https://anaconda.org/conda-forge/jaxlib,2023-07-30 18:45:00.131,912223.0,,,,,2.0,,,,,,,,,,,,,,,
20,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2023-09-14 13:33:19.000000,2023-09-14 07:16:19,12310.0,71.0,4366.0,477.0,3052.0,570.0,4343.0,22165.0,Asynchronous task queue/job queue based on distributed message passing.,1304.0,44,False,2023-09-03 20:03:56,5.3.4,43.0,celery,conda-forge/celery,,,,111059.0,111059.0,https://pypi.org/project/celery,7333596.0,7369565.0,https://anaconda.org/conda-forge/celery,2023-09-05 18:58:51.808,1402814.0,,,,,1.0,,,,,,,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-09-14 13:05:23.000000,2023-09-14 04:57:44,4645.0,458.0,3445.0,291.0,6313.0,1033.0,2099.0,15240.0,Open source platform for the machine learning lifecycle.,635.0,44,True,2023-09-12 18:26:09,2.7.0,74.0,mlflow,conda-forge/mlflow,,,,23670.0,23670.0,https://pypi.org/project/mlflow,14025704.0,14064243.0,https://anaconda.org/conda-forge/mlflow,2023-09-13 00:24:48.678,1503052.0,,,,,1.0,,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-09-12 14:56:52.000000,2023-09-08 19:55:30,6174.0,120.0,2338.0,279.0,1544.0,1353.0,1350.0,14113.0,The interactive graphing library for Python This project now includes Plotly Express!.,244.0,44,True,2023-08-16 18:25:11,5.16.1,95.0,plotly,conda-forge/plotly,,,,200236.0,200236.0,https://pypi.org/project/plotly,11824403.0,11979120.0,https://anaconda.org/conda-forge/plotly,2023-08-16 21:22:51.337,4762594.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,35653.0,,,,,,,,,
23,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-09-13 17:51:48.000000,2023-09-01 10:54:50,15104.0,35.0,2574.0,277.0,3805.0,2494.0,2697.0,8846.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,44,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,102125.0,102125.0,https://pypi.org/project/statsmodels,11427904.0,11557611.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,11284569.0,,,,,2.0,29.0,,,,,,,,,,,,,,
24,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-09-14 09:11:27.000000,2023-09-14 09:11:26,6552.0,145.0,8089.0,913.0,4663.0,313.0,4599.0,24560.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",623.0,43,True,2023-09-12 03:10:42,2.0.0,53.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,66450.0,66450.0,https://pypi.org/project/xgboost,10040393.0,10151689.0,https://anaconda.org/conda-forge/xgboost,2023-08-26 05:00:33.552,4226904.0,,,,,2.0,7072.0,,,,,,,,,,,,,,
25,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-09-13 21:22:47.000000,2023-09-13 18:30:45,2514.0,125.0,3487.0,434.0,2932.0,272.0,2214.0,15511.0,Open standard for machine learning interoperability.,293.0,43,True,2023-08-25 21:00:03,1.14.1,26.0,onnx,conda-forge/onnx,,,,18574.0,18574.0,https://pypi.org/project/onnx,3501016.0,3522518.0,https://anaconda.org/conda-forge/onnx,2023-09-11 18:49:12.565,828061.0,,,,,1.0,19236.0,,,,,,,,,,,,,,
26,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-09-14 14:00:50.000000,2023-09-13 22:35:38,3344.0,60.0,3643.0,441.0,2984.0,284.0,2817.0,15455.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,25068.0,25068.0,https://pypi.org/project/lightgbm,6409763.0,6467680.0,https://anaconda.org/conda-forge/lightgbm,2023-09-12 13:54:11.699,1991311.0,,,,,2.0,200488.0,,,,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-09-13 23:17:50.000000,2023-09-13 23:17:49,5649.0,118.0,1547.0,193.0,4769.0,588.0,1204.0,6349.0,TensorFlows Visualization Toolkit.,305.0,43,True,2023-08-08 22:34:52,2.14.0,53.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],187397.0,187397.0,https://pypi.org/project/tensorboard,20792905.0,20902309.0,https://anaconda.org/conda-forge/tensorboard,2023-08-09 15:42:17.420,4266768.0,,,,,1.0,,,,,,,,,,,,,,,
28,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-09-14 07:30:12.000000,2023-09-13 18:35:43,1803.0,214.0,3242.0,303.0,2110.0,699.0,1313.0,28324.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",239.0,42,True,2023-09-11 21:12:04,0.10.3,55.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4183.0,4183.0,https://pypi.org/project/deepspeed,444949.0,445338.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,3.0,17130.0,1.0,,,,,,,10.0,,,,,,,,
29,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-09-14 14:03:58.000000,2023-09-14 09:08:04,5647.0,418.0,1467.0,134.0,2416.0,419.0,2334.0,21798.0,"Wrap UIs around any model, share with anyone.",201.0,42,True,2023-08-23 23:33:20,3.41.0,100.0,gradio,,,,,13257.0,13257.0,https://pypi.org/project/gradio,4676534.0,4676534.0,,,,,,,,1.0,,,,,,,9.0,,,,,,,,
30,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-09-14 11:37:22.000000,2023-09-13 23:12:18,20208.0,65.0,4020.0,445.0,5808.0,740.0,6660.0,17921.0,"Interactive Data Visualization in the browser, from Python.",669.0,42,True,,,53.0,bokeh,conda-forge/bokeh,,,,75778.0,75778.0,https://pypi.org/project/bokeh,5548830.0,5870984.0,https://anaconda.org/conda-forge/bokeh,2023-08-14 08:47:36.698,12564012.0,,,,,1.0,,,,,,,,,,,,,,,
31,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-09-13 13:05:30.000000,2023-09-12 06:16:30,7387.0,75.0,2890.0,277.0,3408.0,200.0,2850.0,13158.0,Network Analysis in Python.,669.0,42,False,2023-04-04 20:05:38,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,184754.0,184754.0,https://pypi.org/project/networkx,27228579.0,27387526.0,https://anaconda.org/conda-forge/networkx,2023-06-16 13:18:51.990,13192603.0,,,,,1.0,65.0,,,,,,,,,,,,,,
32,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2023-09-14 12:47:52.000000,2023-09-14 12:47:50,15083.0,386.0,1291.0,156.0,6057.0,531.0,3583.0,12784.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",193.0,42,True,2023-09-07 19:53:40,2.13.0,185.0,prefect,conda-forge/prefect,,,,3733.0,3733.0,https://pypi.org/project/prefect,655466.0,668407.0,https://anaconda.org/conda-forge/prefect,2023-09-07 22:23:03.970,517673.0,,,,,1.0,,,,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-09-13 23:26:11.000000,2023-09-13 23:04:24,4509.0,55.0,1944.0,1703.0,4326.0,204.0,2534.0,11182.0,WebGL2 powered visualization framework.,238.0,42,True,2023-09-13 23:18:34,8.9.28,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6488.0,6488.0,https://pypi.org/project/pydeck,1416202.0,1874707.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,436833.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,448347.0,,,,,,,,,
34,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-09-11 05:04:46.000000,2023-09-11 01:18:01,3175.0,28.0,1703.0,257.0,1034.0,104.0,2267.0,11100.0,Statistical data visualization in Python.,199.0,42,True,2022-12-30 19:12:05,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,300809.0,300809.0,https://pypi.org/project/seaborn,9871437.0,9958670.0,https://anaconda.org/conda-forge/seaborn,2023-06-16 13:21:42.625,7414690.0,,,,,1.0,268.0,,,,,,,,,,,,,,
35,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-08-30 19:10:45.196000,2023-08-30 13:58:07,3563.0,54.0,700.0,149.0,1261.0,186.0,1659.0,8459.0,Declarative statistical visualization library for Python.,157.0,42,True,2023-08-30 11:35:46,5.1.1,25.0,altair,conda-forge/altair,,,,73186.0,73186.0,https://pypi.org/project/altair,14297523.0,14392689.0,https://anaconda.org/conda-forge/altair,2023-08-30 19:10:45.196,1998475.0,,,,,1.0,88.0,,,,,,,,,,,,,,
36,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-09-14 10:46:45.000000,2023-09-13 10:51:16,13689.0,57.0,2091.0,187.0,4235.0,520.0,1990.0,5575.0,Image processing in Python.,626.0,42,False,2023-06-02 05:03:22,0.21.0,22.0,scikit-image,conda-forge/scikit-image,,,,153608.0,153608.0,https://pypi.org/project/scikit-image,7849711.0,7991764.0,https://anaconda.org/conda-forge/scikit-image,2023-07-08 14:10:33.891,5540086.0,,,,,1.0,,,,,,,,,,,,,,,
37,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-09-14 10:15:48.000000,2023-09-13 03:47:21,2503.0,117.0,2914.0,259.0,693.0,1401.0,898.0,20073.0,A game theoretic approach to explain the output of any machine learning model.,220.0,41,True,2023-07-15 11:15:28,0.42.1,49.0,shap,conda-forge/shap,,,,13199.0,13199.0,https://pypi.org/project/shap,7134740.0,7197721.0,https://anaconda.org/conda-forge/shap,2023-07-26 09:30:41.606,2078401.0,,,,,1.0,,,shap/shap,,,,,,,,,,,,
38,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-09-01 12:48:33.000000,2023-08-27 14:14:44,4506.0,37.0,4141.0,434.0,1676.0,375.0,1440.0,14623.0,Topic Modelling for Humans.,447.0,41,True,2023-08-24 08:44:46,4.3.2,43.0,gensim,conda-forge/gensim,,,,50070.0,50070.0,https://pypi.org/project/gensim,4060348.0,4098248.0,https://anaconda.org/conda-forge/gensim,2023-08-24 12:30:21.806,1135593.0,,,,,1.0,4450.0,,,,,,,,,,,,,,
39,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-08-22 21:50:47.000000,2023-06-02 02:45:47,14445.0,,2648.0,468.0,1427.0,247.0,1483.0,12330.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,441.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,219143.0,219143.0,https://pypi.org/project/nltk,12018765.0,12044674.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2202349.0,,,,,1.0,,,,,,,,,,,,,,,
40,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-09-13 14:23:42.000000,2023-09-08 16:00:30,7863.0,72.0,1599.0,215.0,5449.0,787.0,4023.0,11370.0,Parallel computing with task scheduling.,586.0,41,True,,,155.0,dask,conda-forge/dask,,,,52535.0,52535.0,https://pypi.org/project/dask,10390197.0,10641092.0,https://anaconda.org/conda-forge/dask,2023-09-07 00:48:34.775,10035823.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,
