,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,snap_id,dnf_id,yay_id
10,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2023-06-22 14:18:25.000000,2023-06-22 00:52:20,20107.0,876.0,12020.0,762.0,21434.0,688.0,6741.0,31135.0,"Platform to programmatically author, schedule, and monitor workflows.",2875.0,47,True,2023-06-17 10:19:05,2.6.2,66.0,apache-airflow,conda-forge/airflow,apache/airflow,,,7147.0,7147.0,https://pypi.org/project/apache-airflow,8970377.0,10225471.0,https://anaconda.org/conda-forge/airflow,2023-06-17 18:39:01.791,904965.0,https://hub.docker.com/r/apache/airflow,2023-06-17 08:43:46.762455,452.0,119952178.0,1.0,492323.0,stable/airflow,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-06-22 13:31:03.000000,2023-06-22 09:44:50,14939.0,342.0,1884.0,220.0,4291.0,83.0,2731.0,10917.0,Python Imaging Library (Fork).,438.0,47,True,2023-04-01 09:33:34,9.5.0,50.0,Pillow,conda-forge/pillow,,,,1226101.0,1226101.0,https://pypi.org/project/Pillow,54015718.0,54360538.0,https://anaconda.org/conda-forge/pillow,2023-06-16 13:16:20.418,29654582.0,,,,,1.0,,,,,,,,,,,,,,,
12,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-06-22 13:56:14.000000,2023-06-22 13:04:22,61397.0,3376.0,18020.0,1653.0,69155.0,11249.0,23385.0,68054.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4130.0,45,True,2023-05-08 19:55:19,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,10853448.0,11652482.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,16774962.0,,,,,1.0,18426.0,,,,,,,,,,,,,,
13,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-06-20 20:54:28.000000,2023-06-14 18:51:01,15069.0,123.0,2536.0,275.0,3782.0,2460.0,2676.0,8599.0,Statsmodels: statistical modeling and econometrics in Python.,414.0,45,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,96077.0,96077.0,https://pypi.org/project/statsmodels,11348537.0,11470589.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,10252417.0,,,,,1.0,28.0,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-06-22 13:39:12.000000,2023-06-21 13:34:28,15939.0,77.0,4045.0,552.0,3776.0,76.0,5351.0,26423.0,Industrial-strength Natural Language Processing (NLP) in Python.,728.0,44,True,2023-05-25 11:16:21,3.2.6,100.0,spacy,conda-forge/spacy,,,,62848.0,62848.0,https://pypi.org/project/spacy,5308955.0,5349706.0,https://anaconda.org/conda-forge/spacy,2023-06-16 13:23:26.389,3097114.0,,,,,1.0,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-06-22 13:54:20.000000,2023-06-22 12:38:55,17875.0,1338.0,4421.0,450.0,22142.0,2696.0,11582.0,26262.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,873.0,44,True,2023-06-21 18:09:41,ray-2.5.1,67.0,ray,conda-forge/ray-tune,,,,10211.0,10211.0,https://pypi.org/project/ray,2099328.0,2103958.0,https://anaconda.org/conda-forge/ray-tune,2023-06-21 15:09:11.978,138876.0,,,,,1.0,84.0,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-06-22 13:09:38.000000,2023-06-22 12:22:53,16523.0,1104.0,2128.0,310.0,10242.0,1149.0,3129.0,23579.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",552.0,44,True,2023-06-08 23:51:45,jax-v0.4.12,75.0,jax,conda-forge/jaxlib,,,,14274.0,14274.0,https://pypi.org/project/jax,4438160.0,4455139.0,https://anaconda.org/conda-forge/jaxlib,2023-06-10 19:55:47.558,798023.0,,,,,1.0,,,,,,,,,,,,,,,
17,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2023-06-20 18:22:37.000000,2023-06-19 19:37:52,12250.0,94.0,4326.0,481.0,2975.0,561.0,4306.0,21735.0,Asynchronous task queue/job queue based on distributed message passing.,1283.0,44,False,2023-06-18 14:18:25,5.3.1,42.0,celery,conda-forge/celery,,,,104896.0,104896.0,https://pypi.org/project/celery,6782151.0,6817801.0,https://anaconda.org/conda-forge/celery,2023-06-20 10:13:58.739,1283432.0,,,,,1.0,,,,,,,,,,,,,,,
18,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-06-22 13:24:40.000000,2023-06-22 07:28:52,4198.0,352.0,3294.0,291.0,5694.0,962.0,1980.0,14633.0,Open source platform for the machine learning lifecycle.,591.0,44,True,2023-06-10 01:28:30,2.4.1,70.0,mlflow,conda-forge/mlflow,,,,20570.0,20570.0,https://pypi.org/project/mlflow,10798828.0,10825782.0,https://anaconda.org/conda-forge/mlflow,2023-06-10 05:41:45.868,1347728.0,,,,,1.0,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-06-22 12:50:55.000000,2023-06-21 12:33:38,54342.0,488.0,3878.0,290.0,12432.0,4134.0,8407.0,10880.0,A computer algebra system written in pure Python.,1226.0,44,False,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,67554.0,67554.0,https://pypi.org/project/sympy,9288049.0,9335297.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,3656013.0,,,,,1.0,504207.0,,,,,,,,,,,,,,
20,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-06-22 03:54:41.000000,2023-06-21 22:43:11,6411.0,135.0,8058.0,913.0,4477.0,318.0,4517.0,24289.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",611.0,43,True,2023-06-19 01:38:37,1.7.6,51.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,59451.0,59451.0,https://pypi.org/project/xgboost,9000849.0,9054056.0,https://anaconda.org/conda-forge/xgboost,2023-06-02 10:01:13.176,3986060.0,,,,,1.0,6713.0,,,,,,,,,,,,,,
21,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-06-22 08:49:04.000000,2023-06-20 16:08:46,3285.0,56.0,3613.0,444.0,2914.0,261.0,2748.0,15085.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",284.0,43,True,2023-01-24 03:15:36,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,22805.0,22805.0,https://pypi.org/project/lightgbm,5717741.0,5745671.0,https://anaconda.org/conda-forge/lightgbm,2023-06-16 13:25:28.690,1797828.0,,,,,1.0,193133.0,,,,,,,,,,,,,,
22,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-06-21 22:41:23.000000,2023-06-21 02:25:59,5532.0,118.0,1540.0,191.0,4647.0,581.0,1196.0,6279.0,TensorFlows Visualization Toolkit.,301.0,43,True,2023-05-04 22:43:16,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],174497.0,174497.0,https://pypi.org/project/tensorboard,18819542.0,18880230.0,https://anaconda.org/conda-forge/tensorboard,2023-06-16 13:24:55.263,4066128.0,,,,,1.0,,,,,,,,,,,,,,,
23,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-06-21 23:32:27.000000,2023-06-20 15:33:22,8279.0,358.0,18463.0,1912.0,6458.0,297.0,11454.0,58636.0,Deep Learning for humans.,1190.0,42,True,2023-03-21 20:12:17,2.12.0,48.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,9757656.0,9795575.0,https://anaconda.org/conda-forge/keras,2023-06-16 13:24:44.459,3109405.0,,,,,2.0,,,,,,,,,,,,,,,
24,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-06-22 09:56:59.000000,2023-06-22 09:56:44,42249.0,1504.0,5027.0,729.0,37824.0,1026.0,15802.0,20434.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1044.0,42,True,2023-05-08 08:33:39,2.4.2,59.0,paddlepaddle,,,,['paddle'],262.0,262.0,https://pypi.org/project/paddlepaddle,130617.0,130804.0,,,,,,,,2.0,15355.0,,,,,,,,,,,,,,
25,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-06-22 12:05:28.000000,2023-06-19 16:35:16,20145.0,87.0,4016.0,449.0,5739.0,703.0,6617.0,17686.0,"Interactive Data Visualization in the browser, from Python.",660.0,42,True,,,50.0,bokeh,conda-forge/bokeh,,,,71177.0,71177.0,https://pypi.org/project/bokeh,3290023.0,3446954.0,https://anaconda.org/conda-forge/bokeh,2023-06-16 13:23:47.229,11612909.0,,,,,1.0,,,,,,,,,,,,,,,
26,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-06-22 12:03:14.000000,2023-06-17 18:23:55,7313.0,88.0,2835.0,279.0,3315.0,191.0,2803.0,12781.0,Network Analysis in Python.,653.0,42,False,2023-04-04 20:05:38,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,166288.0,166288.0,https://pypi.org/project/networkx,26034927.0,26184805.0,https://anaconda.org/conda-forge/networkx,2023-06-16 13:18:51.990,11990270.0,,,,,1.0,65.0,,,,,,,,,,,,,,
27,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2023-06-22 13:50:01.000000,2023-06-21 23:54:38,14715.0,529.0,1223.0,152.0,5627.0,486.0,3381.0,12188.0,The easiest way to orchestrate and observe your data pipelines.,168.0,42,True,2023-06-20 20:02:23,2.10.16,172.0,prefect,conda-forge/prefect,,,,3205.0,3205.0,https://pypi.org/project/prefect,738013.0,750585.0,https://anaconda.org/conda-forge/prefect,2023-06-15 23:48:04.307,465183.0,,,,,1.0,,,,,,,,,,,,,,,
28,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-06-22 13:38:27.000000,2023-06-22 13:38:22,4456.0,50.0,1915.0,1707.0,4269.0,204.0,2486.0,10978.0,WebGL2 powered visualization framework.,228.0,42,True,2023-06-14 19:00:08,8.9.19,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6109.0,6109.0,https://pypi.org/project/pydeck,1400379.0,1866389.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,394428.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,456150.0,,,,,,,,,,
29,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-06-20 00:53:31.000000,2023-06-20 00:52:44,3150.0,25.0,1654.0,257.0,1007.0,119.0,2212.0,10835.0,Statistical data visualization in Python.,197.0,42,True,2022-12-30 19:12:05,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,273024.0,273024.0,https://pypi.org/project/seaborn,9655621.0,9739500.0,https://anaconda.org/conda-forge/seaborn,2023-06-16 13:21:42.625,6877931.0,,,,,1.0,249.0,,,,,,,,,,,,,,
30,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-06-18 20:59:04.000000,2023-06-18 20:59:03,3513.0,67.0,699.0,150.0,1213.0,175.0,1629.0,8321.0,Declarative statistical visualization library for Python.,156.0,42,True,2023-05-26 21:55:53,5.0.1,23.0,altair,conda-forge/altair,,,,61295.0,61295.0,https://pypi.org/project/altair,12089072.0,12111460.0,https://anaconda.org/conda-forge/altair,2023-06-16 13:24:26.672,1858215.0,,,,,1.0,62.0,,,,,,,,,,,,,,
31,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-06-22 06:39:52.000000,2023-06-14 19:48:55,13596.0,118.0,2070.0,187.0,4177.0,492.0,1977.0,5455.0,Image processing in Python.,619.0,42,False,2023-06-02 05:03:22,0.21.0,21.0,scikit-image,conda-forge/scikit-image,,,,145210.0,145210.0,https://pypi.org/project/scikit-image,7249408.0,7310636.0,https://anaconda.org/conda-forge/scikit-image,2023-06-16 13:16:26.659,5204417.0,,,,,1.0,,,,,,,,,,,,,,,
32,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-06-22 13:40:35.000000,2023-06-22 13:40:05,5276.0,357.0,1246.0,129.0,1968.0,344.0,1959.0,18996.0,"Wrap UIs around any model, share with anyone.",172.0,41,True,2023-06-15 22:03:01,3.35.2,100.0,gradio,,,,,8702.0,8702.0,https://pypi.org/project/gradio,3253280.0,3253280.0,,,,,,,,1.0,,,,,,8.0,,,,,,,,,
33,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-06-22 13:56:23.000000,2023-06-22 12:47:31,32109.0,614.0,4230.0,349.0,5867.0,1.0,6642.0,16586.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",582.0,41,True,2023-06-14 15:12:02,3.6.0,100.0,rasa,,,,['tensorflow'],3456.0,3456.0,https://pypi.org/project/rasa,135991.0,135991.0,,,,,,,,1.0,,,,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-06-22 00:36:13.000000,2023-06-21 01:10:29,2402.0,142.0,3460.0,433.0,2802.0,317.0,2069.0,14993.0,Open standard for machine learning interoperability.,284.0,41,True,2023-05-05 16:35:02,1.14.0,25.0,onnx,conda-forge/onnx,,,,16188.0,16188.0,https://pypi.org/project/onnx,2946946.0,2958546.0,https://anaconda.org/conda-forge/onnx,2023-06-11 11:01:40.854,758567.0,,,,,1.0,18977.0,,,,,,,,,,,,,,
35,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-06-16 13:20:53.756000,2023-06-02 02:45:47,14445.0,7.0,2620.0,468.0,1421.0,237.0,1482.0,12057.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,441.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,202324.0,202324.0,https://pypi.org/project/nltk,10843188.0,10868076.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2040839.0,,,,,1.0,,,,,,,,,,,,,,,
36,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-06-22 13:21:35.000000,2023-06-22 13:21:34,8820.0,235.0,1046.0,135.0,4997.0,565.0,3772.0,11671.0,Data Version Control | Git for Data & Models | ML Experiments Management.,283.0,41,True,2023-06-18 22:21:41,3.1.0,239.0,dvc,conda-forge/dvc,,,,7963.0,7963.0,https://pypi.org/project/dvc,651971.0,701487.0,https://anaconda.org/conda-forge/dvc,2023-06-20 13:41:08.308,1593933.0,,,,,1.0,110070.0,,,,,,dvc,dvc,dvc,,,,,,
37,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-06-22 12:55:46.000000,2023-06-22 12:55:45,7797.0,153.0,1583.0,214.0,5367.0,759.0,4000.0,11129.0,Parallel computing with task scheduling.,581.0,41,True,,,148.0,dask,conda-forge/dask,,,,50237.0,50237.0,https://pypi.org/project/dask,8044386.0,8152888.0,https://anaconda.org/conda-forge/dask,2023-06-09 18:25:24.931,9222704.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,
38,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2023-06-22 13:47:21.000000,2023-06-22 10:19:03,2394.0,117.0,2844.0,256.0,565.0,1500.0,731.0,19505.0,A game theoretic approach to explain the output of any machine learning model.,213.0,40,True,2022-06-16 00:31:04,0.41.0,47.0,shap,conda-forge/shap,,,,11873.0,11873.0,https://pypi.org/project/shap,4629968.0,4663745.0,https://anaconda.org/conda-forge/shap,2023-06-11 05:50:42.032,1959110.0,,,,,1.0,,,,,,,,,,,,,,,
39,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-06-22 14:18:03.000000,2023-06-22 14:17:08,6884.0,165.0,1819.0,408.0,956.0,711.0,812.0,18879.0,Data Apps & Dashboards for Python. No JavaScript Required.,137.0,40,True,2023-05-31 16:21:43,2.10.2,95.0,dash,conda-forge/dash,,,,48163.0,48163.0,https://pypi.org/project/dash,1601579.0,1617848.0,https://anaconda.org/conda-forge/dash,2023-06-05 08:50:32.313,992417.0,,,,,1.0,,,,,,,,,,,,,,,
40,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-06-20 22:17:49.000000,2023-05-25 15:50:03,4469.0,10.0,4140.0,432.0,1672.0,368.0,1437.0,14438.0,Topic Modelling for Humans.,446.0,40,True,2022-12-21 00:42:57,4.3.0,42.0,gensim,conda-forge/gensim,,,,47322.0,47322.0,https://pypi.org/project/gensim,3822930.0,3838646.0,https://anaconda.org/conda-forge/gensim,2023-06-16 13:22:43.559,1081104.0,,,,,1.0,4422.0,,,,,,,,,,,,,,
41,dlib,davisking/dlib,ml-frameworks,,https://github.com/davisking/dlib,https://github.com/davisking/dlib,BSL-1.0,2014-01-29 00:45:33.000,2023-06-12 00:21:05.000000,2023-06-12 00:21:05,8202.0,39.0,2769.0,475.0,655.0,32.0,2097.0,12050.0,A toolkit for making real world machine learning and data analysis applications in C++.,188.0,40,False,2023-05-14 13:10:44,19.24.2,26.0,dlib,conda-forge/dlib,,,,20616.0,20616.0,https://pypi.org/project/dlib,170695.0,178252.0,https://anaconda.org/conda-forge/dlib,2023-06-05 15:05:40.278,590814.0,,,,,2.0,25262.0,,,,,,,,,,,,,,
