,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,docs_url,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,updated_github_id,maven_id,maven_url,dnf_id,yay_id,snap_id
10,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2023-01-05 14:27:12.000000,2023-01-05 14:03:27,18491.0,852.0,11329.0,764.0,19481.0,716.0,5913.0,29057,"Platform to programmatically author, schedule, and monitor workflows.",2685.0,46,True,2022-12-02 17:24:11,2.5.0,58.0,apache-airflow,conda-forge/airflow,,404073.0,13805354.0,5047.0,5047.0,https://pypi.org/project/apache-airflow,12741766.0,https://anaconda.org/conda-forge/airflow,2022-12-03 12:38:54.624,823599.0,1.0,apache/airflow,stable/airflow,https://hub.docker.com/r/apache/airflow,2022-12-03 09:49:06.298857,415.0,97365232.0,,,,,,,,,,,,,,
11,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-01-05 13:54:20.000000,2023-01-05 10:33:37,55336.0,2890.0,16541.0,1630.0,61432.0,9738.0,20385.0,61430,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3775.0,44,True,2022-12-16 00:17:16,1.13.1,43.0,torch,pytorch/pytorch,['pytorch'],9170.0,9298731.0,,,https://pypi.org/project/torch,7934509.0,https://anaconda.org/pytorch/pytorch,2022-12-15 16:18:09.640,21825645.0,1.0,,,,,,,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,
12,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-01-05 11:27:25.000000,2023-01-05 10:46:04,15759.0,117.0,3902.0,550.0,3516.0,80.0,5231.0,24915,Industrial-strength Natural Language Processing (NLP) in Python.,712.0,44,True,2022-12-16 07:55:55,2.3.9,100.0,spacy,conda-forge/spacy,,,4301635.0,48082.0,48082.0,https://pypi.org/project/spacy,4260779.0,https://anaconda.org/conda-forge/spacy,2022-12-29 11:37:56.768,2900811.0,1.0,,,,,,,,,,,,,,,,,,,,
13,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-01-05 13:34:11.000000,2023-01-05 12:41:22,15531.0,997.0,3997.0,438.0,18774.0,2428.0,9990.0,23513,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,794.0,44,True,2022-12-13 19:56:57,ray-2.2.0,62.0,ray,conda-forge/ray-tune,,,1812697.0,6843.0,6843.0,https://pypi.org/project/ray,1809173.0,https://anaconda.org/conda-forge/ray-tune,2023-01-02 14:24:21.128,88108.0,1.0,,,,,,,,,,,,,,,,,,,,
14,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-01-02 13:16:08.000000,2023-01-02 13:16:07,3101.0,52.0,1611.0,253.0,955.0,97.0,2116.0,10212,Statistical data visualization in Python.,183.0,44,True,2022-12-30 19:12:05,0.12.2,33.0,seaborn,conda-forge/seaborn,,238.0,8277543.0,206250.0,206250.0,https://pypi.org/project/seaborn,8205406.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,5554438.0,1.0,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-01-05 13:58:47.000000,2023-01-05 09:48:26,6130.0,164.0,7990.0,930.0,3979.0,293.0,4358.0,23611,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",589.0,43,True,2022-12-08 19:41:14,1.7.2,47.0,xgboost,conda-forge/xgboost,,5664.0,8340313.0,41673.0,41673.0,https://pypi.org/project/xgboost,8290483.0,https://anaconda.org/conda-forge/xgboost,2022-11-07 20:50:22.110,3484414.0,1.0,,,,,,,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-01-05 13:51:40.000000,2023-01-05 13:20:03,14299.0,972.0,1942.0,290.0,8470.0,980.0,2793.0,21376,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",488.0,43,True,2022-12-13 18:24:20,jaxlib-v0.4.1,55.0,jax,conda-forge/jaxlib,,,661009.0,6660.0,6660.0,https://pypi.org/project/jax,647376.0,https://anaconda.org/conda-forge/jaxlib,2022-12-14 15:37:17.163,572586.0,1.0,,,,,,,,,,,,,,,,,,,,
17,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2023-01-04 17:41:42.000000,2023-01-04 17:41:42,12103.0,91.0,4231.0,475.0,2807.0,526.0,4264.0,20729,Asynchronous task queue/job queue based on distributed message passing.,1257.0,43,False,2022-08-01 11:20:41,5.3.0b1,37.0,celery,conda-forge/celery,,,5058755.0,82221.0,82221.0,https://pypi.org/project/celery,5045770.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,1064830.0,1.0,,,,,,,,,,,,,,,,,,,,
18,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-01-05 06:25:26.000000,2023-01-03 01:42:19,3155.0,58.0,3550.0,450.0,2771.0,213.0,2669.0,14516,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",277.0,43,True,2023-01-04 22:08:12,3.3.4,26.0,lightgbm,conda-forge/lightgbm,,175187.0,6026802.0,17417.0,17417.0,https://pypi.org/project/lightgbm,6002841.0,https://anaconda.org/conda-forge/lightgbm,2022-10-28 00:50:18.967,1413937.0,1.0,,,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-01-05 13:57:43.000000,2023-01-05 13:57:43,52727.0,377.0,3714.0,284.0,11982.0,4029.0,8217.0,9937,A computer algebra system written in pure Python.,1190.0,43,False,2022-08-30 17:24:48,sympy-1.11.1,43.0,sympy,conda-forge/sympy,,480972.0,3156809.0,50256.0,50256.0,https://pypi.org/project/sympy,3118211.0,https://anaconda.org/conda-forge/sympy,2022-10-27 02:25:19.270,2750342.0,1.0,,,,,,,,,,,,,,,,,,,,
20,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-01-03 20:52:15.000000,2023-01-03 20:52:15,14854.0,132.0,2456.0,271.0,3679.0,2322.0,2598.0,8064,Statsmodels: statistical modeling and econometrics in Python.,403.0,43,True,2022-11-02 16:51:52,0.13.5,23.0,statsmodels,conda-forge/statsmodels,,26.0,8442333.0,76878.0,76878.0,https://pypi.org/project/statsmodels,8337523.0,https://anaconda.org/conda-forge/statsmodels,2022-11-04 18:55:06.900,8280025.0,1.0,,,,,,,,,,,,,,,,,,,,
21,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-01-05 07:18:11.000000,2023-01-04 18:59:22,5315.0,110.0,1505.0,193.0,4394.0,563.0,1153.0,6079,TensorFlows Visualization Toolkit.,292.0,43,True,2022-11-09 01:31:25,2.11.0,45.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,16309161.0,139573.0,139573.0,https://pypi.org/project/tensorboard,16251379.0,https://anaconda.org/conda-forge/tensorboard,2022-11-09 05:16:36.975,3582521.0,1.0,,,,,,,,,,,,,,,,,,,,
22,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-01-03 10:31:40.000000,2023-01-03 10:31:40,14407.0,37.0,2545.0,469.0,1402.0,208.0,1461.0,11365,Suite of libraries and programs for symbolic and statistical natural language processing for English.,436.0,42,True,,,17.0,nltk,conda-forge/nltk,,,10195266.0,169341.0,169341.0,https://pypi.org/project/nltk,10173479.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,1677657.0,1.0,,,,,,,,,,,,,,,,,,,,
23,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-01-04 23:46:11.000000,2023-01-04 20:38:03,4286.0,61.0,1816.0,1729.0,4080.0,169.0,2404.0,10523,WebGL2 powered visualization framework.,212.0,42,True,2022-12-28 20:03:29,8.8.21,100.0,pydeck,conda-forge/pydeck,['jupyter'],,1196389.0,5158.0,5158.0,https://pypi.org/project/pydeck,898304.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,266646.0,1.0,,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,290467.0,,,,,,,,,,
24,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-01-05 14:04:58.000000,2023-01-05 13:03:59,39403.0,1588.0,4688.0,733.0,33606.0,2015.0,13852.0,19375,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,902.0,41,True,2022-12-13 09:22:18,2.4.1,58.0,paddlepaddle,,['paddle'],15328.0,88613.0,182.0,182.0,https://pypi.org/project/paddlepaddle,88414.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
25,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-01-05 12:24:29.000000,2022-12-16 09:04:27,30982.0,368.0,4057.0,347.0,5249.0,572.0,6065.0,15299,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",569.0,41,True,2022-12-14 15:46:49,3.4.0,100.0,rasa,,['tensorflow'],,112791.0,2863.0,2863.0,https://pypi.org/project/rasa,112791.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-01-05 13:54:20.000000,2023-01-01 16:56:15,2118.0,45.0,3177.0,430.0,2461.0,258.0,1892.0,13880,Open standard for machine learning interoperability.,264.0,41,True,2022-12-12 14:38:36,1.13.0,23.0,onnx,conda-forge/onnx,,18305.0,2132726.0,10099.0,10099.0,https://pypi.org/project/onnx,2122483.0,https://anaconda.org/conda-forge/onnx,2022-12-15 14:09:08.911,617102.0,1.0,,,,,,,,,,,,,,,,,,,,
27,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-12-21 13:44:44.543000,2022-12-21 00:41:18,4427.0,36.0,4084.0,430.0,1635.0,360.0,1422.0,13837,Topic Modelling for Humans.,440.0,41,True,2022-12-21 00:42:57,4.3.0,42.0,gensim,conda-forge/gensim,,4006.0,4266017.0,39754.0,39754.0,https://pypi.org/project/gensim,4251141.0,https://anaconda.org/conda-forge/gensim,2022-12-21 13:44:44.543,949161.0,1.0,,,,,,,,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-01-05 11:30:51.000000,2023-01-05 00:13:27,7147.0,105.0,2722.0,279.0,3070.0,182.0,2707.0,12015,Network Analysis in Python.,638.0,41,False,2022-11-01 20:29:34,networkx-2.8.8,49.0,networkx,conda-forge/networkx,,63.0,18836455.0,129970.0,129970.0,https://pypi.org/project/networkx,18711132.0,https://anaconda.org/conda-forge/networkx,2022-11-02 12:22:18.460,9399292.0,1.0,,,,,,,,,,,,,,,,,,,,
29,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-01-05 10:36:07.000000,2023-01-04 16:57:29,8257.0,236.0,991.0,137.0,4444.0,602.0,3446.0,10851,Data Version Control | Git for Data & Models | ML Experiments Management.,276.0,41,True,2022-12-15 07:16:14,2.38.1,218.0,dvc,conda-forge/dvc,,114526.0,1569418.0,5797.0,5797.0,https://pypi.org/project/dvc,1531638.0,https://anaconda.org/conda-forge/dvc,2022-12-16 11:26:34.758,1368160.0,1.0,,,,,,,,,,,dvc,dvc,dvc,4.0,,,,,,
30,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-01-05 13:10:52.000000,2023-01-05 13:02:22,7492.0,104.0,1535.0,216.0,5005.0,712.0,3863.0,10633,Parallel computing with task scheduling.,571.0,41,True,,,136.0,dask,conda-forge/dask,,,7392171.0,42945.0,42945.0,https://pypi.org/project/dask,7297552.0,https://anaconda.org/conda-forge/dask,2022-12-16 23:50:30.501,7569537.0,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
31,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2022-12-21 11:45:43.000000,2022-12-17 16:05:03,13346.0,56.0,1991.0,186.0,3908.0,461.0,1905.0,5182,Image processing in Python.,586.0,41,False,2022-06-12 18:12:41,0.19.3,20.0,scikit-image,conda-forge/scikit-image,,,5156895.0,122723.0,122723.0,https://pypi.org/project/scikit-image,5101946.0,https://anaconda.org/conda-forge/scikit-image,2022-10-30 12:02:37.338,4395940.0,1.0,,,,,,,,,,,,,,,,,,,,
32,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-01-05 10:09:49.000000,2023-01-04 11:02:31,7615.0,180.0,18366.0,1936.0,5780.0,270.0,11309.0,56998,Deep Learning for humans.,1137.0,40,True,2022-11-14 18:10:37,2.11.0,45.0,keras,conda-forge/keras,['tensorflow'],,9720553.0,,,https://pypi.org/project/keras,9684136.0,https://anaconda.org/conda-forge/keras,2022-11-21 08:56:09.864,2804110.0,2.0,,,,,,,https://keras.io,,,,,,,,,,,,,
33,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-01-04 22:11:43.000000,2023-01-04 22:11:43,2609.0,51.0,7123.0,614.0,2151.0,120.0,1565.0,23205,The fastai deep learning library.,231.0,40,True,2022-11-02 03:04:39,2.7.10,47.0,fastai,,['pytorch'],,380399.0,12002.0,12002.0,https://pypi.org/project/fastai,380399.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
34,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-01-04 14:03:24.000000,2022-12-17 15:12:48,6518.0,90.0,1758.0,411.0,868.0,690.0,727.0,17888,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",132.0,40,True,2022-12-12 16:06:19,2.7.1,88.0,dash,conda-forge/dash,,,879597.0,38969.0,38969.0,https://pypi.org/project/dash,866033.0,https://anaconda.org/conda-forge/dash,2022-12-13 01:45:25.956,759593.0,1.0,,,,,,,,,,,,,,,,,,,,
35,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2023-01-05 13:52:11.000000,2023-01-03 15:19:08,8133.0,201.0,1970.0,183.0,3766.0,24.0,1729.0,17058,Build multimodal AI services via cloud native technologies Neural Search Generative AI Cloud Native.,161.0,40,True,2022-12-30 10:56:49,3.13.2,100.0,jina,conda-forge/jina-core,,,99719.0,432.0,432.0,https://pypi.org/project/jina,64051.0,https://anaconda.org/conda-forge/jina-core,2022-08-16 02:48:28.481,34999.0,2.0,jinaai/jina,,https://hub.docker.com/r/jinaai/jina,2023-01-03 18:09:20.207618,7.0,1171868.0,,,,,,,,,,,,,,
36,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2023-01-05 13:04:27.000000,2023-01-05 13:04:26,13676.0,859.0,1068.0,151.0,4422.0,663.0,2480.0,10915,The easiest way to coordinate your dataflow.,108.0,40,True,2023-01-04 23:29:06,2.7.6,142.0,prefect,conda-forge/prefect,,,389824.0,1518.0,1518.0,https://pypi.org/project/prefect,381697.0,https://anaconda.org/conda-forge/prefect,2023-01-05 07:36:20.365,373879.0,1.0,,,,,,,,,,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2023-01-05 13:23:40.000000,2023-01-05 08:36:44,14774.0,705.0,782.0,119.0,2870.0,84.0,1241.0,7385,A hyperparameter optimization framework.,224.0,40,True,2022-12-19 08:00:35,3.0.5,55.0,optuna,conda-forge/optuna,,,1518819.0,5155.0,5155.0,https://pypi.org/project/optuna,1509129.0,https://anaconda.org/conda-forge/optuna,2022-12-20 01:55:52.642,368255.0,1.0,,,,,,,,,,,,,,,,,,,,
38,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-11-23 06:34:20.000000,2022-10-25 17:01:14,1755.0,1.0,7639.0,1002.0,1433.0,31.0,1699.0,29616,A toolkit for developing and comparing reinforcement learning algorithms.,384.0,39,True,2022-10-04 16:39:12,0.26.2,19.0,gym,conda-forge/gym,,,746020.0,35552.0,35552.0,https://pypi.org/project/gym,740727.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,174674.0,1.0,,,,,,,,,,,,,,,,,,,,
39,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/rwightman/pytorch-image-models,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-01-05 06:24:01.000000,2023-01-04 17:42:05,1653.0,99.0,3707.0,293.0,292.0,72.0,563.0,22783,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision..",89.0,39,True,2022-11-23 22:11:26,0.6.12,38.0,timm,conda-forge/timm,['pytorch'],2737112.0,1370289.0,6822.0,6822.0,https://pypi.org/project/timm,1306697.0,https://anaconda.org/conda-forge/timm,2022-11-24 16:33:10.061,41561.0,1.0,,,,,,,,,,,,,,,,,,,,
40,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-01-05 12:31:27.000000,2023-01-05 12:31:27,5175.0,174.0,1948.0,286.0,2889.0,567.0,2360.0,22007,Streamlit The fastest way to build data apps in Python.,160.0,39,True,2023-01-04 19:42:37,1.16.0,50.0,streamlit,,,,967274.0,551.0,551.0,https://pypi.org/project/streamlit,967274.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
41,pandas-profiling,ydataai/pandas-profiling,data-viz,,https://github.com/ydataai/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2023-01-05 10:35:22.000000,2023-01-05 10:34:41,1215.0,94.0,1391.0,149.0,585.0,131.0,497.0,9995,Create HTML profiling reports from pandas DataFrame objects.,106.0,39,True,2023-01-02 13:21:11,3.6.2,38.0,pandas-profiling,conda-forge/pandas-profiling,"['jupyter', 'pandas']",,945672.0,10289.0,10289.0,https://pypi.org/project/pandas-profiling,941487.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-02 15:57:51.198,322285.0,1.0,,,,,,,,,,,,,,,,,,,,
