,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
22,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-07-26 21:27:36.000000,2023-07-26 21:27:35,5602,136.0,1543.0,191.0,4716.0,583.0,1199.0,6312,TensorFlows Visualization Toolkit.,305.0,43,True,2023-05-04 22:43:16,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],179991.0,179991.0,https://pypi.org/project/tensorboard,18233176.0,18294239.0,https://anaconda.org/conda-forge/tensorboard,2023-06-16 13:24:55.263,4152332.0,,,,,1.0,,,,,,,,,,,,,,,
23,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-07-27 13:51:15.000000,2023-07-27 13:08:46,42744,1197.0,5063.0,728.0,38554.0,1069.0,15966.0,20657,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1065.0,42,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],272.0,272.0,https://pypi.org/project/paddlepaddle,118710.0,118895.0,,,,,,,,2.0,15356.0,,,,,,,,,,,,,,
24,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-07-27 13:27:08.000000,2023-07-27 11:38:16,20175,82.0,4015.0,446.0,5767.0,718.0,6635.0,17789,"Interactive Data Visualization in the browser, from Python.",665.0,42,True,,,52.0,bokeh,conda-forge/bokeh,,,,72855.0,72855.0,https://pypi.org/project/bokeh,3191168.0,3516284.0,https://anaconda.org/conda-forge/bokeh,2023-07-20 14:00:10.384,12029295.0,,,,,1.0,,,,,,,,,,,,,,,
25,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-07-27 13:24:58.000000,2023-07-27 13:07:05,7343,77.0,2853.0,280.0,3348.0,194.0,2816.0,12907,Network Analysis in Python.,659.0,42,False,2023-04-04 20:05:38,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,173373.0,173373.0,https://pypi.org/project/networkx,25507426.0,25661726.0,https://anaconda.org/conda-forge/networkx,2023-06-16 13:18:51.990,12498306.0,,,,,1.0,65.0,,,,,,,,,,,,,,
26,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2023-07-26 23:39:19.000000,2023-07-26 20:52:09,14870,462.0,1256.0,153.0,5796.0,512.0,3464.0,12396,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",185.0,42,True,2023-07-20 20:47:27,2.11.0,179.0,prefect,conda-forge/prefect,,,,3422.0,3422.0,https://pypi.org/project/prefect,655084.0,667899.0,https://anaconda.org/conda-forge/prefect,2023-07-21 00:14:20.700,486985.0,,,,,1.0,,,,,,,,,,,,,,,
27,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-07-26 16:47:40.000000,2023-07-25 19:54:53,4481,48.0,1937.0,1706.0,4297.0,204.0,2505.0,11061,WebGL2 powered visualization framework.,232.0,42,True,2023-07-20 17:45:01,8.9.22,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6273.0,6273.0,https://pypi.org/project/pydeck,1428731.0,1877583.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,415080.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,438729.0,,,,,,,,,,
28,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-07-24 20:56:27.000000,2023-07-22 23:08:18,3155,19.0,1688.0,257.0,1016.0,125.0,2224.0,10940,Statistical data visualization in Python.,198.0,42,True,2022-12-30 19:12:05,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,284616.0,284616.0,https://pypi.org/project/seaborn,9975742.0,10061315.0,https://anaconda.org/conda-forge/seaborn,2023-06-16 13:21:42.625,7102468.0,,,,,1.0,258.0,,,,,,,,,,,,,,
29,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-07-27 09:46:50.000000,2023-07-27 09:46:50,3525,56.0,697.0,150.0,1228.0,179.0,1641.0,8389,Declarative statistical visualization library for Python.,156.0,42,True,2023-05-26 21:55:53,5.0.1,23.0,altair,conda-forge/altair,,,,65752.0,65752.0,https://pypi.org/project/altair,12869955.0,12971262.0,https://anaconda.org/conda-forge/altair,2023-07-12 14:27:15.237,1924840.0,,,,,1.0,73.0,,,,,,,,,,,,,,
30,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-07-26 15:19:46.000000,2023-07-24 22:28:55,13656,136.0,2081.0,187.0,4201.0,503.0,1983.0,5519,Image processing in Python.,620.0,42,False,2023-06-02 05:03:22,0.21.0,22.0,scikit-image,conda-forge/scikit-image,,,,148773.0,148773.0,https://pypi.org/project/scikit-image,7036758.0,7181389.0,https://anaconda.org/conda-forge/scikit-image,2023-07-08 14:10:33.891,5351348.0,,,,,1.0,,,,,,,,,,,,,,,
31,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-07-27 08:17:11.000000,2023-07-26 18:32:27,8321,162.0,18480.0,1917.0,6505.0,299.0,11474.0,58927,Deep Learning for humans.,1196.0,41,True,2023-06-27 23:42:33,2.13.1,50.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,9953037.0,9991138.0,https://anaconda.org/conda-forge/keras,2023-06-16 13:24:44.459,3162454.0,,,,,2.0,,,,,,,,,,,,,,,
32,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-07-27 13:45:08.000000,2023-07-26 21:10:24,5461,426.0,1328.0,128.0,2180.0,382.0,2085.0,20250,"Wrap UIs around any model, share with anyone.",181.0,41,True,2023-07-26 21:14:51,3.39.0,100.0,gradio,,,,,10548.0,10548.0,https://pypi.org/project/gradio,3110468.0,3110468.0,,,,,,,,1.0,,,,,,8.0,,,,,,,,,
33,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-07-27 10:42:29.000000,2023-07-27 10:10:52,2454,177.0,2881.0,253.0,629.0,1431.0,835.0,19779,A game theoretic approach to explain the output of any machine learning model.,215.0,41,True,2023-07-15 11:15:28,0.42.1,49.0,shap,conda-forge/shap,,,,12432.0,12432.0,https://pypi.org/project/shap,6571993.0,6636720.0,https://anaconda.org/conda-forge/shap,2023-07-26 09:30:41.606,2006543.0,,,,,1.0,,,,,,,shap/shap,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-07-27 14:16:02.000000,2023-07-26 09:40:45,2449,117.0,3475.0,433.0,2857.0,315.0,2108.0,15198,Open standard for machine learning interoperability.,290.0,41,True,2023-05-05 16:35:02,1.14.0,25.0,onnx,conda-forge/onnx,,,,17112.0,17112.0,https://pypi.org/project/onnx,2762905.0,2784574.0,https://anaconda.org/conda-forge/onnx,2023-07-12 10:54:40.179,791555.0,,,,,1.0,19111.0,,,,,,,,,,,,,,
35,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-07-19 00:02:26.000000,2023-06-02 02:45:47,14445,7.0,2642.0,466.0,1424.0,240.0,1482.0,12161,Suite of libraries and programs for symbolic and statistical natural language processing for English.,441.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,208590.0,208590.0,https://pypi.org/project/nltk,10452549.0,10477860.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2100826.0,,,,,1.0,,,,,,,,,,,,,,,
36,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-07-27 08:45:23.000000,2023-07-26 13:29:14,8887,222.0,1056.0,137.0,5067.0,552.0,3828.0,11793,Data Version Control | Git for Data & Models | ML Experiments Management.,283.0,41,True,2023-07-25 20:50:29,3.8.1,251.0,dvc,conda-forge/dvc,,,,8630.0,8630.0,https://pypi.org/project/dvc,669554.0,719246.0,https://anaconda.org/conda-forge/dvc,2023-07-25 22:03:28.332,1649413.0,,,,,1.0,76723.0,,,,,,,dvc,dvc,dvc,,,,,
37,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-07-26 18:47:15.000000,2023-07-25 16:13:04,7829,118.0,1591.0,215.0,5400.0,776.0,4010.0,11238,Parallel computing with task scheduling.,583.0,41,True,,,151.0,dask,conda-forge/dask,,,,51236.0,51236.0,https://pypi.org/project/dask,7919966.0,8171652.0,https://anaconda.org/conda-forge/dask,2023-07-20 23:14:11.175,9564094.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,
38,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-07-27 12:21:57.000000,2023-07-26 22:08:39,5640,161.0,2268.0,296.0,3523.0,645.0,2814.0,26219,Streamlit A faster way to build and share data apps.,190.0,40,True,2023-07-20 22:07:55,1.25.0,62.0,streamlit,,,,,895.0,895.0,https://pypi.org/project/streamlit,1926579.0,1926579.0,,,,,,,,1.0,,,,,,,,,,,,,,,
39,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-07-25 15:55:11.000000,2023-07-25 15:55:07,6953,159.0,1830.0,414.0,971.0,716.0,823.0,19046,Data Apps & Dashboards for Python. No JavaScript Required.,139.0,40,True,2023-06-29 20:21:49,2.11.1,97.0,dash,conda-forge/dash,,,,49495.0,49495.0,https://pypi.org/project/dash,1915915.0,1943912.0,https://anaconda.org/conda-forge/dash,2023-07-01 05:39:11.946,1035897.0,,,,,1.0,,,,,,,,,,,,,,,
40,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2023-07-27 10:05:45.000000,2023-07-27 07:09:36,8393,113.0,2105.0,204.0,4051.0,9.0,1866.0,18874,"Multimodal AI services & pipelines with cloud-native stack: gRPC, Kubernetes, Docker, OpenTelemetry, Prometheus,..",170.0,40,True,2023-07-19 07:55:45,3.19.1,100.0,jina,conda-forge/jina-core,jinaai/jina,,,823.0,823.0,https://pypi.org/project/jina,439046.0,472003.0,https://anaconda.org/conda-forge/jina-core,2023-06-16 19:27:18.682,51897.0,https://hub.docker.com/r/jinaai/jina,2023-07-27 07:39:04.673945,8.0,1254570.0,2.0,,,,,,,,,,,,,,,
41,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-07-27 13:27:04.000000,2023-07-21 14:38:52,32368,574.0,4240.0,348.0,6025.0,1.0,6642.0,16747,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",588.0,40,True,2023-07-25 21:46:06,3.8.0a1,100.0,rasa,,,,['tensorflow'],3553.0,3553.0,https://pypi.org/project/rasa,110665.0,110665.0,,,,,,,,1.0,,,,,,,,,,,,,,,
42,dlib,davisking/dlib,ml-frameworks,,https://github.com/davisking/dlib,https://github.com/davisking/dlib,BSL-1.0,2014-01-29 00:45:33.000,2023-07-27 06:29:51.000000,2023-07-23 13:02:21,8211,24.0,2780.0,478.0,667.0,40.0,2098.0,12123,A toolkit for making real world machine learning and data analysis applications in C++.,188.0,40,False,2023-05-14 13:10:44,19.24.2,26.0,dlib,conda-forge/dlib,,,,21227.0,21227.0,https://pypi.org/project/dlib,151349.0,158988.0,https://anaconda.org/conda-forge/dlib,2023-06-05 15:05:40.278,605140.0,,,,,2.0,25283.0,,,,,,,,,,,,,,
