,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,brew_id,apt_id,yum_id,npm_id,npm_url,npm_monthly_downloads,updated_github_id,maven_id,maven_url,snap_id,dnf_id,yay_id
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-06-29 12:24:39.000000,2023-06-29 12:24:38,14997.0,358.0,1891.0,220.0,4303.0,78.0,2737.0,10933,Python Imaging Library (Fork).,439.0,47,True,2023-04-01 09:33:34,9.5.0,50.0,Pillow,conda-forge/pillow,,,,1235697.0,1235697.0,https://pypi.org/project/Pillow,53673763.0,54021205.0,https://anaconda.org/conda-forge/pillow,2023-06-16 13:16:20.418,29880044.0,,,,,1.0,,,,,,,,,,,,,,,
11,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2023-06-29 14:07:20.000000,2023-06-29 14:01:25,20208.0,947.0,12043.0,761.0,21535.0,704.0,6788.0,31227,"Platform to programmatically author, schedule, and monitor workflows.",2888.0,46,True,2023-06-27 14:34:24,helm-chart/1.10.0,67.0,apache-airflow,conda-forge/airflow,apache/airflow,,,7211.0,7211.0,https://pypi.org/project/apache-airflow,10579036.0,11841606.0,https://anaconda.org/conda-forge/airflow,2023-06-22 21:31:34.635,909353.0,https://hub.docker.com/r/apache/airflow,2023-06-17 08:43:46.762455,455.0,120668951.0,1.0,495848.0,stable/airflow,,,,,,,,,,,,,
12,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-06-29 13:59:57.000000,2023-06-29 13:40:48,61589.0,3262.0,18074.0,1652.0,69399.0,11283.0,23472.0,68291,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4162.0,45,True,2023-05-08 19:55:19,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,10826202.0,11631824.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,16913172.0,,,,,1.0,18875.0,,,,,,,,,,,,,,
13,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-06-29 13:40:04.000000,2023-06-29 11:16:30,15075.0,128.0,2540.0,275.0,3787.0,2469.0,2680.0,8620,Statsmodels: statistical modeling and econometrics in Python.,414.0,45,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,96632.0,96632.0,https://pypi.org/project/statsmodels,11540285.0,11663513.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,10351220.0,,,,,1.0,29.0,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-06-28 15:10:35.000000,2023-06-28 15:09:57,15945.0,72.0,4057.0,552.0,3785.0,75.0,5357.0,26506,Industrial-strength Natural Language Processing (NLP) in Python.,728.0,44,True,2023-06-28 16:17:49,3.5.4,100.0,spacy,conda-forge/spacy,,,,63299.0,63299.0,https://pypi.org/project/spacy,5061584.0,5102451.0,https://anaconda.org/conda-forge/spacy,2023-06-16 13:23:26.389,3105963.0,,,,,1.0,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-06-29 13:35:25.000000,2023-06-29 03:50:23,17986.0,1318.0,4432.0,450.0,22291.0,2721.0,11658.0,26363,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,876.0,44,True,2023-06-21 18:09:41,ray-2.5.1,67.0,ray,conda-forge/ray-tune,,,,10323.0,10323.0,https://pypi.org/project/ray,2086267.0,2090973.0,https://anaconda.org/conda-forge/ray-tune,2023-06-26 06:39:43.897,141171.0,,,,,1.0,84.0,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-06-29 10:23:28.000000,2023-06-29 05:15:16,16587.0,1036.0,2133.0,312.0,10288.0,1157.0,3136.0,23651,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",553.0,44,True,2023-06-23 00:53:14,jax-v0.4.13,77.0,jax,conda-forge/jaxlib,,,,14655.0,14655.0,https://pypi.org/project/jax,4501592.0,4518768.0,https://anaconda.org/conda-forge/jaxlib,2023-06-10 19:55:47.558,807281.0,,,,,1.0,,,,,,,,,,,,,,,
17,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2023-06-28 12:43:59.000000,2023-06-28 12:43:58,12255.0,94.0,4332.0,479.0,2982.0,563.0,4306.0,21764,Asynchronous task queue/job queue based on distributed message passing.,1284.0,44,False,2023-06-18 14:18:25,5.3.1,42.0,celery,conda-forge/celery,,,,105401.0,105401.0,https://pypi.org/project/celery,6895952.0,6931840.0,https://anaconda.org/conda-forge/celery,2023-06-22 15:12:17.099,1291974.0,,,,,1.0,,,,,,,,,,,,,,,
18,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-06-29 12:35:06.000000,2023-06-29 12:35:04,4242.0,379.0,3311.0,291.0,5766.0,975.0,1986.0,14697,Open source platform for the machine learning lifecycle.,592.0,44,True,2023-06-10 01:28:30,2.4.1,70.0,mlflow,conda-forge/mlflow,,,,20791.0,20791.0,https://pypi.org/project/mlflow,11395440.0,11422636.0,https://anaconda.org/conda-forge/mlflow,2023-06-10 05:41:45.868,1359849.0,,,,,1.0,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-06-29 09:16:14.000000,2023-06-28 20:15:35,54369.0,456.0,3884.0,291.0,12445.0,4137.0,8415.0,10938,A computer algebra system written in pure Python.,1227.0,44,False,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,68572.0,68572.0,https://pypi.org/project/sympy,9291192.0,9339014.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,3704347.0,,,,,1.0,504803.0,,,,,,,,,,,,,,
20,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-06-29 02:34:31.000000,2023-06-29 02:34:30,6417.0,125.0,8060.0,910.0,4495.0,323.0,4520.0,24308,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",612.0,43,True,2023-06-19 01:38:37,1.7.6,51.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,60033.0,60033.0,https://pypi.org/project/xgboost,9324494.0,9439028.0,https://anaconda.org/conda-forge/xgboost,2023-06-28 08:56:09.590,4006616.0,,,,,1.0,6729.0,,,,,,,,,,,,,,
21,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-06-29 13:02:59.000000,2023-06-29 13:02:58,3291.0,52.0,3618.0,444.0,2924.0,262.0,2752.0,15104,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",284.0,43,True,2023-01-24 03:15:36,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,22993.0,22993.0,https://pypi.org/project/lightgbm,5951166.0,5979359.0,https://anaconda.org/conda-forge/lightgbm,2023-06-16 13:25:28.690,1815619.0,,,,,1.0,194015.0,,,,,,,,,,,,,,
22,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-06-28 23:05:07.000000,2023-06-28 23:05:05,5564.0,141.0,1541.0,190.0,4672.0,582.0,1196.0,6289,TensorFlows Visualization Toolkit.,302.0,43,True,2023-05-04 22:43:16,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],175695.0,175695.0,https://pypi.org/project/tensorboard,18944645.0,19005595.0,https://anaconda.org/conda-forge/tensorboard,2023-06-16 13:24:55.263,4083676.0,,,,,1.0,,,,,,,,,,,,,,,
23,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-06-29 05:37:52.000000,2023-06-29 05:37:45,8286.0,345.0,18470.0,1910.0,6471.0,294.0,11464.0,58691,Deep Learning for humans.,1190.0,42,True,2023-06-27 23:42:33,2.13.1,50.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,9777226.0,9815279.0,https://anaconda.org/conda-forge/keras,2023-06-16 13:24:44.459,3120364.0,,,,,2.0,,,,,,,,,,,,,,,
24,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-06-29 13:59:05.000000,2023-06-29 13:45:19,42350.0,1396.0,5032.0,730.0,37978.0,1027.0,15830.0,20476,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1049.0,42,True,2023-05-08 08:33:39,2.4.2,59.0,paddlepaddle,,,,['paddle'],265.0,265.0,https://pypi.org/project/paddlepaddle,125613.0,125800.0,,,,,,,,2.0,15355.0,,,,,,,,,,,,,,
25,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-06-29 12:18:51.000000,2023-06-29 09:13:11,20157.0,91.0,4014.0,449.0,5741.0,708.0,6619.0,17702,"Interactive Data Visualization in the browser, from Python.",660.0,42,True,,,51.0,bokeh,conda-forge/bokeh,,,,71540.0,71540.0,https://pypi.org/project/bokeh,3275310.0,3600483.0,https://anaconda.org/conda-forge/bokeh,2023-06-26 09:51:49.689,11706257.0,,,,,1.0,,,,,,,,,,,,,,,
26,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-06-29 13:49:16.000000,2023-06-29 00:53:02,7319.0,80.0,2839.0,279.0,3324.0,192.0,2809.0,12797,Network Analysis in Python.,655.0,42,False,2023-04-04 20:05:38,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,167750.0,167750.0,https://pypi.org/project/networkx,26385044.0,26536203.0,https://anaconda.org/conda-forge/networkx,2023-06-16 13:18:51.990,12092790.0,,,,,1.0,65.0,,,,,,,,,,,,,,
27,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2023-06-29 14:15:37.000000,2023-06-29 13:57:23,14753.0,526.0,1233.0,153.0,5675.0,490.0,3403.0,12234,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",173.0,42,True,2023-06-22 21:30:03,2.10.17,174.0,prefect,conda-forge/prefect,,,,3241.0,3241.0,https://pypi.org/project/prefect,763480.0,776164.0,https://anaconda.org/conda-forge/prefect,2023-06-26 01:28:46.590,469343.0,,,,,1.0,,,,,,,,,,,,,,,
28,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-06-28 10:47:44.000000,2023-06-28 10:47:42,3151.0,26.0,1656.0,257.0,1010.0,119.0,2219.0,10856,Statistical data visualization in Python.,197.0,42,True,2022-12-30 19:12:05,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,275534.0,275534.0,https://pypi.org/project/seaborn,9949302.0,10033755.0,https://anaconda.org/conda-forge/seaborn,2023-06-16 13:21:42.625,6925058.0,,,,,1.0,249.0,,,,,,,,,,,,,,
29,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-06-18 20:59:04.000000,2023-06-18 20:59:03,3513.0,58.0,698.0,151.0,1212.0,175.0,1632.0,8332,Declarative statistical visualization library for Python.,156.0,42,True,2023-05-26 21:55:53,5.0.1,23.0,altair,conda-forge/altair,,,,62165.0,62165.0,https://pypi.org/project/altair,12380626.0,12403175.0,https://anaconda.org/conda-forge/altair,2023-06-16 13:24:26.672,1871587.0,,,,,1.0,66.0,,,,,,,,,,,,,,
30,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-06-29 00:58:53.000000,2023-06-28 09:55:11,13597.0,116.0,2072.0,187.0,4179.0,496.0,1977.0,5469,Image processing in Python.,619.0,42,False,2023-06-02 05:03:22,0.21.0,21.0,scikit-image,conda-forge/scikit-image,,,,145935.0,145935.0,https://pypi.org/project/scikit-image,7334322.0,7395905.0,https://anaconda.org/conda-forge/scikit-image,2023-06-16 13:16:26.659,5234575.0,,,,,1.0,,,,,,,,,,,,,,,
31,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-06-29 14:26:11.000000,2023-06-29 13:47:46,5312.0,361.0,1262.0,128.0,2014.0,360.0,1976.0,19218,"Wrap UIs around any model, share with anyone.",175.0,41,True,2023-06-15 22:03:01,3.35.2,100.0,gradio,,,,,9180.0,9180.0,https://pypi.org/project/gradio,3051867.0,3051867.0,,,,,,,,1.0,,,8.0,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-06-29 12:07:38.000000,2023-06-29 00:09:14,2412.0,138.0,3461.0,433.0,2822.0,320.0,2078.0,15036,Open standard for machine learning interoperability.,285.0,41,True,2023-05-05 16:35:02,1.14.0,25.0,onnx,conda-forge/onnx,,,,16412.0,16412.0,https://pypi.org/project/onnx,2889357.0,2901028.0,https://anaconda.org/conda-forge/onnx,2023-06-11 11:01:40.854,763312.0,,,,,1.0,18993.0,,,,,,,,,,,,,,
33,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-06-28 16:18:24.000000,2023-06-02 02:45:47,14445.0,7.0,2628.0,468.0,1422.0,239.0,1482.0,12074,Suite of libraries and programs for symbolic and statistical natural language processing for English.,441.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,203625.0,203625.0,https://pypi.org/project/nltk,10770066.0,10795097.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2052623.0,,,,,1.0,,,,,,,,,,,,,,,
34,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-06-29 13:05:49.000000,2023-06-29 11:52:49,8830.0,220.0,1049.0,135.0,5010.0,558.0,3786.0,11701,Data Version Control | Git for Data & Models | ML Experiments Management.,283.0,41,True,2023-06-29 13:05:49,3.2.3,240.0,dvc,conda-forge/dvc,,,,8139.0,8139.0,https://pypi.org/project/dvc,651623.0,701557.0,https://anaconda.org/conda-forge/dvc,2023-06-26 07:00:32.638,1603906.0,,,,,1.0,107646.0,,,dvc,dvc,dvc,,,,,,,,,
35,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-06-29 10:36:11.000000,2023-06-28 19:39:30,7803.0,146.0,1584.0,215.0,5375.0,763.0,4002.0,11151,Parallel computing with task scheduling.,581.0,41,True,,,149.0,dask,conda-forge/dask,,,,50427.0,50427.0,https://pypi.org/project/dask,8169244.0,8420579.0,https://anaconda.org/conda-forge/dask,2023-06-26 23:10:51.947,9299410.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,
36,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-06-27 12:56:12.000000,2023-06-27 12:56:11,4457.0,42.0,1921.0,1707.0,4271.0,210.0,2487.0,10990,WebGL2 powered visualization framework.,228.0,41,True,2023-06-14 19:00:08,8.9.19,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],6138.0,6138.0,https://pypi.org/project/pydeck,1415691.0,1900413.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,399061.0,,,,,1.0,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,474746.0,,,,,,
37,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2023-06-29 08:23:59.000000,2023-06-27 20:30:58,2412.0,135.0,2852.0,256.0,580.0,1485.0,754.0,19580,A game theoretic approach to explain the output of any machine learning model.,213.0,40,True,2022-06-16 00:31:04,0.41.0,47.0,shap,conda-forge/shap,,,,11973.0,11973.0,https://pypi.org/project/shap,5208554.0,5242476.0,https://anaconda.org/conda-forge/shap,2023-06-11 05:50:42.032,1967510.0,,,,,1.0,,,,,,,,,,,,,,,
38,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-06-29 12:26:26.000000,2023-06-29 10:46:32,32124.0,569.0,4235.0,349.0,5915.0,1.0,6642.0,16610,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",582.0,40,True,2023-06-27 16:44:26,3.6.1a1,100.0,rasa,,,,['tensorflow'],3472.0,3472.0,https://pypi.org/project/rasa,137123.0,137123.0,,,,,,,,1.0,,,,,,,,,,,,,,,
39,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-06-20 22:17:49.000000,2023-05-25 15:50:03,4469.0,10.0,4140.0,433.0,1672.0,368.0,1438.0,14452,Topic Modelling for Humans.,446.0,40,True,2022-12-21 00:42:57,4.3.0,42.0,gensim,conda-forge/gensim,,,,47575.0,47575.0,https://pypi.org/project/gensim,3856642.0,3872425.0,https://anaconda.org/conda-forge/gensim,2023-06-16 13:22:43.559,1085779.0,,,,,1.0,4422.0,,,,,,,,,,,,,,
40,dlib,davisking/dlib,ml-frameworks,,https://github.com/davisking/dlib,https://github.com/davisking/dlib,BSL-1.0,2014-01-29 00:45:33.000,2023-06-29 12:24:08.000000,2023-06-29 12:24:07,8203.0,35.0,2769.0,475.0,657.0,33.0,2097.0,12064,A toolkit for making real world machine learning and data analysis applications in C++.,188.0,40,False,2023-05-14 13:10:44,19.24.2,26.0,dlib,conda-forge/dlib,,,,20726.0,20726.0,https://pypi.org/project/dlib,165416.0,173007.0,https://anaconda.org/conda-forge/dlib,2023-06-05 15:05:40.278,593607.0,,,,,2.0,25264.0,,,,,,,,,,,,,,
41,Dagster,dagster-io/dagster,data-pipelines,,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04.000,2023-06-29 14:12:28.000000,2023-06-28 23:46:12,14840.0,1041.0,956.0,97.0,8882.0,1448.0,4085.0,7760,"An orchestration platform for the development, production, and observation of data assets.",317.0,40,True,2023-06-28 20:19:47,1.3.12,143.0,dagster,conda-forge/dagster,,,,1304.0,1304.0,https://pypi.org/project/dagster,586346.0,611606.0,https://anaconda.org/conda-forge/dagster,2023-06-26 15:40:25.945,934656.0,,,,,1.0,,,,,,,,,,,,,,,
