,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,updated_github_id,maven_id,maven_url,snap_id,dnf_id,yay_id
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-04-20 13:27:26.000000,2023-04-19 13:26:18,14739.0,417.0,1863.0,219.0,4221.0,84.0,2683.0,10731.0,Python Imaging Library (Fork).,435.0,47,True,2023-04-01 09:33:34,9.5.0,50.0,Pillow,conda-forge/pillow,,,,1119386.0,1119386.0,https://pypi.org/project/Pillow,55356629.0,55674855.0,https://anaconda.org/conda-forge/pillow,2023-04-05 12:37:43.311,26731033.0,,,,,1.0,,,,,,,,,,,,,,,
11,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2023-04-20 14:17:13.000000,2023-04-20 11:04:20,19440.0,786.0,11802.0,759.0,20636.0,697.0,6442.0,30317.0,"Platform to programmatically author, schedule, and monitor workflows.",2804.0,45,True,2023-04-14 21:02:23,helm-chart/1.9.0,63.0,apache-airflow,conda-forge/airflow,apache/airflow,,,6458.0,6458.0,https://pypi.org/project/apache-airflow,9604039.0,10781148.0,https://anaconda.org/conda-forge/airflow,2023-04-01 12:31:40.959,872542.0,https://hub.docker.com/r/apache/airflow,2023-04-14 23:30:40.501723,438.0,111343701.0,1.0,459165.0,stable/airflow,,,,,,,,,,,,,
12,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-04-20 03:50:26.000000,2023-04-17 16:13:46,14974.0,89.0,2508.0,275.0,3735.0,2425.0,2647.0,8398.0,Statsmodels: statistical modeling and econometrics in Python.,409.0,45,True,2022-11-02 16:51:52,0.13.5,23.0,statsmodels,conda-forge/statsmodels,,,,89850.0,89850.0,https://pypi.org/project/statsmodels,9581845.0,9697105.0,https://anaconda.org/conda-forge/statsmodels,2022-11-04 18:55:06.900,9451354.0,,,,,1.0,27.0,,,,,,,,,,,,,,
13,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-04-20 13:59:21.000000,2023-04-20 13:19:49,59174.0,3365.0,17499.0,1639.0,66463.0,10824.0,22108.0,65751.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3992.0,44,True,2023-03-15 19:38:58,2.0.0,44.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,10014453.0,10822381.0,https://anaconda.org/pytorch/pytorch,2023-03-14 19:20:31.620,15347351.0,,,,,1.0,13704.0,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-04-20 13:46:06.000000,2023-04-20 12:06:32,15885.0,102.0,3981.0,550.0,3707.0,72.0,5320.0,25878.0,Industrial-strength Natural Language Processing (NLP) in Python.,723.0,44,True,2023-04-12 07:50:01,3.5.2,100.0,spacy,conda-forge/spacy,,,,57570.0,57570.0,https://pypi.org/project/spacy,4684244.0,4724908.0,https://anaconda.org/conda-forge/spacy,2023-04-18 13:03:09.405,3009153.0,,,,,1.0,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-04-20 13:59:10.000000,2023-04-20 12:25:54,16943.0,1234.0,4264.0,449.0,20769.0,2467.0,11112.0,25180.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,846.0,44,True,2023-03-27 17:25:34,ray-2.3.1,64.0,ray,conda-forge/ray-tune,,,,9046.0,9046.0,https://pypi.org/project/ray,2498215.0,2502313.0,https://anaconda.org/conda-forge/ray-tune,2023-02-26 10:20:09.550,114749.0,,,,,1.0,58.0,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-04-20 13:21:47.000000,2023-04-20 13:16:45,15817.0,1313.0,2045.0,308.0,9699.0,1105.0,2988.0,22703.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",531.0,44,True,2023-03-29 21:23:10,jax-v0.4.8,67.0,jax,conda-forge/jaxlib,,,,10296.0,10296.0,https://pypi.org/project/jax,3998028.0,4013363.0,https://anaconda.org/conda-forge/jaxlib,2023-03-31 09:45:52.205,690099.0,,,,,1.0,,,,,,,,,,,,,,,
17,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-04-20 11:53:45.000000,2023-04-19 13:34:41,53945.0,961.0,3848.0,290.0,12326.0,4090.0,8364.0,10594.0,A computer algebra system written in pure Python.,1215.0,44,False,2022-08-30 17:24:48,sympy-1.11.1,44.0,sympy,conda-forge/sympy,,,,58355.0,58355.0,https://pypi.org/project/sympy,7081601.0,7124820.0,https://anaconda.org/conda-forge/sympy,2023-03-20 20:07:58.909,3234949.0,,,,,1.0,496641.0,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-04-20 14:00:42.000000,2023-04-20 08:29:35,6303.0,143.0,8022.0,918.0,4274.0,315.0,4458.0,24026.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",598.0,43,True,2023-03-30 18:30:05,1.7.5,50.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,53032.0,53032.0,https://pypi.org/project/xgboost,8374266.0,8426563.0,https://anaconda.org/conda-forge/xgboost,2023-03-17 07:46:42.740,3813499.0,,,,,1.0,6342.0,,,,,,,,,,,,,,
19,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2023-04-19 13:25:17.000000,2023-04-19 13:25:17,12183.0,79.0,4291.0,482.0,2912.0,548.0,4290.0,21339.0,Asynchronous task queue/job queue based on distributed message passing.,1274.0,43,False,2023-02-19 11:47:50,5.3.0b2,38.0,celery,conda-forge/celery,,,,99210.0,99210.0,https://pypi.org/project/celery,6335555.0,6349533.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,1188136.0,,,,,1.0,,,,,,,,,,,,,,,
20,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-04-20 04:29:41.000000,2023-04-19 03:20:40,3249.0,85.0,3589.0,444.0,2874.0,245.0,2712.0,14871.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",281.0,43,True,2023-01-24 03:15:36,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,20708.0,20708.0,https://pypi.org/project/lightgbm,5823830.0,5850353.0,https://anaconda.org/conda-forge/lightgbm,2023-01-24 13:04:34.282,1651228.0,,,,,1.0,186734.0,,,,,,,,,,,,,,
21,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-04-19 16:35:47.000000,2023-04-16 21:50:34,3134.0,29.0,1645.0,258.0,988.0,109.0,2184.0,10616.0,Statistical data visualization in Python.,193.0,43,True,2022-12-30 19:12:05,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,246174.0,246174.0,https://pypi.org/project/seaborn,8940369.0,9020982.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,6448902.0,,,,,1.0,242.0,,,,,,,,,,,,,,
22,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-04-20 05:01:05.000000,2023-04-19 21:29:54,5451.0,116.0,1532.0,191.0,4559.0,579.0,1180.0,6202.0,TensorFlows Visualization Toolkit.,298.0,43,True,2023-04-19 13:42:39,2.12.2,50.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],159657.0,159657.0,https://pypi.org/project/tensorboard,17769946.0,17829621.0,https://anaconda.org/conda-forge/tensorboard,2023-04-13 21:56:19.131,3878889.0,,,,,1.0,,,,,,,,,,,,,,,
23,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-04-20 13:54:53.000000,2023-04-20 11:18:18,41374.0,1753.0,4957.0,728.0,36459.0,1021.0,15503.0,20096.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1015.0,42,True,2022-12-13 09:22:18,2.4.1,58.0,paddlepaddle,,,,['paddle'],218.0,218.0,https://pypi.org/project/paddlepaddle,157009.0,157200.0,,,,,,,,2.0,15347.0,,,,,,,,,,,,,,
24,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-04-20 13:12:23.000000,2023-04-17 10:05:40,7261.0,92.0,2798.0,279.0,3261.0,187.0,2778.0,12530.0,Network Analysis in Python.,648.0,42,False,2023-04-04 20:05:38,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,151241.0,151241.0,https://pypi.org/project/networkx,24101989.0,24242883.0,https://anaconda.org/conda-forge/networkx,2023-04-05 11:11:39.426,10989747.0,,,,,1.0,64.0,,,,,,,,,,,,,,
25,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-04-16 18:18:44.000000,2023-03-13 06:42:52,14438.0,12.0,2594.0,467.0,1412.0,225.0,1477.0,11826.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,439.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,187851.0,187851.0,https://pypi.org/project/nltk,9723969.0,9747779.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,1904813.0,,,,,1.0,,,,,,,,,,,,,,,
26,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-04-20 12:52:38.000000,2023-04-20 12:19:21,4427.0,128.0,1883.0,1717.0,4229.0,185.0,2461.0,10789.0,WebGL2 powered visualization framework.,224.0,42,True,2023-04-20 12:44:16,8.9.8,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],5694.0,5694.0,https://pypi.org/project/pydeck,1168044.0,1687586.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,335247.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,510720.0,,,,,,,,,,
27,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-04-20 12:46:58.000000,2023-04-15 01:45:54,13514.0,149.0,2050.0,188.0,4080.0,469.0,1961.0,5361.0,Image processing in Python.,610.0,42,False,2023-02-28 23:32:35,0.20.0,21.0,scikit-image,conda-forge/scikit-image,,,,136382.0,136382.0,https://pypi.org/project/scikit-image,7367555.0,7426541.0,https://anaconda.org/conda-forge/scikit-image,2023-04-12 19:50:08.062,4895849.0,,,,,1.0,,,,,,,,,,,,,,,
28,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-04-20 12:40:06.000000,2023-04-19 22:28:01,8072.0,401.0,18426.0,1919.0,6290.0,287.0,11406.0,57965.0,Deep Learning for humans.,1179.0,41,True,2023-03-21 20:12:17,2.12.0,47.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,10086992.0,10124306.0,https://anaconda.org/conda-forge/keras,2023-03-25 02:52:58.755,2985133.0,,,,,2.0,,,,,,,,,,,,,,,
29,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-04-16 16:13:48.000000,2023-04-13 14:17:44,6754.0,209.0,1800.0,408.0,932.0,696.0,788.0,18520.0,Data Apps & Dashboards for Python. No JavaScript Required.,135.0,41,True,2023-04-13 17:42:40,2.9.3,93.0,dash,conda-forge/dash,,,,44718.0,44718.0,https://pypi.org/project/dash,1560118.0,1575573.0,https://anaconda.org/conda-forge/dash,2023-04-14 05:50:33.991,911894.0,,,,,1.0,,,,,,,,,,,,,,,
30,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-04-20 13:38:15.000000,2023-04-19 12:31:21,31654.0,569.0,4158.0,346.0,5639.0,1.0,6640.0,15999.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",581.0,41,True,2023-04-20 13:16:34,3.3.9,100.0,rasa,,,,['tensorflow'],3214.0,3214.0,https://pypi.org/project/rasa,161190.0,161190.0,,,,,,,,1.0,,,,,,,,,,,,,,,
31,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-04-20 09:58:09.000000,2023-04-20 01:09:06,2320.0,182.0,3396.0,433.0,2710.0,309.0,1989.0,14541.0,Open standard for machine learning interoperability.,274.0,41,True,2023-02-22 18:47:36,1.13.1,24.0,onnx,conda-forge/onnx,,,,14318.0,14318.0,https://pypi.org/project/onnx,2853155.0,2864184.0,https://anaconda.org/conda-forge/onnx,2023-03-21 10:27:00.271,698549.0,,,,,1.0,18681.0,,,,,,,,,,,,,,
32,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-04-01 12:59:51.000000,2023-03-13 05:30:56,4444.0,17.0,4127.0,432.0,1663.0,366.0,1433.0,14230.0,Topic Modelling for Humans.,445.0,41,True,2022-12-21 00:42:57,4.3.0,42.0,gensim,conda-forge/gensim,,,,44247.0,44247.0,https://pypi.org/project/gensim,4169086.0,4184531.0,https://anaconda.org/conda-forge/gensim,2023-03-28 02:35:38.702,1031645.0,,,,,1.0,4292.0,,,,,,,,,,,,,,
33,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2023-04-20 11:13:08.000000,2023-04-19 19:19:32,14350.0,592.0,1165.0,153.0,5179.0,441.0,3131.0,11765.0,The easiest way to orchestrate and observe your data pipelines.,145.0,41,True,2023-04-13 21:38:49,2.10.4,162.0,prefect,conda-forge/prefect,,,,2638.0,2638.0,https://pypi.org/project/prefect,798245.0,806924.0,https://anaconda.org/conda-forge/prefect,2023-04-14 00:08:05.915,425306.0,,,,,1.0,,,,,,,,,,,,,,,
34,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-04-20 12:59:46.000000,2023-04-20 08:01:04,8645.0,325.0,1024.0,135.0,4811.0,576.0,3658.0,11379.0,Data Version Control | Git for Data & Models | ML Experiments Management.,282.0,41,True,2023-04-20 08:23:57,2.55.0,231.0,dvc,conda-forge/dvc,,,,7134.0,7134.0,https://pypi.org/project/dvc,651985.0,690254.0,https://anaconda.org/conda-forge/dvc,2023-04-20 09:55:37.816,1488756.0,,,,,1.0,108919.0,,,,,dvc,dvc,dvc,,,,,,,
35,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-04-19 21:43:53.000000,2023-04-19 21:43:53,7699.0,187.0,1566.0,214.0,5261.0,748.0,3959.0,10912.0,Parallel computing with task scheduling.,580.0,41,True,,,144.0,dask,conda-forge/dask,,,,47838.0,47838.0,https://pypi.org/project/dask,6917359.0,7020500.0,https://anaconda.org/conda-forge/dask,2023-04-15 00:14:02.841,8560719.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,
36,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-04-20 09:59:06.000000,2023-04-07 14:50:04,3460.0,95.0,685.0,148.0,1181.0,204.0,1574.0,8198.0,Declarative statistical visualization library for Python.,152.0,41,True,2023-01-27 23:10:18,4.2.2,21.0,altair,conda-forge/altair,,,,51971.0,51971.0,https://pypi.org/project/altair,10761238.0,10782442.0,https://anaconda.org/conda-forge/altair,2023-01-31 16:04:09.212,1717602.0,,,,,1.0,23.0,,,,,,,,,,,,,,
37,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-04-20 10:51:58.000000,2023-04-20 10:51:58,5435.0,225.0,2096.0,286.0,3223.0,627.0,2575.0,24031.0,Streamlit A faster way to build and share data apps.,175.0,40,True,2023-04-06 18:59:59,1.21.0,56.0,streamlit,,,,,691.0,691.0,https://pypi.org/project/streamlit,1535202.0,1535202.0,,,,,,,,1.0,,,,,,,,,,,,,,,
38,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-03-28 21:27:28.000000,2023-03-28 21:27:25,2659.0,44.0,7178.0,612.0,2174.0,141.0,1571.0,23778.0,The fastai deep learning library.,236.0,40,True,2023-03-28 20:28:42,2.7.12,49.0,fastai,,,,['pytorch'],13052.0,13052.0,https://pypi.org/project/fastai,302777.0,302777.0,,,,,,,,2.0,,,,,,,,,,,,,,,
39,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-04-20 14:29:19.000000,2023-04-20 14:27:52,5010.0,301.0,1041.0,118.0,1654.0,302.0,1661.0,16139.0,"Wrap UIs around any model, share with anyone.",148.0,40,True,2023-04-15 03:34:34,3.27.0,100.0,gradio,,,,,5459.0,5459.0,https://pypi.org/project/gradio,3439436.0,3439436.0,,,,,,,,1.0,,,,,,,,,7.0,,,,,,
40,Dagster,dagster-io/dagster,data-pipelines,,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04.000,2023-04-20 14:11:05.000000,2023-04-19 22:57:49,14157.0,1290.0,899.0,95.0,8079.0,1339.0,3873.0,7204.0,"An orchestration platform for the development, production, and observation of data assets.",299.0,40,True,2023-04-19 19:36:35,1.3.0,132.0,dagster,conda-forge/dagster,,,,1113.0,1113.0,https://pypi.org/project/dagster,559527.0,580138.0,https://anaconda.org/conda-forge/dagster,2023-03-04 00:09:39.431,845076.0,,,,,1.0,,,,,,,,,,,,,,,
41,GeoPandas,geopandas/geopandas,geospatial-data,,https://github.com/geopandas/geopandas,https://github.com/geopandas/geopandas,BSD-3-Clause,2013-06-27 17:03:47.000,2023-04-20 08:49:08.000000,2023-04-20 08:49:08,1738.0,49.0,775.0,108.0,1365.0,339.0,1101.0,3652.0,Python tools for geographic data.,196.0,40,True,2022-12-10 18:39:11,0.12.2,28.0,geopandas,conda-forge/geopandas,,,['pandas'],21168.0,21168.0,https://pypi.org/project/geopandas,3959879.0,3992003.0,https://anaconda.org/conda-forge/geopandas,2022-12-10 19:00:54.177,2728717.0,,,,,1.0,1784.0,,,,,,,,,,,,,,
