,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,updated_github_id,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,dnf_id,yay_id
10,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-05-25 17:58:12.000000,2022-05-25 09:12:29,15439,112.0,3741.0,558.0,3099.0,81.0,5032.0,23443,Industrial-strength Natural Language Processing (NLP) in Python.,680.0,44,True,2022-04-29 07:49:22,3.3.0,97.0,spacy,conda-forge/spacy,,,,39229.0,39229.0,https://pypi.org/project/spacy,6274013.0,6316027.0,https://anaconda.org/conda-forge/spacy,2022-05-03 18:34:30.893,2644005.0,,,,,1.0,3140.0,,,,,,,,,,,,,,
11,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-05-26 14:00:52.000000,2022-05-26 13:58:36,46796,2709.0,15084.0,1598.0,51959.0,8406.0,17820.0,56273,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3283.0,43,True,2022-03-10 16:59:55,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,9315601.0,11429889.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,16913892.0,,,,,1.0,3542.0,-6.0,,,,,,,,,,,,,
12,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-05-26 12:17:36.000000,2022-05-26 11:14:40,5797,112.0,7861.0,930.0,3535.0,245.0,4159.0,22756,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",560.0,43,True,2022-05-09 09:08:07,1.6.1,42.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,31213.0,31213.0,https://pypi.org/project/xgboost,9868898.0,9911616.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2645967.0,,,,,1.0,4202.0,,,,,,,,,,,,,,
13,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-05-26 13:49:31.000000,2022-05-26 09:34:57,12709,1280.0,3495.0,426.0,14824.0,2139.0,7985.0,20613,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",694.0,43,True,2022-05-16 22:46:43,ray-1.12.1,57.0,ray,conda-forge/ray-tune,,,,4850.0,4850.0,https://pypi.org/project/ray,1167606.0,1169343.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,29531.0,,,,,1.0,,,,,,,,,,,,,,,
14,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2022-05-24 18:04:29.000000,2022-05-24 15:12:04,11929,91.0,4115.0,475.0,2601.0,488.0,4190.0,19392,Asynchronous task queue/job queue based on distributed message passing.,1212.0,43,False,2022-04-05 08:36:05,5.2.6,34.0,celery,conda-forge/celery,,,,69990.0,69990.0,https://pypi.org/project/celery,5287554.0,5298953.0,https://anaconda.org/conda-forge/celery,2022-04-27 14:43:42.320,843541.0,,,,,1.0,,,,,,,,,,,,,,,
15,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-05-26 07:57:58.000000,2022-05-25 10:47:15,6976,389.0,2316.0,223.0,6194.0,396.0,4548.0,18523,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",680.0,43,True,2022-05-03 20:36:12,1.6.3,90.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],9066.0,9066.0,https://pypi.org/project/pytorch-lightning,3782586.0,3802001.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-05-04 00:29:27.477,441987.0,,,,,1.0,6769.0,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-05-26 11:50:53.000000,2022-05-26 04:07:29,11654,1034.0,1584.0,265.0,6561.0,898.0,2265.0,17561,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",400.0,43,True,2022-05-16 19:13:26,jax-v0.3.13,45.0,jax,conda-forge/jaxlib,,,,4406.0,4406.0,https://pypi.org/project/jax,443826.0,453208.0,https://anaconda.org/conda-forge/jaxlib,2022-05-25 09:41:31.539,319015.0,,,,,1.0,,,,,,,,,,,,,,,
17,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-05-26 12:35:09.000000,2022-05-25 20:00:43,14291,43.0,2477.0,471.0,1359.0,223.0,1399.0,10764,Suite of libraries and programs for symbolic and statistical natural language processing for English.,422.0,43,True,,,14.0,nltk,conda-forge/nltk,,,,142931.0,142931.0,https://pypi.org/project/nltk,13734609.0,13752783.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1254027.0,,,,,1.0,,,,,,,,,,,,,,,
18,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-05-25 07:05:35.000000,2022-05-23 00:24:34,2934,120.0,1526.0,250.0,799.0,100.0,1919.0,9454,Statistical data visualization in Python.,167.0,43,True,2021-08-16 00:39:03,0.11.2,25.0,seaborn,conda-forge/seaborn,,,,159016.0,159016.0,https://pypi.org/project/seaborn,9522336.0,9577968.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,3838519.0,,,,,1.0,219.0,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-05-25 14:10:55.000000,2022-05-18 18:14:23,14586,79.0,2325.0,262.0,3561.0,2209.0,2520.0,7406,Statsmodels: statistical modeling and econometrics in Python.,373.0,43,True,2022-02-08 18:06:37,0.13.2,20.0,statsmodels,conda-forge/statsmodels,,,,63500.0,63500.0,https://pypi.org/project/statsmodels,11018406.0,11105132.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,6157548.0,,,,,1.0,26.0,,,,,,,,,,,,,,
20,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-05-26 13:48:00.000000,2022-05-26 11:22:47,5042,82.0,1450.0,192.0,4072.0,519.0,1119.0,5874,TensorFlows Visualization Toolkit.,278.0,43,True,2022-04-29 19:39:04,2.9.0,41.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],108887.0,108887.0,https://pypi.org/project/tensorboard,15354859.0,15409199.0,https://anaconda.org/conda-forge/tensorboard,2022-05-02 19:23:15.865,2934392.0,,,,,1.0,,,,,,,,,,,,,,,
21,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-05-25 23:48:03.000000,2022-05-25 14:29:51,1622,103.0,7322.0,993.0,1264.0,12.0,1558.0,27642,A toolkit for developing and comparing reinforcement learning algorithms.,359.0,42,True,2022-05-25 16:44:14,0.24.0,12.0,gym,conda-forge/gym,,,,29528.0,29528.0,https://pypi.org/project/gym,635027.0,639357.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,108256.0,,,,,1.0,,,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-05-25 23:51:23.000000,2022-05-25 18:13:56,2974,86.0,3435.0,447.0,2563.0,190.0,2480.0,13830,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",258.0,42,True,2022-01-07 14:53:52,3.3.2,24.0,lightgbm,conda-forge/lightgbm,,,,13231.0,13231.0,https://pypi.org/project/lightgbm,7129849.0,7149864.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1016837.0,,,,,2.0,151561.0,,,,,,,,,,,,,,
23,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-05-25 13:12:56.039000,2022-05-06 00:53:28,4383,75.0,3995.0,432.0,1605.0,350.0,1389.0,13214,Topic Modelling for Humans.,430.0,42,True,2022-05-01 08:38:45,4.2.0,41.0,gensim,conda-forge/gensim,,,,33374.0,33374.0,https://pypi.org/project/gensim,6759135.0,6773440.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,798385.0,,,,,1.0,3828.0,,,,,,,,,,,,,,
24,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-05-26 10:01:58.000000,2022-05-24 18:39:20,4058,79.0,1701.0,1741.0,3829.0,137.0,2281.0,9843,WebGL2 powered visualization framework.,196.0,42,True,2022-05-19 20:46:39,8.7.10,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],4101.0,4101.0,https://pypi.org/project/pydeck,965867.0,1276177.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,106485.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,306367.0,,,,,,,,,,
25,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2022-05-26 10:13:29.000000,2022-05-23 17:44:41,50974,544.0,3569.0,288.0,11533.0,3877.0,7938.0,9250,A computer algebra system written in pure Python.,1146.0,42,False,2022-03-20 11:58:15,sympy-1.10.1,40.0,sympy,conda-forge/sympy,,,,42373.0,42373.0,https://pypi.org/project/sympy,1688941.0,1721846.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2061370.0,,,,,1.0,453167.0,,,,,,,,,,,,,,
26,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2022-05-25 00:06:00.000000,2022-05-24 11:45:09,13207,101.0,1919.0,185.0,3748.0,425.0,1826.0,4915,Image processing in Python.,554.0,42,False,2022-02-17 18:25:54,0.19.2,19.0,scikit-image,conda-forge/scikit-image,,,,103461.0,103461.0,https://pypi.org/project/scikit-image,8882654.0,8930531.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3447214.0,,,,,1.0,,,,,,,,,,,,,,,
27,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-05-26 14:06:00.000000,2022-05-26 13:14:34,16221,1060.0,10233.0,742.0,16755.0,808.0,4726.0,26413,"Platform to programmatically author, schedule, and monitor workflows.",2408.0,41,True,2022-05-25 10:26:20,2.3.1,49.0,apache-airflow,conda-forge/airflow,apache/airflow,,,,,https://pypi.org/project/apache-airflow,6560290.0,7427592.0,https://anaconda.org/conda-forge/airflow,2022-05-02 02:18:11.941,614514.0,https://hub.docker.com/r/apache/airflow,2022-05-25 08:33:49.653960,342.0,72540929.0,1.0,294796.0,,,,,stable/airflow,,,,,,,,,
28,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-05-26 13:34:04.000000,2022-05-26 13:31:07,35821,1666.0,4387.0,727.0,28227.0,2056.0,12648.0,18259,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,739.0,41,True,2022-05-13 08:03:36,2.3.0,54.0,paddlepaddle,,,,['paddle'],115.0,115.0,https://pypi.org/project/paddlepaddle,98908.0,99129.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-05-22 08:31:37.000000,2022-05-19 15:45:06,19547,54.0,3843.0,458.0,5156.0,687.0,6203.0,16319,"Interactive Data Visualization in the browser, from Python.",604.0,41,True,,,45.0,bokeh,conda-forge/bokeh,,,,51505.0,51505.0,https://pypi.org/project/bokeh,2546858.0,2666992.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7328183.0,,,,,1.0,,,,,,,,,,,,,,,
30,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-05-26 13:48:51.000000,2022-05-25 20:33:55,1959,56.0,2670.0,429.0,2214.0,202.0,1715.0,12542,Open standard for machine learning interoperability.,234.0,41,True,2022-02-17 21:58:59,1.11.0,21.0,onnx,conda-forge/onnx,,,,6866.0,6866.0,https://pypi.org/project/onnx,1140418.0,1148350.0,https://anaconda.org/conda-forge/onnx,2022-04-24 20:16:13.541,411133.0,,,,,1.0,17596.0,,,,,,,,,,,,,,
31,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2022-05-25 20:03:39.000000,2022-05-25 20:03:39,6849,131.0,2534.0,275.0,2662.0,188.0,2547.0,10777,Network Analysis in Python.,594.0,41,False,2022-05-21 15:29:00,networkx-2.8.2,41.0,networkx,conda-forge/networkx,,,,107963.0,107963.0,https://pypi.org/project/networkx,21514493.0,21610776.0,https://anaconda.org/conda-forge/networkx,2022-05-21 19:58:09.960,6451014.0,,,,,1.0,60.0,,,,,,,,,,,,,,
32,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-05-26 01:02:27.000000,2022-05-25 12:26:40,7201,175.0,1452.0,225.0,4655.0,645.0,3645.0,9911,Parallel computing with task scheduling.,532.0,41,True,,,119.0,dask,conda-forge/dask,,,,36898.0,36898.0,https://pypi.org/project/dask,6070896.0,6148810.0,https://anaconda.org/conda-forge/dask,2022-05-24 18:00:51.976,5609819.0,,,,,1.0,,,,,,stable/dask,,,,,,,,,
33,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-05-26 14:01:42.000000,2022-05-26 06:09:22,6967,423.0,18228.0,1951.0,5278.0,247.0,11046.0,55267,Deep Learning for humans.,1066.0,40,True,2022-05-13 20:03:15,2.9.0,39.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,10377029.0,10409872.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2266181.0,,,,,2.0,,,,,,,,,,,,,,,
34,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-05-24 21:22:03.000000,2022-05-24 21:22:03,2151,105.0,2428.0,250.0,455.0,1359.0,586.0,16406,A game theoretic approach to explain the output of any machine learning model.,182.0,40,True,2021-10-20 18:36:57,0.40.0,46.0,shap,conda-forge/shap,,,,5456.0,5456.0,https://pypi.org/project/shap,4932372.0,4958621.0,https://anaconda.org/conda-forge/shap,2022-01-23 08:45:26.945,1181243.0,,,,,1.0,,,,,,,,,,,,,,,
35,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2022-05-23 21:56:54.000000,2022-03-25 20:01:52,3150,14.0,634.0,153.0,976.0,202.0,1403.0,7519,Declarative statistical visualization library for Python.,136.0,39,True,2021-12-29 13:30:58,4.2.0,20.0,altair,conda-forge/altair,,,,27092.0,27092.0,https://pypi.org/project/altair,8322361.0,8339164.0,https://anaconda.org/conda-forge/altair,2021-12-29 17:47:26.885,1176219.0,,,,,1.0,,,,,,,,,,,,,,,
36,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-05-26 12:14:55.000000,2022-05-26 11:47:56,12732,951.0,698.0,127.0,2425.0,103.0,1059.0,6448,A hyperparameter optimization framework.,195.0,39,True,2021-10-04 06:36:18,2.10.0,45.0,optuna,conda-forge/optuna,,,,3347.0,3347.0,https://pypi.org/project/optuna,3535591.0,3544800.0,https://anaconda.org/conda-forge/optuna,2021-10-04 08:58:48.864,276291.0,,,,,1.0,,2.0,,,,,,,,,,,,,
37,dask.distributed,dask/distributed,distributed-ml,,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000,2022-05-26 14:06:33.000000,2022-05-26 11:48:49,4637,236.0,604.0,59.0,3693.0,894.0,1810.0,1358,A distributed task scheduler for Dask.,272.0,39,True,,,139.0,distributed,conda-forge/distributed,,,,23539.0,23539.0,https://pypi.org/project/distributed,5019707.0,5115889.0,https://anaconda.org/conda-forge/distributed,2022-05-24 16:45:36.093,6925121.0,,,,,1.0,,,,,,,,,,,,,,,
38,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2022-05-26 12:31:05.000000,2022-05-26 06:45:50,4939,738.0,4469.0,361.0,1916.0,1043.0,3423.0,22204,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages..",101.0,38,True,2022-05-09 11:48:13,2.5.0,5.0,paddleocr,,,,['paddle'],651.0,651.0,https://pypi.org/project/paddleocr,61541.0,61541.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
39,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-05-26 08:59:56.000000,2022-05-24 21:07:44,4719,126.0,1716.0,268.0,2288.0,572.0,1840.0,19286,Streamlit The fastest way to build data apps in Python.,141.0,38,True,2022-05-04 16:36:28,1.9.0,36.0,streamlit,,,,,298.0,298.0,https://pypi.org/project/streamlit,992892.0,992892.0,,,,,,,,1.0,,,,,,,,,,,,,,,
40,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/rwightman/pytorch-image-models,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2022-05-26 13:03:21.000000,2022-05-24 17:40:23,1385,80.0,3039.0,273.0,234.0,48.0,444.0,18689,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision..",75.0,38,True,2022-04-03 22:14:28,0.1-weights-swin2,31.0,timm,conda-forge/timm,,,['pytorch'],3036.0,3036.0,https://pypi.org/project/timm,3299619.0,3334622.0,https://anaconda.org/conda-forge/timm,2021-06-30 20:44:15.682,17186.0,,,,,1.0,1232002.0,1.0,,,,,,,,,,,,,
41,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2022-05-24 16:54:33.000000,2022-05-24 16:18:27,6020,288.0,1643.0,401.0,738.0,578.0,663.0,16533,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",116.0,38,True,2022-05-11 22:45:43,2.4.1,81.0,dash,conda-forge/dash,,,,192.0,192.0,https://pypi.org/project/dash,874839.0,884391.0,https://anaconda.org/conda-forge/dash,2022-05-12 04:19:37.189,458514.0,,,,,1.0,,,,,,,,,,,,,,,
