,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
10,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-06-23 13:53:39.000000,2022-06-23 08:57:46,15489,125.0,3768.0,554.0,3162.0,80.0,5056.0,23636,Industrial-strength Natural Language Processing (NLP) in Python.,686.0,44,True,2022-06-07 17:23:29,3.3.1,98.0,spacy,conda-forge/spacy,,,,40385.0,40385.0,https://pypi.org/project/spacy,5860566.0,5902477.0,https://anaconda.org/conda-forge/spacy,2022-06-10 19:12:34.838,2679365.0,,,,,1.0,3142.0,,,,,,,,,,,,,,
11,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-06-23 14:03:53.000000,2022-06-23 13:52:46,13107,1226.0,3571.0,427.0,15373.0,2285.0,8109.0,21010,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",712.0,44,True,2022-06-09 17:15:12,ray-1.13.0,58.0,ray,conda-forge/ray-tune,,,,5123.0,5123.0,https://pypi.org/project/ray,1270215.0,1272196.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,35674.0,,,,,1.0,,,,,,,,,,,,,,,
12,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-06-23 13:58:57.000000,2022-06-23 10:19:57,47786,3002.0,15325.0,1599.0,53268.0,8567.0,18131.0,56881,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3343.0,43,True,2022-03-10 16:59:55,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,9623323.0,11555436.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,17388508.0,,,,,1.0,3957.0,-6.0,,,,,,,,,,,,,
13,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-06-23 12:48:51.000000,2022-06-22 16:03:02,5829,121.0,7870.0,929.0,3578.0,258.0,4182.0,22887,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",565.0,43,True,2022-05-09 09:08:07,1.6.1,42.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,32613.0,32613.0,https://pypi.org/project/xgboost,9417486.0,9460808.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2726559.0,,,,,1.0,4382.0,,,,,,,,,,,,,,
14,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2022-06-23 07:58:29.000000,2022-06-22 10:28:43,11959,106.0,4148.0,474.0,2629.0,493.0,4200.0,19572,Asynchronous task queue/job queue based on distributed message passing.,1223.0,43,False,2022-05-29 12:59:05,5.2.7,35.0,celery,conda-forge/celery,,,,71392.0,71392.0,https://pypi.org/project/celery,5924970.0,5936527.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,866796.0,,,,,1.0,,,,,,,,,,,,,,,
15,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-06-23 14:01:21.000000,2022-06-23 00:55:39,7074,347.0,2420.0,227.0,6292.0,376.0,4635.0,19084,Build high-performance AI models with PyTorch Lightning (organized PyTorch). Deploy models with Lightning Apps..,689.0,43,True,2022-06-01 14:32:40,1.6.4,89.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],9645.0,9645.0,https://pypi.org/project/pytorch-lightning,3486195.0,3505662.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-06-07 13:19:15.354,462367.0,,,,,1.0,7071.0,,Lightning-AI/lightning,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-06-23 13:51:54.000000,2022-06-23 13:27:42,12020,1119.0,1674.0,278.0,6804.0,916.0,2335.0,18829,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",412.0,43,True,2022-06-21 21:51:59,jax-v0.3.14,45.0,jax,conda-forge/jaxlib,,,,4728.0,4728.0,https://pypi.org/project/jax,621012.0,630761.0,https://anaconda.org/conda-forge/jaxlib,2022-05-25 09:41:31.539,341240.0,,,,,1.0,,,,,,,,,,,,,,,
17,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-06-21 14:32:14.000000,2022-06-13 20:10:39,14304,53.0,2488.0,471.0,1361.0,222.0,1402.0,10836,Suite of libraries and programs for symbolic and statistical natural language processing for English.,424.0,43,True,,,14.0,nltk,conda-forge/nltk,,,,146515.0,146515.0,https://pypi.org/project/nltk,13119771.0,13138455.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1307937.0,,,,,1.0,,,,,,,,,,,,,,,
18,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-06-22 19:03:56.000000,2022-06-22 01:28:42,2961,147.0,1539.0,247.0,828.0,86.0,1957.0,9541,Statistical data visualization in Python.,168.0,43,True,2021-08-16 00:39:03,0.11.2,26.0,seaborn,conda-forge/seaborn,,,,164770.0,164770.0,https://pypi.org/project/seaborn,9442460.0,9499873.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,4018776.0,,,,,1.0,219.0,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-06-22 04:24:16.000000,2022-06-22 04:24:15,14659,129.0,2344.0,264.0,3573.0,2223.0,2528.0,7470,Statsmodels: statistical modeling and econometrics in Python.,377.0,43,True,2022-02-08 18:06:37,0.13.2,20.0,statsmodels,conda-forge/statsmodels,,,,65184.0,65184.0,https://pypi.org/project/statsmodels,10690503.0,10779401.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6400684.0,,,,,1.0,26.0,,,,,,,,,,,,,,
20,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-06-23 14:01:20.000000,2022-06-22 17:31:31,5073,85.0,1457.0,191.0,4108.0,521.0,1126.0,5888,TensorFlows Visualization Toolkit.,279.0,43,True,2022-06-13 11:14:01,2.9.1,42.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],112964.0,112964.0,https://pypi.org/project/tensorboard,15825864.0,15880616.0,https://anaconda.org/conda-forge/tensorboard,2022-06-12 14:07:22.031,3011413.0,,,,,1.0,,,,,,,,,,,,,,,
21,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-06-23 14:00:00.000000,2022-06-23 13:20:27,28573,437.0,22360.0,2182.0,13714.0,1566.0,7893.0,50518,scikit-learn: machine learning in Python.,2644.0,42,True,2022-05-19 13:15:42,1.1.1,34.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],,,https://pypi.org/project/scikit-learn,34057746.0,34241174.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,13389529.0,,,,,2.0,799.0,-9.0,,,,,,,,,,,,,
22,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-06-23 12:54:50.000000,2022-06-23 12:54:50,1658,105.0,7354.0,995.0,1317.0,25.0,1572.0,27875,A toolkit for developing and comparing reinforcement learning algorithms.,363.0,42,True,2022-06-07 13:51:45,0.24.1,13.0,gym,conda-forge/gym,,,,30341.0,30341.0,https://pypi.org/project/gym,549981.0,554459.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,116442.0,,,,,1.0,,,,,,,,,,,,,,,
23,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-06-23 13:38:58.000000,2022-06-22 21:46:48,3006,99.0,3457.0,449.0,2609.0,199.0,2506.0,13921,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",261.0,42,True,2022-01-07 14:53:52,3.3.2,24.0,lightgbm,conda-forge/lightgbm,,,,13745.0,13745.0,https://pypi.org/project/lightgbm,7032529.0,7053025.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1061597.0,,,,,2.0,155191.0,,,,,,,,,,,,,,
24,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-06-22 07:34:38.000000,2022-05-06 00:53:28,4383,51.0,4008.0,431.0,1607.0,354.0,1394.0,13289,Topic Modelling for Humans.,430.0,42,True,2022-05-01 08:38:45,4.2.0,41.0,gensim,conda-forge/gensim,,,,34192.0,34192.0,https://pypi.org/project/gensim,6147419.0,6161873.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,821181.0,,,,,1.0,3828.0,,,,,,,,,,,,,,
25,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2022-06-23 12:08:52.000000,2022-06-22 18:47:27,6949,195.0,2549.0,273.0,2771.0,176.0,2584.0,10887,Network Analysis in Python.,600.0,42,False,2022-06-14 04:02:03,networkx-2.8.4,43.0,networkx,conda-forge/networkx,,,,110806.0,110806.0,https://pypi.org/project/networkx,21329847.0,21430425.0,https://anaconda.org/conda-forge/networkx,2022-06-14 14:05:11.499,6839310.0,,,,,1.0,60.0,,,,,,,,,,,,,,
26,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-06-23 08:13:05.000000,2022-06-23 08:13:02,4136,139.0,1715.0,1739.0,3903.0,142.0,2298.0,9906,WebGL2 powered visualization framework.,198.0,42,True,2022-06-06 23:20:59,8.7.11,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],4211.0,4211.0,https://pypi.org/project/pydeck,875822.0,1156095.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,123855.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,275850.0,,,,,,,,,
27,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2022-06-23 13:18:30.000000,2022-06-23 13:10:41,51142,497.0,3595.0,284.0,11597.0,3891.0,7983.0,9346,A computer algebra system written in pure Python.,1152.0,42,False,2022-03-20 11:58:15,sympy-1.10.1,40.0,sympy,conda-forge/sympy,,,,43256.0,43256.0,https://pypi.org/project/sympy,1914236.0,1947808.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2140403.0,,,,,1.0,455022.0,,,,,,,,,,,,,,
28,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2022-06-23 00:05:14.000000,2022-06-23 00:05:14,13227,98.0,1933.0,186.0,3771.0,422.0,1841.0,4951,Image processing in Python.,558.0,42,False,2022-06-12 18:12:41,0.19.3,20.0,scikit-image,conda-forge/scikit-image,,,,106124.0,106124.0,https://pypi.org/project/scikit-image,9483904.0,9532828.0,https://anaconda.org/conda-forge/scikit-image,2022-06-15 05:10:24.990,3571517.0,,,,,1.0,,,,,,,,,,,,,,,
29,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-06-23 14:02:57.000000,2022-06-23 12:57:36,16559,1066.0,10401.0,745.0,17145.0,724.0,4964.0,26786,"Platform to programmatically author, schedule, and monitor workflows.",2439.0,41,True,2022-06-04 14:19:24,2.3.2,50.0,apache-airflow,conda-forge/airflow,apache/airflow,,,,,https://pypi.org/project/apache-airflow,6589401.0,7476858.0,https://anaconda.org/conda-forge/airflow,2022-06-16 16:55:30.192,647515.0,https://hub.docker.com/r/apache/airflow,2022-06-17 11:32:19.716698,351.0,75085884.0,1.0,307608.0,,,,,,stable/airflow,,,,,,,,
30,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-06-23 01:37:11.000000,2022-06-23 01:37:08,2401,226.0,7049.0,614.0,2083.0,105.0,1502.0,22427,The fastai deep learning library.,204.0,41,True,2022-06-19 06:28:06,2.7.2,42.0,fastai,,,,['pytorch'],10514.0,10514.0,https://pypi.org/project/fastai,313992.0,313992.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,
31,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-06-23 13:37:53.000000,2022-06-23 12:44:50,36208,1430.0,4427.0,730.0,28812.0,2060.0,12823.0,18399,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,764.0,41,True,2022-05-13 08:03:36,2.3.0,54.0,paddlepaddle,,,,['paddle'],121.0,121.0,https://pypi.org/project/paddlepaddle,84411.0,84629.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,
32,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-06-22 20:30:36.000000,2022-06-16 14:46:20,2277,111.0,2485.0,250.0,469.0,1371.0,598.0,16683,A game theoretic approach to explain the output of any machine learning model.,205.0,41,True,2022-06-16 00:31:04,0.41.0,47.0,shap,conda-forge/shap,,,,5700.0,5700.0,https://pypi.org/project/shap,4184285.0,4211319.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1243576.0,,,,,1.0,,,,,,,,,,,,,,,
33,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-23 05:56:11.000000,2022-06-23 02:39:25,19565,47.0,3863.0,455.0,5174.0,691.0,6227.0,16406,"Interactive Data Visualization in the browser, from Python.",607.0,41,True,,,45.0,bokeh,conda-forge/bokeh,,,,52849.0,52849.0,https://pypi.org/project/bokeh,2770152.0,2893008.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7617103.0,,,,,1.0,,,,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-06-23 12:26:39.000000,2022-06-22 18:45:11,1982,68.0,2735.0,426.0,2269.0,205.0,1743.0,12750,Open standard for machine learning interoperability.,238.0,41,True,2022-06-18 02:58:18,1.12.0,22.0,onnx,conda-forge/onnx,,,,7255.0,7255.0,https://pypi.org/project/onnx,1261500.0,1269756.0,https://anaconda.org/conda-forge/onnx,2022-06-18 09:22:46.041,436771.0,,,,,1.0,17642.0,,,,,,,,,,,,,,
35,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-06-22 21:00:51.000000,2022-06-22 17:59:18,7244,172.0,1462.0,223.0,4700.0,652.0,3671.0,10030,Parallel computing with task scheduling.,540.0,41,True,,,121.0,dask,conda-forge/dask,,,,37764.0,37764.0,https://pypi.org/project/dask,7998919.0,8078888.0,https://anaconda.org/conda-forge/dask,2022-06-11 00:24:06.072,5837789.0,,,,,1.0,,,,,,,stable/dask,,,,,,,,
36,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-06-23 09:57:01.000000,2022-06-22 18:25:14,7072,386.0,18255.0,1945.0,5340.0,253.0,11086.0,55501,Deep Learning for humans.,1075.0,40,True,2022-05-13 20:03:15,2.9.0,39.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,10748226.0,10781710.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2343900.0,,,,,2.0,,,,,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-06-23 12:31:52.000000,2022-06-23 10:03:27,13111,1088.0,705.0,126.0,2510.0,116.0,1082.0,6555,A hyperparameter optimization framework.,201.0,40,True,2022-06-13 05:38:25,2.10.1,47.0,optuna,conda-forge/optuna,,,,3551.0,3551.0,https://pypi.org/project/optuna,3949883.0,3959082.0,https://anaconda.org/conda-forge/optuna,2021-10-04 08:58:48.864,285191.0,,,,,1.0,,3.0,,,,,,,,,,,,,
38,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2022-06-23 12:48:56.000000,2022-06-23 10:51:41,7641,407.0,1892.0,179.0,3363.0,45.0,1495.0,14964,Build cross-modal and multi-modal applications on the cloud.,150.0,39,True,2022-06-23 07:58:12,3.6.5,100.0,jina,conda-forge/jina-core,jinaai/jina,,,304.0,304.0,https://pypi.org/project/jina,82780.0,122001.0,https://anaconda.org/conda-forge/jina-core,2022-04-22 14:11:20.474,7918.0,https://hub.docker.com/r/jinaai/jina,2022-06-23 11:14:13.688455,7.0,1073591.0,2.0,,,,,,,,,,,,,,,
39,dask.distributed,dask/distributed,distributed-ml,,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000,2022-06-23 13:51:13.000000,2022-06-23 13:51:13,4722,273.0,610.0,59.0,3791.0,904.0,1861.0,1371,A distributed task scheduler for Dask.,277.0,39,True,,,141.0,distributed,conda-forge/distributed,,,,23954.0,23954.0,https://pypi.org/project/distributed,4819227.0,4917587.0,https://anaconda.org/conda-forge/distributed,2022-06-10 23:03:47.479,7180331.0,,,,,1.0,,,,,,,,,,,,,,,
40,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-06-23 10:25:11.000000,2022-06-22 21:05:33,4756,123.0,1747.0,266.0,2340.0,584.0,1884.0,19633,Streamlit The fastest way to build data apps in Python.,142.0,38,True,2022-06-02 17:46:00,1.10.0,39.0,streamlit,,,,,324.0,324.0,https://pypi.org/project/streamlit,906742.0,906742.0,,,,,,,,1.0,,,,,,,,,,,,,,,
41,fairseq,pytorch/fairseq,nlp,,https://github.com/facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,MIT,2017-08-29 16:26:12.000,2022-06-22 21:06:01.000000,2022-06-22 21:03:17,2196,55.0,4410.0,330.0,1071.0,567.0,2863.0,17295,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,389.0,38,True,2022-06-13 15:07:55,0.12.1,15.0,fairseq,conda-forge/fairseq,,,['pytorch'],845.0,845.0,https://pypi.org/project/fairseq,64868.0,65553.0,https://anaconda.org/conda-forge/fairseq,2022-05-28 17:39:59.245,15647.0,,,,,1.0,240.0,2.0,facebookresearch/fairseq,,,,,,,,,,,,
42,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2022-06-23 13:53:05.000000,2022-06-17 20:17:56,6165,325.0,1655.0,402.0,757.0,589.0,669.0,16690,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",117.0,38,True,2022-06-13 18:21:02,2.5.1,83.0,dash,conda-forge/dash,,,,197.0,197.0,https://pypi.org/project/dash,896476.0,906639.0,https://anaconda.org/conda-forge/dash,2022-06-14 01:55:09.921,497993.0,,,,,1.0,,,,,,,,,,,,,,,
