,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
11,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-10-20 13:45:19.000000,2022-10-20 11:38:29,15634.0,88.0,3858.0,553.0,3364.0,81.0,5166.0,24407.0,Industrial-strength Natural Language Processing (NLP) in Python.,702.0,44,True,2022-10-20 08:13:43,3.4.2,100.0,spacy,conda-forge/spacy,,,,44451.0,44451.0,https://pypi.org/project/spacy,4155436.0,4196811.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2810563.0,,,,,1.0,3147.0,,,,,,,,,,,,,,
12,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-10-20 14:35:07.000000,2022-10-20 13:49:04,14647.0,1110.0,3843.0,428.0,17565.0,2493.0,9173.0,22382.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,770.0,44,True,2022-08-23 04:57:08,ray-2.0.0,59.0,ray,conda-forge/ray-tune,,,,6128.0,6128.0,https://pypi.org/project/ray,2080572.0,2083642.0,https://anaconda.org/conda-forge/ray-tune,2022-09-08 16:00:53.758,67549.0,,,,,1.0,,,,,,,,,,,,,,,
13,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-10-20 14:20:38.000000,2022-10-20 14:20:19,52869.0,2919.0,16112.0,1611.0,58244.0,9544.0,19376.0,59713.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3604.0,43,True,2022-08-05 19:35:19,1.12.1,41.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,8523950.0,10074011.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,20149534.0,,,,,1.0,7138.0,,,,,,,,,,,,,,
14,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-10-20 11:20:52.000000,2022-10-19 18:52:54,5995.0,119.0,7943.0,928.0,3793.0,272.0,4303.0,23333.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",579.0,43,True,2022-08-23 13:05:54,1.6.2,44.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,37295.0,37295.0,https://pypi.org/project/xgboost,8392698.0,8440939.0,https://anaconda.org/conda-forge/xgboost,2022-10-12 09:50:00.304,3228739.0,,,,,1.0,5312.0,,,,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-10-20 11:27:54.000000,2022-10-20 00:54:03,13468.0,1106.0,1855.0,288.0,7847.0,903.0,2683.0,20631.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",463.0,43,True,2022-10-12 18:07:55,jax-v0.3.23,49.0,jax,conda-forge/jaxlib,,,,5804.0,5804.0,https://pypi.org/project/jax,580179.0,592320.0,https://anaconda.org/conda-forge/jaxlib,2022-10-12 11:08:14.415,473511.0,,,,,1.0,,,,,,,,,,,,,,,
16,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2022-10-20 09:17:49.000000,2022-10-20 05:49:47,12035.0,60.0,4199.0,477.0,2729.0,516.0,4241.0,20297.0,Asynchronous task queue/job queue based on distributed message passing.,1242.0,43,False,2022-08-01 11:20:41,5.3.0b1,37.0,celery,conda-forge/celery,,,,77349.0,77349.0,https://pypi.org/project/celery,6244444.0,6256953.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,988263.0,,,,,1.0,,,,,,,,,,,,,,,
17,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-10-18 16:36:28.000000,2022-10-04 07:04:07,14370.0,46.0,2526.0,470.0,1383.0,221.0,1431.0,11145.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,435.0,43,True,,,14.0,nltk,conda-forge/nltk,,,,159091.0,159091.0,https://pypi.org/project/nltk,11321266.0,11341981.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1532971.0,,,,,1.0,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2022-10-20 11:48:23.000000,2022-10-14 10:49:21,52200.0,536.0,3659.0,280.0,11836.0,3954.0,8134.0,9718.0,A computer algebra system written in pure Python.,1178.0,43,False,2022-08-30 17:24:48,sympy-1.11.1,43.0,sympy,conda-forge/sympy,,,,47121.0,47121.0,https://pypi.org/project/sympy,2906687.0,2943422.0,https://anaconda.org/conda-forge/sympy,2022-09-30 23:50:08.948,2503364.0,,,,,1.0,468871.0,,,,,,,,,,,,,,
19,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-10-19 22:51:34.000000,2022-10-19 20:41:35,5223.0,124.0,1491.0,191.0,4282.0,545.0,1141.0,5999.0,TensorFlows Visualization Toolkit.,290.0,43,True,2022-09-26 15:14:27,2.10.1,44.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],127437.0,127437.0,https://pypi.org/project/tensorboard,17634015.0,17691216.0,https://anaconda.org/conda-forge/tensorboard,2022-09-27 00:28:15.265,3374879.0,,,,,1.0,,,,,,,,,,,,,,,
20,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-10-16 10:26:14.000000,2022-10-04 16:38:12,1754.0,63.0,7528.0,995.0,1431.0,27.0,1667.0,28845.0,A toolkit for developing and comparing reinforcement learning algorithms.,383.0,42,True,2022-10-04 16:39:12,0.26.2,19.0,gym,conda-forge/gym,,,,33045.0,33045.0,https://pypi.org/project/gym,929257.0,934347.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,152705.0,,,,,1.0,,,,,,,,,,,,,,,
21,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-10-20 08:40:22.000000,2022-10-12 01:53:01,3109.0,86.0,3528.0,450.0,2721.0,213.0,2608.0,14286.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",273.0,42,True,2022-10-10 18:03:31,3.3.3,25.0,lightgbm,conda-forge/lightgbm,,,,15789.0,15789.0,https://pypi.org/project/lightgbm,7298158.0,7320823.0,https://anaconda.org/conda-forge/lightgbm,2022-10-11 02:19:22.986,1268330.0,,,,,1.0,167216.0,,,,,,,,,,,,,,
22,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-10-20 12:20:32.000000,2022-10-20 07:04:07,4239.0,71.0,1776.0,1732.0,4005.0,151.0,2368.0,10289.0,WebGL2 powered visualization framework.,208.0,42,True,2022-10-20 08:25:53,8.8.14,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],4774.0,4774.0,https://pypi.org/project/pydeck,850361.0,1202325.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,209510.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,345417.0,,,,,,,,,,,
23,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-10-20 09:59:30.000000,2022-10-11 17:21:44,14736.0,59.0,2409.0,271.0,3612.0,2276.0,2563.0,7821.0,Statsmodels: statistical modeling and econometrics in Python.,386.0,42,True,2022-02-08 18:06:37,0.13.2,20.0,statsmodels,conda-forge/statsmodels,,,,71483.0,71483.0,https://pypi.org/project/statsmodels,9206243.0,9305388.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,7535021.0,,,,,1.0,26.0,,,,,,,,,,,,,,
24,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2022-10-20 07:15:18.000000,2022-10-20 07:15:18,13314.0,71.0,1978.0,187.0,3871.0,438.0,1891.0,5087.0,Image processing in Python.,579.0,42,False,2022-06-12 18:12:41,0.19.3,20.0,scikit-image,conda-forge/scikit-image,,,,115375.0,115375.0,https://pypi.org/project/scikit-image,5551955.0,5604992.0,https://anaconda.org/conda-forge/scikit-image,2022-08-10 20:08:06.478,4083881.0,,,,,1.0,,,,,,,,,,,,,,,
25,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-10-20 14:18:48.000000,2022-10-18 20:49:38,7460.0,268.0,18302.0,1934.0,5640.0,252.0,11245.0,56429.0,Deep Learning for humans.,1119.0,41,True,2022-09-02 21:31:44,2.10.0,41.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,10105036.0,10140538.0,https://anaconda.org/conda-forge/keras,2022-09-04 01:30:22.305,2627181.0,,,,,2.0,,,,,,,,,,,,,,,
26,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-10-20 14:15:41.000000,2022-10-20 12:24:36,38108.0,1493.0,4589.0,735.0,31642.0,2023.0,13460.0,19038.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,842.0,41,True,2022-08-16 08:23:49,2.3.2,56.0,paddlepaddle,,,,['paddle'],154.0,154.0,https://pypi.org/project/paddlepaddle,72853.0,73060.0,,,,,,,,2.0,15321.0,,,,,,,,,,,,,,
27,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-10-19 05:04:31.000000,2022-10-18 03:54:55,2083.0,81.0,3006.0,428.0,2400.0,245.0,1847.0,13436.0,Open standard for machine learning interoperability.,259.0,41,True,2022-06-18 02:58:18,1.12.0,22.0,onnx,conda-forge/onnx,,,,8810.0,8810.0,https://pypi.org/project/onnx,2049440.0,2058968.0,https://anaconda.org/conda-forge/onnx,2022-09-26 01:58:13.778,544497.0,,,,,1.0,18031.0,,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2022-10-20 10:12:27.000000,2022-10-20 02:56:56,7058.0,64.0,2667.0,278.0,2933.0,185.0,2651.0,11699.0,Network Analysis in Python.,621.0,41,False,2022-10-01 20:50:01,networkx-2.8.7,47.0,networkx,conda-forge/networkx,,,,121135.0,121135.0,https://pypi.org/project/networkx,18465424.0,18583345.0,https://anaconda.org/conda-forge/networkx,2022-10-01 23:32:58.825,8490346.0,,,,,1.0,60.0,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-10-19 21:43:27.000000,2022-10-18 20:39:32,7403.0,123.0,1504.0,222.0,4888.0,681.0,3807.0,10413.0,Parallel computing with task scheduling.,563.0,41,True,,,130.0,dask,conda-forge/dask,,,,40722.0,40722.0,https://pypi.org/project/dask,6095793.0,6186118.0,https://anaconda.org/conda-forge/dask,2022-10-17 17:32:10.956,6955052.0,,,,,1.0,,,,,stable/dask,,,,,,,,,,
30,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2022-10-20 14:27:08.000000,2022-10-19 20:08:12,12929.0,1937.0,1008.0,152.0,3944.0,614.0,2221.0,10261.0,The easiest way to coordinate your dataflow.,82.0,41,True,2022-10-18 18:55:34,2.6.3,129.0,prefect,conda-forge/prefect,,,,1275.0,1275.0,https://pypi.org/project/prefect,435967.0,443836.0,https://anaconda.org/conda-forge/prefect,2022-10-19 05:54:48.436,338377.0,,,,,1.0,,,,,,4.0,,,,,,,,,
31,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-10-20 06:35:01.000000,2022-10-20 06:35:01,2570.0,133.0,7110.0,609.0,2134.0,106.0,1562.0,22895.0,The fastai deep learning library.,226.0,40,True,2022-08-02 19:19:53,2.7.8,46.0,fastai,,,,['pytorch'],11329.0,11329.0,https://pypi.org/project/fastai,282941.0,282941.0,,,,,,,,2.0,,,,,,,,,,,,,,,
32,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-10-20 14:50:07.000000,2022-10-19 17:11:17,5028.0,221.0,1869.0,276.0,2712.0,528.0,2244.0,21022.0,Streamlit The fastest way to build data apps in Python.,155.0,40,True,2022-09-22 17:18:41,1.13.0,45.0,streamlit,,,,,438.0,438.0,https://pypi.org/project/streamlit,885513.0,885513.0,,,,,,,,1.0,,,,,,,,,,,,,,,
33,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2022-10-20 11:55:00.000000,2022-10-17 14:45:24,6436.0,129.0,1714.0,406.0,820.0,658.0,708.0,17507.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",127.0,40,True,2022-09-23 14:50:19,2.6.2,86.0,dash,conda-forge/dash,,,,36088.0,36088.0,https://pypi.org/project/dash,1105757.0,1118274.0,https://anaconda.org/conda-forge/dash,2022-09-24 00:38:13.848,663430.0,,,,,1.0,,,,,,,,,,,,,,,
34,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-10-17 00:47:12.000000,2022-10-02 15:05:30,4391.0,8.0,4051.0,435.0,1625.0,362.0,1402.0,13619.0,Topic Modelling for Humans.,431.0,40,True,2022-05-01 08:38:45,4.2.0,41.0,gensim,conda-forge/gensim,,,,37190.0,37190.0,https://pypi.org/project/gensim,4923311.0,4938116.0,https://anaconda.org/conda-forge/gensim,2022-07-29 07:43:10.680,900311.0,,,,,1.0,3831.0,,,,,,,,,,,,,,
35,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-10-20 08:47:54.000000,2022-10-20 08:40:36,14036.0,435.0,756.0,125.0,2726.0,86.0,1200.0,7065.0,A hyperparameter optimization framework.,205.0,40,True,2022-10-11 07:16:18,3.0.3,52.0,optuna,conda-forge/optuna,,,,4435.0,4435.0,https://pypi.org/project/optuna,1899427.0,1909130.0,https://anaconda.org/conda-forge/optuna,2022-10-13 04:36:59.724,339606.0,,,,,1.0,,,,,,,,,,,,,,,
36,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-10-20 14:01:06.000000,2022-10-19 16:14:57,17708.0,844.0,10989.0,764.0,18563.0,709.0,5562.0,28286.0,"Platform to programmatically author, schedule, and monitor workflows.",2577.0,39,True,2022-10-14 15:36:05,helm-chart/1.7.0,55.0,apache-airflow,conda-forge/airflow,apache/airflow,,,,,https://pypi.org/project/apache-airflow,11511463.0,12512290.0,https://anaconda.org/conda-forge/airflow,2022-09-30 23:25:12.051,757645.0,https://hub.docker.com/r/apache/airflow,2022-10-20 12:04:12.645935,396.0,88642388.0,1.0,366039.0,,,,stable/airflow,,,,,,,,,,
37,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/rwightman/pytorch-image-models,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2022-10-17 21:40:29.000000,2022-10-17 21:40:11,1581.0,129.0,3477.0,288.0,266.0,59.0,536.0,21512.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision..",82.0,39,True,2022-10-03 21:44:35,0.6.11,36.0,timm,conda-forge/timm,,,['pytorch'],5248.0,5248.0,https://pypi.org/project/timm,1510480.0,1563809.0,https://anaconda.org/conda-forge/timm,2021-06-30 20:44:15.682,32405.0,,,,,1.0,2137320.0,,,,,,,,,,,,,,
38,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-10-20 14:26:29.000000,2022-10-20 14:18:06,7895.0,664.0,2558.0,227.0,7331.0,533.0,4978.0,20363.0,"Build and train PyTorch models and connect them to the ML lifecycle using Lightning App templates, without handling..",780.0,39,True,2022-10-07 20:45:08,app/0.6.3,100.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],96.0,96.0,https://pypi.org/project/pytorch-lightning,3489954.0,3510799.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-09-23 22:18:39.548,575695.0,,,,,2.0,8840.0,,,,,,Lightning-AI/lightning,,,,,,,,
39,fairseq,pytorch/fairseq,nlp,,https://github.com/facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,MIT,2017-08-29 16:26:12.000,2022-10-19 14:47:04.000000,2022-10-18 20:25:27,2264.0,48.0,4763.0,347.0,1193.0,701.0,2916.0,19499.0,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,408.0,39,True,2022-06-27 19:32:58,0.12.2,16.0,fairseq,conda-forge/fairseq,,,['pytorch'],994.0,994.0,https://pypi.org/project/fairseq,97721.0,98464.0,https://anaconda.org/conda-forge/fairseq,2022-07-13 07:08:17.142,19939.0,,,,,1.0,273.0,,,,,,facebookresearch/fairseq,,,,,,,,
40,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-10-13 16:16:30.000000,2022-06-16 14:46:20,2277.0,,2610.0,257.0,488.0,1451.0,619.0,17729.0,A game theoretic approach to explain the output of any machine learning model.,205.0,39,True,2022-06-16 00:31:04,0.41.0,47.0,shap,conda-forge/shap,,,,6951.0,6951.0,https://pypi.org/project/shap,3815557.0,3846734.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1558862.0,,,,,1.0,,,,,,,,,,,,,,,
41,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-10-20 10:55:03.000000,2022-10-20 05:23:15,19800.0,191.0,3902.0,449.0,5359.0,662.0,6351.0,16808.0,"Interactive Data Visualization in the browser, from Python.",619.0,39,True,,,45.0,bokeh,conda-forge/bokeh,,,,163.0,163.0,https://pypi.org/project/bokeh,3205220.0,3340656.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8938784.0,,,,,1.0,,,,,,,,,,,,,,,
