,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,dnf_id,yay_id
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-09-15 11:46:15.000000,2022-09-13 14:52:50,13664.0,269.0,1748.0,214.0,3891.0,107.0,2501.0,10145.0,The friendly PIL fork (Python Imaging Library).,408.0,47,True,2022-07-01 18:32:05,9.2.0,47.0,Pillow,conda-forge/pillow,,,,841460.0,841460.0,https://pypi.org/project/Pillow,47214288.0,47455161.0,https://anaconda.org/conda-forge/pillow,2022-08-13 11:08:07.290,18547249.0,,,,,1.0,,,,,,,,,,,,,,,
11,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-09-15 14:14:32.000000,2022-09-15 06:41:33,51660.0,4049.0,15843.0,1607.0,56697.0,9265.0,18931.0,58794.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3502.0,44,True,2022-08-05 19:35:19,1.12.1,41.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,8442819.0,10045070.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,19225963.0,,,,,1.0,6381.0,,,,,,,,,,,,,,
12,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-09-15 14:04:06.000000,2022-09-15 13:51:19,15602.0,125.0,3833.0,553.0,3322.0,73.0,5148.0,24189.0,Industrial-strength Natural Language Processing (NLP) in Python.,700.0,44,True,2022-07-26 13:08:23,3.4.1,100.0,spacy,conda-forge/spacy,,,,43189.0,43189.0,https://pypi.org/project/spacy,4868394.0,4909808.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2771815.0,,,,,1.0,3146.0,,,,,,,,,,,,,,
13,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-09-15 14:23:16.000000,2022-09-15 12:33:12,14237.0,1182.0,3778.0,425.0,16988.0,2536.0,8737.0,22003.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,756.0,44,True,2022-08-23 04:57:08,ray-2.0.0,59.0,ray,conda-forge/ray-tune,,,,5849.0,5849.0,https://pypi.org/project/ray,1896185.0,1899003.0,https://anaconda.org/conda-forge/ray-tune,2022-09-08 16:00:53.758,59178.0,,,,,1.0,,,,,,,,,,,,,,,
14,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-09-15 10:39:32.000000,2022-09-14 15:46:23,5927.0,106.0,7914.0,928.0,3714.0,271.0,4253.0,23178.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",576.0,43,True,2022-08-23 13:05:54,1.6.2,43.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,35925.0,35925.0,https://pypi.org/project/xgboost,8331958.0,8377894.0,https://anaconda.org/conda-forge/xgboost,2022-09-01 17:07:10.599,3028495.0,,,,,1.0,5114.0,,,,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-09-15 09:04:32.000000,2022-09-15 09:04:29,13056.0,1100.0,1798.0,289.0,7546.0,857.0,2619.0,20233.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",445.0,43,True,2022-08-31 18:23:45,jax-v0.3.17,47.0,jax,conda-forge/jaxlib,,,,5484.0,5484.0,https://pypi.org/project/jax,629155.0,640448.0,https://anaconda.org/conda-forge/jaxlib,2022-08-25 23:05:09.618,429161.0,,,,,1.0,,,,,,,,,,,,,,,
16,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2022-09-15 14:27:49.000000,2022-09-15 10:43:12,52032.0,862.0,3641.0,282.0,11806.0,3936.0,8100.0,9603.0,A computer algebra system written in pure Python.,1171.0,43,False,2022-08-30 17:24:48,sympy-1.11.1,43.0,sympy,conda-forge/sympy,,,,46009.0,46009.0,https://pypi.org/project/sympy,2672972.0,2708539.0,https://anaconda.org/conda-forge/sympy,2022-08-23 23:56:28.223,2382900.0,,,,,1.0,463629.0,,,,,,,,,,,,,,
17,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-09-14 23:42:40.000000,2022-09-14 23:42:40,5182.0,113.0,1480.0,191.0,4235.0,536.0,1138.0,5981.0,TensorFlows Visualization Toolkit.,286.0,43,True,2022-08-10 19:44:48,2.10.0,43.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],123176.0,123176.0,https://pypi.org/project/tensorboard,15927773.0,15983994.0,https://anaconda.org/conda-forge/tensorboard,2022-09-09 20:30:59.826,3260850.0,,,,,1.0,,,,,,,,,,,,,,,
18,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-09-14 22:42:53.000000,2022-09-14 12:32:27,1746.0,96.0,7469.0,991.0,1418.0,14.0,1649.0,28523.0,A toolkit for developing and comparing reinforcement learning algorithms.,380.0,42,True,2022-09-06 18:23:48,0.26.0,17.0,gym,conda-forge/gym,,,,32246.0,32246.0,https://pypi.org/project/gym,883385.0,888321.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,143156.0,,,,,1.0,,,,,,,,,,,,,,,
19,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2022-09-15 14:31:23.000000,2022-09-07 15:51:53,12001.0,49.0,4187.0,475.0,2686.0,511.0,4233.0,20077.0,Asynchronous task queue/job queue based on distributed message passing.,1238.0,42,False,2022-08-01 11:20:41,5.3.0b1,37.0,celery,conda-forge/celery,,,,75598.0,75598.0,https://pypi.org/project/celery,6107910.0,6120121.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,952511.0,,,,,1.0,,,,,,,,,,,,,,,
20,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-09-13 11:49:19.000000,2022-09-05 12:06:05,14348.0,41.0,2517.0,472.0,1379.0,217.0,1425.0,11048.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,434.0,42,True,,,14.0,nltk,conda-forge/nltk,,,,155336.0,155336.0,https://pypi.org/project/nltk,11182209.0,11202299.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1466626.0,,,,,1.0,,,,,,,,,,,,,,,
21,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-09-12 00:16:32.000000,2022-08-27 04:03:39,14704.0,78.0,2396.0,271.0,3598.0,2250.0,2554.0,7748.0,Statsmodels: statistical modeling and econometrics in Python.,382.0,42,True,2022-02-08 18:06:37,0.13.2,20.0,statsmodels,conda-forge/statsmodels,,,,69559.0,69559.0,https://pypi.org/project/statsmodels,9171625.0,9267610.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,7198936.0,,,,,1.0,26.0,,,,,,,,,,,,,,
22,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-09-15 12:36:38.000000,2022-09-15 01:09:00,7331.0,255.0,18304.0,1941.0,5534.0,257.0,11205.0,56146.0,Deep Learning for humans.,1104.0,41,True,2022-09-02 21:31:44,2.10.0,41.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,8896562.0,8931325.0,https://anaconda.org/conda-forge/keras,2022-09-04 01:30:22.305,2537733.0,,,,,2.0,,,,,,,,,,,,,,,
23,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-09-15 14:20:55.000000,2022-09-15 12:52:10,17416.0,907.0,10808.0,754.0,18183.0,696.0,5399.0,27833.0,"Platform to programmatically author, schedule, and monitor workflows.",2543.0,41,True,2022-08-23 14:41:06,2.3.4,52.0,apache-airflow,conda-forge/airflow,apache/airflow,,,,,https://pypi.org/project/apache-airflow,9408391.0,10373429.0,https://anaconda.org/conda-forge/airflow,2022-09-02 16:16:59.596,713439.0,https://hub.docker.com/r/apache/airflow,2022-08-23 12:48:46.602165,386.0,84532188.0,1.0,347852.0,stable/airflow,,,,,,,,,,,,,
24,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-09-15 14:04:37.000000,2022-09-15 12:44:59,37518.0,1389.0,4553.0,733.0,30677.0,2093.0,13219.0,18863.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,817.0,41,True,2022-08-16 08:23:49,2.3.2,56.0,paddlepaddle,,,,['paddle'],139.0,139.0,https://pypi.org/project/paddlepaddle,81566.0,81775.0,,,,,,,,2.0,15320.0,,,,,,,,,,,,,,
25,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2022-09-14 16:40:18.000000,2022-09-12 19:40:04,6395.0,207.0,1695.0,406.0,807.0,640.0,696.0,17324.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",125.0,41,True,2022-08-02 18:10:36,2.6.1,85.0,dash,conda-forge/dash,,,,35134.0,35134.0,https://pypi.org/project/dash,1127552.0,1139408.0,https://anaconda.org/conda-forge/dash,2022-08-03 10:34:17.016,616562.0,,,,,1.0,,,,,,,,,,,,,,,
26,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-09-15 12:55:09.000000,2022-09-12 17:49:08,3090.0,97.0,3511.0,451.0,2697.0,198.0,2586.0,14170.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",270.0,41,True,2022-01-07 14:53:52,3.3.2,24.0,lightgbm,conda-forge/lightgbm,,,,15251.0,15251.0,https://pypi.org/project/lightgbm,6825875.0,6847818.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1204360.0,,,,,2.0,163722.0,,,,,,,,,,,,,,
27,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-09-15 14:15:40.000000,2022-09-14 22:06:45,2047.0,68.0,2923.0,430.0,2358.0,229.0,1819.0,13247.0,Open standard for machine learning interoperability.,251.0,41,True,2022-06-18 02:58:18,1.12.0,22.0,onnx,conda-forge/onnx,,,,8308.0,8308.0,https://pypi.org/project/onnx,1707964.0,1717063.0,https://anaconda.org/conda-forge/onnx,2022-08-18 20:33:15.885,510224.0,,,,,1.0,17918.0,,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2022-09-14 21:57:11.000000,2022-09-12 21:17:25,7028.0,92.0,2622.0,276.0,2859.0,172.0,2638.0,11545.0,Network Analysis in Python.,615.0,41,False,2022-08-22 13:43:23,networkx-2.8.6,45.0,networkx,conda-forge/networkx,,,,117794.0,117794.0,https://pypi.org/project/networkx,18746389.0,18859624.0,https://anaconda.org/conda-forge/networkx,2022-08-22 18:30:33.145,8039691.0,,,,,1.0,60.0,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-09-15 06:28:15.000000,2022-09-14 21:24:40,7362.0,125.0,1493.0,222.0,4843.0,677.0,3774.0,10296.0,Parallel computing with task scheduling.,559.0,41,True,,,127.0,dask,conda-forge/dask,,,,39878.0,39878.0,https://pypi.org/project/dask,7102157.0,7188046.0,https://anaconda.org/conda-forge/dask,2022-09-02 22:43:07.077,6527632.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,
30,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2022-09-15 09:36:06.000000,2022-09-14 18:55:42,13267.0,41.0,1963.0,187.0,3819.0,441.0,1868.0,5038.0,Image processing in Python.,569.0,41,False,2022-06-12 18:12:41,0.19.3,20.0,scikit-image,conda-forge/scikit-image,,,,112499.0,112499.0,https://pypi.org/project/scikit-image,5050114.0,5101767.0,https://anaconda.org/conda-forge/scikit-image,2022-08-10 20:08:06.478,3925628.0,,,,,1.0,,,,,,,,,,,,,,,
31,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-09-14 18:25:25.000000,2022-09-14 05:21:09,2518.0,144.0,7094.0,608.0,2115.0,113.0,1548.0,22750.0,The fastai deep learning library.,216.0,40,True,2022-08-02 19:19:53,2.7.8,46.0,fastai,,,,['pytorch'],11089.0,11089.0,https://pypi.org/project/fastai,245316.0,245316.0,,,,,,,,2.0,,,,,,,,,,,,,,,
32,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-09-08 00:50:27.000000,2022-09-08 00:50:27,4390.0,7.0,4038.0,433.0,1622.0,361.0,1400.0,13522.0,Topic Modelling for Humans.,431.0,40,True,2022-05-01 08:38:45,4.2.0,41.0,gensim,conda-forge/gensim,,,,36286.0,36286.0,https://pypi.org/project/gensim,4788231.0,4802876.0,https://anaconda.org/conda-forge/gensim,2022-07-29 07:43:10.680,875974.0,,,,,1.0,3831.0,,,,,,,,,,,,,,
33,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2022-09-15 13:35:44.000000,2022-09-15 12:05:54,12537.0,2843.0,968.0,156.0,3684.0,572.0,2117.0,10055.0,The easiest way to coordinate your dataflow.,68.0,40,True,2022-09-13 19:40:49,2.4.0,121.0,prefect,conda-forge/prefect,,,,1199.0,1199.0,https://pypi.org/project/prefect,417974.0,425627.0,https://anaconda.org/conda-forge/prefect,2022-09-14 00:07:20.904,321443.0,,,,,1.0,,,3.0,,,,,,,,,,,,
34,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-09-15 06:56:54.000000,2022-09-14 02:49:54,13953.0,817.0,742.0,123.0,2683.0,80.0,1185.0,6918.0,A hyperparameter optimization framework.,204.0,40,True,2022-09-15 06:56:54,3.0.2,51.0,optuna,conda-forge/optuna,,,,4178.0,4178.0,https://pypi.org/project/optuna,1532048.0,1541636.0,https://anaconda.org/conda-forge/optuna,2022-09-09 08:46:04.668,325997.0,,,,,1.0,,,3.0,,,,,,,,,,,,
35,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-09-15 09:10:38.000000,2022-09-13 16:44:15,4935.0,183.0,1832.0,276.0,2585.0,623.0,2061.0,20617.0,Streamlit The fastest way to build data apps in Python.,152.0,39,True,2022-08-26 00:36:51,1.12.2,44.0,streamlit,,,,,403.0,403.0,https://pypi.org/project/streamlit,890832.0,890832.0,,,,,,,,1.0,,,,,,,,,,,,,,,
36,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-09-15 14:14:52.000000,2022-09-15 14:14:51,7663.0,624.0,2523.0,224.0,7056.0,484.0,4891.0,20006.0,"Build and train PyTorch models and connect them to the ML lifecycle using Lightning App templates, without handling..",758.0,39,True,2022-09-13 19:19:08,1.7.6,100.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],85.0,85.0,https://pypi.org/project/pytorch-lightning,2127070.0,2147430.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-09-14 14:43:49.918,543431.0,,,,,2.0,8398.0,,,Lightning-AI/lightning,,,,,,,,,,,
37,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-09-14 13:07:34.000000,2022-06-16 14:46:20,2277.0,,2584.0,256.0,481.0,1418.0,612.0,17452.0,A game theoretic approach to explain the output of any machine learning model.,205.0,39,True,2022-06-16 00:31:04,0.41.0,47.0,shap,conda-forge/shap,,,,6580.0,6580.0,https://pypi.org/project/shap,3508388.0,3538566.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1478729.0,,,,,1.0,,,,,,,,,,,,,,,
38,Jina,jina-ai/jina,ml-frameworks,,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000,2022-09-15 14:19:04.552227,2022-09-15 14:00:42,7881.0,253.0,1927.0,181.0,3500.0,37.0,1585.0,16017.0,Build cross-modal and multimodal applications on the cloud Neural Search Creative AI Cloud Native MLOps.,154.0,39,True,2022-09-15 14:05:26,3.9.2,100.0,jina,conda-forge/jina-core,jinaai/jina,,,359.0,359.0,https://pypi.org/project/jina,90685.0,128538.0,https://anaconda.org/conda-forge/jina-core,2022-08-16 02:48:28.481,24101.0,https://hub.docker.com/r/jinaai/jina,2022-09-15 14:19:04.552227,7.0,1111225.0,2.0,,,,,,,,,,,,,,,
39,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2022-09-12 14:30:15.000000,2022-08-23 02:54:34,3232.0,82.0,655.0,151.0,1015.0,216.0,1416.0,7743.0,Declarative statistical visualization library for Python.,138.0,39,True,2021-12-29 13:30:58,4.2.0,20.0,altair,conda-forge/altair,,,,32921.0,32921.0,https://pypi.org/project/altair,7870600.0,7888944.0,https://anaconda.org/conda-forge/altair,2021-12-29 17:47:26.885,1357507.0,,,,,1.0,,,,,,,,,,,,,,,
40,dask.distributed,dask/distributed,distributed-ml,,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000,2022-09-15 13:48:03.000000,2022-09-09 14:52:17,4907.0,196.0,626.0,59.0,4009.0,983.0,1975.0,1394.0,A distributed task scheduler for Dask.,286.0,39,True,,,147.0,distributed,conda-forge/distributed,,,,24956.0,24956.0,https://pypi.org/project/distributed,5065683.0,5170098.0,https://anaconda.org/conda-forge/distributed,2022-09-02 22:17:41.367,7935585.0,,,,,1.0,,,,,,,,,,,,,,,
41,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/rwightman/pytorch-image-models,https://github.com/rwightman/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2022-09-14 03:55:20.000000,2022-09-14 03:54:54,1517.0,126.0,3357.0,283.0,255.0,56.0,529.0,20888.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision..",79.0,38,True,2022-08-24 18:03:56,0.1-weights-maxx,35.0,timm,conda-forge/timm,,,['pytorch'],4594.0,4594.0,https://pypi.org/project/timm,1060999.0,1106868.0,https://anaconda.org/conda-forge/timm,2021-06-30 20:44:15.682,28197.0,,,,,1.0,1791431.0,,,,,,,,,,,,,,
