,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,trending,maven_id,maven_url,snap_id,dnf_id,yay_id
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-03-02 10:20:41.000000,2023-03-02 10:20:41,14421.0,352.0,1827.0,219.0,4145.0,90.0,2639.0,10566.0,Python Imaging Library (Fork).,428.0,47,True,2023-01-02 03:01:15,9.4.0,49.0,Pillow,conda-forge/pillow,,,,1058999.0,1058999.0,https://pypi.org/project/Pillow,52580162.0,52868000.0,https://anaconda.org/conda-forge/pillow,2023-02-04 06:06:48.806,23890590.0,,,,,1.0,,,,,,,,,,,,,,,
11,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2023-03-02 14:19:43.000000,2023-03-02 09:48:47,19011.0,846.0,11579.0,759.0,20098.0,723.0,6221.0,29756.0,"Platform to programmatically author, schedule, and monitor workflows.",2743.0,45,True,2023-02-06 17:55:31,helm-chart/1.8.0,60.0,apache-airflow,conda-forge/airflow,apache/airflow,,,5992.0,5992.0,https://pypi.org/project/apache-airflow,12031952.0,13150291.0,https://anaconda.org/conda-forge/airflow,2023-01-21 12:13:50.557,846046.0,https://hub.docker.com/r/apache/airflow,2023-01-20 19:34:31.374078,426.0,104641472.0,1.0,433550.0,stable/airflow,,,,,,,,,,,,,
12,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-02-28 04:10:52.000000,2023-02-26 12:48:15,14935.0,124.0,2487.0,275.0,3711.0,2368.0,2627.0,8229.0,Statsmodels: statistical modeling and econometrics in Python.,408.0,45,True,2022-11-02 16:51:52,0.13.5,23.0,statsmodels,conda-forge/statsmodels,,,,86239.0,86239.0,https://pypi.org/project/statsmodels,9268925.0,9378141.0,https://anaconda.org/conda-forge/statsmodels,2022-11-04 18:55:06.900,8846564.0,,,,,1.0,27.0,,,,,,,,,,,,,,
13,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-03-02 14:00:08.000000,2023-03-02 12:44:59,57270.0,2832.0,16982.0,1634.0,63886.0,10396.0,21371.0,63293.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3873.0,44,True,2022-12-16 00:17:16,1.13.1,43.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,8587939.0,9870002.0,https://anaconda.org/pytorch/pytorch,2022-12-15 16:18:09.640,23074458.0,,,,,1.0,11677.0,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-03-02 13:51:55.000000,2023-03-01 15:02:55,15838.0,109.0,3931.0,547.0,3638.0,70.0,5287.0,25371.0,Industrial-strength Natural Language Processing (NLP) in Python.,718.0,44,True,2023-01-20 09:56:12,3.5.0,100.0,spacy,conda-forge/spacy,,,,54871.0,54871.0,https://pypi.org/project/spacy,4728533.0,4768969.0,https://anaconda.org/conda-forge/spacy,2023-01-24 11:09:43.687,2951883.0,,,,,1.0,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-03-02 13:25:29.000000,2023-03-02 04:53:32,16206.0,946.0,4131.0,441.0,19710.0,2597.0,10391.0,24365.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,821.0,44,True,2023-02-24 15:34:15,ray-2.3.0,63.0,ray,conda-forge/ray-tune,,,,8394.0,8394.0,https://pypi.org/project/ray,2171762.0,2175518.0,https://anaconda.org/conda-forge/ray-tune,2023-02-26 10:20:09.550,101419.0,,,,,1.0,10.0,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-03-02 11:18:39.000000,2023-03-02 04:37:14,6220.0,169.0,8003.0,925.0,4128.0,308.0,4417.0,23822.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",595.0,43,True,2023-02-16 15:22:41,1.7.4,49.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,48855.0,48855.0,https://pypi.org/project/xgboost,9394519.0,9445120.0,https://anaconda.org/conda-forge/xgboost,2022-11-07 20:50:22.110,3639275.0,,,,,1.0,6134.0,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-03-02 13:34:23.000000,2023-03-02 00:38:58,15038.0,1042.0,2004.0,307.0,9049.0,1044.0,2882.0,22100.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",511.0,43,True,2023-02-16 21:37:32,jaxlib-v0.4.4,61.0,jax,conda-forge/jaxlib,,,,8639.0,8639.0,https://pypi.org/project/jax,1068584.0,1082735.0,https://anaconda.org/conda-forge/jaxlib,2023-02-18 10:58:31.412,622662.0,,,,,1.0,,,,,,,,,,,,,,,
18,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2023-03-02 13:53:23.000000,2023-03-02 13:10:24,12132.0,53.0,4261.0,475.0,2855.0,537.0,4277.0,21026.0,Asynchronous task queue/job queue based on distributed message passing.,1265.0,43,False,2023-02-19 11:47:50,5.3.0b2,38.0,celery,conda-forge/celery,,,,95992.0,95992.0,https://pypi.org/project/celery,6168593.0,6181927.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,1120094.0,,,,,1.0,,,,,,,,,,,,,,,
19,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-03-02 06:13:23.000000,2023-03-01 05:35:20,3210.0,77.0,3576.0,446.0,2831.0,223.0,2696.0,14683.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",280.0,43,True,2023-01-24 03:15:36,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,19542.0,19542.0,https://pypi.org/project/lightgbm,6245318.0,6270346.0,https://anaconda.org/conda-forge/lightgbm,2023-01-24 13:04:34.282,1528324.0,,,,,1.0,181324.0,,,,,,,,,,,,,,
20,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-02-26 07:23:49.000000,2023-02-20 11:48:46,14437.0,48.0,2566.0,468.0,1408.0,217.0,1471.0,11577.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,438.0,43,True,,,17.0,nltk,conda-forge/nltk,,,,180517.0,180517.0,https://pypi.org/project/nltk,10872322.0,10894974.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,1789520.0,,,,,1.0,,,,,,,,,,,,,,,
21,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-02-27 06:10:09.000000,2023-02-26 20:42:50,3121.0,37.0,1633.0,252.0,976.0,106.0,2157.0,10411.0,Statistical data visualization in Python.,188.0,43,True,2022-12-30 19:12:05,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,229862.0,229862.0,https://pypi.org/project/seaborn,9464829.0,9541045.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,6020983.0,,,,,1.0,238.0,,,,,,,,,,,,,,
22,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-03-02 11:50:47.000000,2023-03-02 08:32:48,53450.0,860.0,3785.0,287.0,12193.0,4057.0,8303.0,10353.0,A computer algebra system written in pure Python.,1198.0,43,False,2022-08-30 17:24:48,sympy-1.11.1,43.0,sympy,conda-forge/sympy,,,,54315.0,54315.0,https://pypi.org/project/sympy,2993274.0,3033314.0,https://anaconda.org/conda-forge/sympy,2022-10-27 02:25:19.270,2937391.0,,,,,1.0,489510.0,,,,,,,,,,,,,,
23,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-03-02 00:15:54.000000,2023-03-02 00:15:54,5371.0,82.0,1524.0,192.0,4453.0,567.0,1172.0,6127.0,TensorFlows Visualization Toolkit.,296.0,43,True,2023-02-09 23:01:25,2.12.0,48.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],151162.0,151162.0,https://pypi.org/project/tensorboard,18201189.0,18259755.0,https://anaconda.org/conda-forge/tensorboard,2023-02-13 14:15:05.263,3748241.0,,,,,1.0,,,,,,,,,,,,,,,
24,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-03-02 13:45:08.000000,2023-03-02 13:22:57,40237.0,1379.0,4827.0,731.0,34784.0,996.0,15198.0,19696.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,940.0,42,True,2022-12-13 09:22:18,2.4.1,58.0,paddlepaddle,,,,['paddle'],201.0,201.0,https://pypi.org/project/paddlepaddle,82022.0,82216.0,,,,,,,,2.0,15341.0,,,,,,,,,,,,,,
25,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-03-01 18:23:54.000000,2023-03-01 05:16:59,4361.0,97.0,1848.0,1720.0,4164.0,180.0,2428.0,10642.0,WebGL2 powered visualization framework.,219.0,42,True,2023-02-24 20:55:46,8.8.26,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],5472.0,5472.0,https://pypi.org/project/pydeck,1184056.0,1583327.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,302810.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,391087.0,,,,,,,,,,
26,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-03-02 08:31:18.000000,2023-03-02 08:31:17,13453.0,114.0,2016.0,185.0,3985.0,464.0,1934.0,5275.0,Image processing in Python.,595.0,42,False,2023-02-28 23:32:35,0.20.0,20.0,scikit-image,conda-forge/scikit-image,,,,131386.0,131386.0,https://pypi.org/project/scikit-image,6041151.0,6097736.0,https://anaconda.org/conda-forge/scikit-image,2022-10-30 12:02:37.338,4639990.0,,,,,1.0,,,,,,,,,,,,,,,
27,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-03-02 07:16:51.000000,2023-03-01 22:53:08,7804.0,254.0,18411.0,1923.0,5929.0,279.0,11373.0,57452.0,Deep Learning for humans.,1162.0,41,True,2022-11-14 18:10:37,2.11.0,46.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,10521776.0,10558582.0,https://anaconda.org/conda-forge/keras,2022-11-21 08:56:09.864,2907728.0,,,,,2.0,,,,,,,,,,,,,,,
28,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-03-02 01:31:18.000000,2023-02-27 12:54:21,31247.0,301.0,4115.0,346.0,5428.0,1.0,6640.0,15701.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",578.0,41,True,2023-02-22 16:34:11,3.3.5,100.0,rasa,,,,['tensorflow'],3081.0,3081.0,https://pypi.org/project/rasa,125756.0,125756.0,,,,,,,,1.0,,,,,,,,,,,,,,,
29,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-03-02 03:13:50.000000,2023-03-01 22:51:41,2222.0,107.0,3271.0,431.0,2587.0,276.0,1947.0,14181.0,Open standard for machine learning interoperability.,270.0,41,True,2023-02-22 18:47:36,1.13.1,24.0,onnx,conda-forge/onnx,,,,13244.0,13244.0,https://pypi.org/project/onnx,2272451.0,2282967.0,https://anaconda.org/conda-forge/onnx,2022-12-15 14:09:08.911,654867.0,,,,,1.0,18518.0,,,,,,,,,,,,,,
30,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-02-26 21:31:17.000000,2023-02-17 14:45:00,4428.0,35.0,4099.0,430.0,1652.0,363.0,1427.0,14011.0,Topic Modelling for Humans.,441.0,41,True,2022-12-21 00:42:57,4.3.0,42.0,gensim,conda-forge/gensim,,,,42651.0,42651.0,https://pypi.org/project/gensim,4638596.0,4653583.0,https://anaconda.org/conda-forge/gensim,2022-12-21 13:44:44.543,985987.0,,,,,1.0,4262.0,,,,,,,,,,,,,,
31,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-03-01 06:13:37.000000,2023-03-01 06:13:37,7202.0,85.0,2755.0,280.0,3142.0,176.0,2741.0,12280.0,Network Analysis in Python.,641.0,41,False,2023-01-08 00:03:20,networkx-3.0,50.0,networkx,conda-forge/networkx,,,,143676.0,143676.0,https://pypi.org/project/networkx,22732439.0,22864464.0,https://anaconda.org/conda-forge/networkx,2023-01-08 04:17:56.857,10165950.0,,,,,1.0,63.0,,,,,,,,,,,,,,
32,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2023-03-02 12:57:48.000000,2023-03-01 21:49:02,14051.0,539.0,1115.0,155.0,4825.0,691.0,2663.0,11409.0,The easiest way to coordinate your dataflow.,133.0,41,True,2023-02-23 21:49:35,2.8.3,152.0,prefect,conda-forge/prefect,,,,2265.0,2265.0,https://pypi.org/project/prefect,763487.0,771777.0,https://anaconda.org/conda-forge/prefect,2023-02-24 01:55:34.181,397933.0,,,,,1.0,,,,,,,,,,,,,,,
33,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-03-02 12:24:28.000000,2023-03-02 06:44:34,8496.0,291.0,1012.0,135.0,4659.0,588.0,3569.0,11157.0,Data Version Control | Git for Data & Models | ML Experiments Management.,281.0,41,True,2023-02-16 12:46:56,2.45.1,219.0,dvc,conda-forge/dvc,,,,6740.0,6740.0,https://pypi.org/project/dvc,1101494.0,1138683.0,https://anaconda.org/conda-forge/dvc,2023-02-06 14:34:48.692,1420467.0,,,,,1.0,117752.0,,,,,dvc,dvc,dvc,,,,,,,
34,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-03-02 04:22:50.000000,2023-03-01 21:13:45,7587.0,129.0,1554.0,216.0,5130.0,745.0,3900.0,10770.0,Parallel computing with task scheduling.,577.0,41,True,,,141.0,dask,conda-forge/dask,,,,46469.0,46469.0,https://pypi.org/project/dask,7229358.0,7327276.0,https://anaconda.org/conda-forge/dask,2023-03-02 00:52:00.986,8029336.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,
35,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-03-01 03:56:36.000000,2023-03-01 03:56:36,2642.0,49.0,7147.0,616.0,2169.0,131.0,1568.0,23465.0,The fastai deep learning library.,234.0,40,True,2023-02-15 02:47:21,2.7.11,48.0,fastai,,,,['pytorch'],12620.0,12620.0,https://pypi.org/project/fastai,395190.0,395190.0,,,,,,,,2.0,,,,,,,,,,,,,,,
36,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-03-02 13:44:14.000000,2023-03-01 22:06:49,6643.0,135.0,1783.0,410.0,904.0,699.0,744.0,18185.0,Data Apps & Dashboards for Python. No JavaScript Required.,133.0,40,True,2023-01-30 17:00:50,2.8.1,90.0,dash,conda-forge/dash,,,,42387.0,42387.0,https://pypi.org/project/dash,1238759.0,1253232.0,https://anaconda.org/conda-forge/dash,2023-01-31 14:16:53.350,839491.0,,,,,1.0,,,,,,,,,,,,,,,
37,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-03-01 23:37:12.000000,2023-03-01 23:36:47,3424.0,99.0,677.0,147.0,1140.0,198.0,1547.0,8083.0,Declarative statistical visualization library for Python.,151.0,40,True,2023-01-27 23:10:18,4.2.2,21.0,altair,conda-forge/altair,,,,47026.0,47026.0,https://pypi.org/project/altair,10334183.0,10354586.0,https://anaconda.org/conda-forge/altair,2023-01-31 16:04:09.212,1632305.0,,,,,1.0,18.0,,,,,,,,,,,,,,
38,Dagster,dagster-io/dagster,data-pipelines,,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04.000,2023-03-02 10:24:45.000000,2023-03-01 23:42:58,13381.0,1168.0,823.0,93.0,7185.0,1315.0,3676.0,6655.0,"An orchestration platform for the development, production, and observation of data assets.",283.0,40,True,2023-02-24 18:54:10,1.1.20,131.0,dagster,conda-forge/dagster,,,,975.0,975.0,https://pypi.org/project/dagster,638280.0,658154.0,https://anaconda.org/conda-forge/dagster,2023-02-24 23:59:38.418,794992.0,,,,,1.0,,,,,,,,,,,,,,,
39,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2023-02-24 18:15:23.000000,2023-01-30 18:15:21,1757.0,2.0,7742.0,1010.0,1437.0,42.0,1703.0,30196.0,A toolkit for developing and comparing reinforcement learning algorithms.,384.0,39,True,2022-10-04 16:39:12,0.26.2,19.0,gym,conda-forge/gym,,,,38672.0,38672.0,https://pypi.org/project/gym,799342.0,805034.0,https://anaconda.org/conda-forge/gym,2023-01-26 10:09:31.076,199220.0,,,,,1.0,,,,,,,,,,,,,,,
40,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-02-27 05:52:12.000000,2023-02-27 05:51:48,1750.0,154.0,3853.0,297.0,320.0,70.0,603.0,23826.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision..",94.0,39,True,2022-11-23 22:11:26,0.6.12,41.0,timm,conda-forge/timm,,,['pytorch'],8289.0,8289.0,https://pypi.org/project/timm,2321693.0,2394233.0,https://anaconda.org/conda-forge/timm,2022-11-24 16:33:10.061,51343.0,,,,,1.0,3263060.0,,,,,,,,huggingface/pytorch-image-models,,,,,,
41,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-03-02 11:32:02.000000,2023-03-01 23:02:13,5298.0,165.0,2015.0,284.0,3033.0,590.0,2483.0,23003.0,Streamlit The fastest way to build data apps in Python.,167.0,39,True,2023-02-23 19:28:58,1.19.0,54.0,streamlit,,,,,607.0,607.0,https://pypi.org/project/streamlit,1362611.0,1362611.0,,,,,,,,1.0,,,,,,,,,,,,,,,
