,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,snap_id,dnf_id,yay_id
13,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-05-08 11:49:42.000000,2023-05-08 10:53:36,15051.0,137.0,2517.0,275.0,3769.0,2436.0,2668.0,8462.0,Statsmodels: statistical modeling and econometrics in Python.,412.0,45,True,2023-05-05 10:52:12,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,91911.0,91911.0,https://pypi.org/project/statsmodels,9670616.0,9787586.0,https://anaconda.org/conda-forge/statsmodels,2023-05-05 17:18:31.041,9708560.0,,,,,1.0,27.0,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-05-11 12:14:55.000000,2023-05-11 09:54:16,15906.0,82.0,4012.0,550.0,3732.0,71.0,5329.0,26080.0,Industrial-strength Natural Language Processing (NLP) in Python.,724.0,44,True,2023-04-12 07:50:01,3.5.2,100.0,spacy,conda-forge/spacy,,,,59467.0,59467.0,https://pypi.org/project/spacy,5041119.0,5081641.0,https://anaconda.org/conda-forge/spacy,2023-04-18 13:03:09.405,3039174.0,,,,,1.0,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-05-11 14:10:18.000000,2023-05-11 11:29:01,17256.0,1257.0,4321.0,445.0,21189.0,2540.0,11249.0,25511.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,858.0,44,True,2023-04-25 17:27:57,ray-2.4.0,65.0,ray,conda-forge/ray-tune,,,,9394.0,9394.0,https://pypi.org/project/ray,2175765.0,2180035.0,https://anaconda.org/conda-forge/ray-tune,2023-05-07 11:02:29.508,123848.0,,,,,1.0,60.0,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-05-11 13:42:08.000000,2023-05-11 05:30:10,16040.0,1279.0,2072.0,305.0,9872.0,1144.0,3027.0,23084.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",534.0,44,True,2023-05-10 00:04:54,jax-v0.4.9,69.0,jax,conda-forge/jaxlib,,,,11549.0,11549.0,https://pypi.org/project/jax,4304639.0,4320410.0,https://anaconda.org/conda-forge/jaxlib,2023-04-26 20:52:50.319,725497.0,,,,,1.0,,,,,,,,,,,,,,,
17,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-05-11 13:27:56.000000,2023-05-11 10:04:04,3994.0,288.0,3239.0,288.0,5379.0,933.0,1949.0,14314.0,Open source platform for the machine learning lifecycle.,575.0,44,True,2023-04-28 09:17:05,2.3.1,67.0,mlflow,conda-forge/mlflow,,,,19047.0,19047.0,https://pypi.org/project/mlflow,10416117.0,10442399.0,https://anaconda.org/conda-forge/mlflow,2023-05-05 01:06:04.131,1287863.0,,,,,1.0,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-05-11 12:18:44.000000,2023-05-11 12:18:43,54177.0,841.0,3861.0,289.0,12359.0,4097.0,8380.0,10654.0,A computer algebra system written in pure Python.,1220.0,44,False,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,61190.0,61190.0,https://pypi.org/project/sympy,7712707.0,7756940.0,https://anaconda.org/conda-forge/sympy,2023-03-20 20:07:58.909,3360207.0,,,,,1.0,499337.0,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-05-11 13:13:33.000000,2023-05-10 21:24:29,6346.0,157.0,8034.0,916.0,4341.0,322.0,4480.0,24120.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",604.0,43,True,2023-03-30 18:30:05,1.7.5,50.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,55256.0,55256.0,https://pypi.org/project/xgboost,8801282.0,8853569.0,https://anaconda.org/conda-forge/xgboost,2023-03-17 07:46:42.740,3864922.0,,,,,1.0,6513.0,,,,,,,,,,,,,,
20,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24.000,2023-05-11 11:49:20.000000,2023-05-11 11:45:05,12187.0,67.0,4306.0,480.0,2923.0,555.0,4293.0,21480.0,Asynchronous task queue/job queue based on distributed message passing.,1276.0,43,False,2023-05-11 13:24:00,5.3.0rc1,39.0,celery,conda-forge/celery,,,,101161.0,101161.0,https://pypi.org/project/celery,6461757.0,6475931.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,1219001.0,,,,,1.0,,,,,,,,,,,,,,,
21,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-05-11 04:27:02.000000,2023-05-11 00:09:52,3268.0,95.0,3595.0,443.0,2896.0,257.0,2719.0,14950.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",282.0,43,True,2023-01-24 03:15:36,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,21429.0,21429.0,https://pypi.org/project/lightgbm,5910342.0,5937257.0,https://anaconda.org/conda-forge/lightgbm,2023-01-24 13:04:34.282,1702903.0,,,,,1.0,188984.0,,,,,,,,,,,,,,
22,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-05-11 12:36:50.000000,2023-05-09 11:20:55,3144.0,31.0,1650.0,256.0,1000.0,114.0,2192.0,10700.0,Statistical data visualization in Python.,197.0,43,True,2022-12-30 19:12:05,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,254919.0,254919.0,https://pypi.org/project/seaborn,8906475.0,8987809.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,6587950.0,,,,,1.0,244.0,,,,,,,,,,,,,,
23,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-05-10 21:15:45.000000,2023-05-10 17:38:34,5487.0,126.0,1534.0,190.0,4593.0,580.0,1184.0,6228.0,TensorFlows Visualization Toolkit.,299.0,43,True,2023-05-04 22:43:16,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],164621.0,164621.0,https://pypi.org/project/tensorboard,18509004.0,18568772.0,https://anaconda.org/conda-forge/tensorboard,2023-05-05 12:08:20.046,3944689.0,,,,,1.0,,,,,,,,,,,,,,,
24,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-05-11 07:33:20.000000,2023-05-10 18:22:54,8164.0,393.0,18441.0,1917.0,6366.0,290.0,11421.0,58291.0,Deep Learning for humans.,1182.0,42,True,2023-03-21 20:12:17,2.12.0,48.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,9858729.0,9896091.0,https://anaconda.org/conda-forge/keras,2023-03-25 02:52:58.755,3026369.0,,,,,2.0,,,,,,,,,,,,,,,
25,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-05-11 13:58:05.000000,2023-05-11 12:53:17,41678.0,1792.0,4984.0,728.0,36956.0,1005.0,15608.0,20217.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1027.0,42,True,2023-05-08 08:33:39,2.4.2,59.0,paddlepaddle,,,,['paddle'],239.0,239.0,https://pypi.org/project/paddlepaddle,126968.0,127157.0,,,,,,,,2.0,15350.0,,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-05-11 14:09:19.000000,2023-05-11 13:11:49,5082.0,312.0,1129.0,117.0,1747.0,308.0,1773.0,17266.0,"Wrap UIs around any model, share with anyone.",154.0,42,True,2023-05-09 15:55:43,3.29.0,100.0,gradio,,,,,6562.0,6562.0,https://pypi.org/project/gradio,3787131.0,3787131.0,,,,,,,,1.0,,,9.0,,,,,,,,,,,,
27,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-05-09 16:52:09.000000,2023-05-03 17:42:14,7281.0,97.0,2811.0,280.0,3280.0,178.0,2790.0,12619.0,Network Analysis in Python.,652.0,42,False,2023-04-04 20:05:38,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,156072.0,156072.0,https://pypi.org/project/networkx,25562455.0,25705763.0,https://anaconda.org/conda-forge/networkx,2023-04-05 11:11:39.426,11321361.0,,,,,1.0,64.0,,,,,,,,,,,,,,
28,Prefect,PrefectHQ/prefect,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000,2023-05-11 14:15:28.000000,2023-05-10 21:59:45,14459.0,556.0,1188.0,152.0,5327.0,467.0,3209.0,11896.0,The easiest way to orchestrate and observe your data pipelines.,149.0,42,True,2023-05-08 17:24:40,2.10.8,166.0,prefect,conda-forge/prefect,,,,2821.0,2821.0,https://pypi.org/project/prefect,606677.0,615451.0,https://anaconda.org/conda-forge/prefect,2023-05-08 21:49:30.135,438731.0,,,,,1.0,,,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-05-10 20:56:20.000000,2023-05-10 14:52:08,4438.0,125.0,1897.0,1712.0,4243.0,190.0,2466.0,10860.0,WebGL2 powered visualization framework.,224.0,42,True,2023-05-10 13:55:12,8.9.14,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],5830.0,5830.0,https://pypi.org/project/pydeck,1361706.0,1853573.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,354278.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,482783.0,,,,,,,,,
30,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-05-11 03:14:26.000000,2023-05-10 21:43:30,13523.0,117.0,2056.0,187.0,4094.0,477.0,1965.0,5390.0,Image processing in Python.,612.0,42,False,2023-02-28 23:32:35,0.20.0,21.0,scikit-image,conda-forge/scikit-image,,,,139310.0,139310.0,https://pypi.org/project/scikit-image,7244861.0,7304458.0,https://anaconda.org/conda-forge/scikit-image,2023-04-12 19:50:08.062,5006169.0,,,,,1.0,,,,,,,,,,,,,,,
31,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-05-05 07:10:29.000000,2023-04-26 20:13:33,6782.0,197.0,1815.0,407.0,936.0,701.0,796.0,18657.0,Data Apps & Dashboards for Python. No JavaScript Required.,135.0,41,True,2023-04-13 17:42:40,2.9.3,93.0,dash,conda-forge/dash,,,,45936.0,45936.0,https://pypi.org/project/dash,1605558.0,1621254.0,https://anaconda.org/conda-forge/dash,2023-04-14 05:50:33.991,941812.0,,,,,1.0,,,,,,,,,,,,,,,
32,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-05-11 11:55:47.000000,2023-05-11 07:44:57,31749.0,621.0,4187.0,347.0,5712.0,3.0,6640.0,16232.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",581.0,41,True,2023-05-10 16:44:29,3.4.11,100.0,rasa,,,,['tensorflow'],3305.0,3305.0,https://pypi.org/project/rasa,151366.0,151366.0,,,,,,,,1.0,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-05-11 11:59:05.000000,2023-05-11 10:00:26,2348.0,167.0,3438.0,431.0,2741.0,311.0,2013.0,14675.0,Open standard for machine learning interoperability.,277.0,41,True,2023-05-05 16:35:02,1.14.0,25.0,onnx,conda-forge/onnx,,,,14887.0,14887.0,https://pypi.org/project/onnx,3057338.0,3068489.0,https://anaconda.org/conda-forge/onnx,2023-05-11 09:18:18.751,717501.0,,,,,1.0,18789.0,,,,,,,,,,,,,,
34,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-05-11 11:28:15.000000,2023-04-29 19:41:03,4466.0,39.0,4132.0,430.0,1668.0,365.0,1434.0,14316.0,Topic Modelling for Humans.,446.0,41,True,2022-12-21 00:42:57,4.3.0,42.0,gensim,conda-forge/gensim,,,,45321.0,45321.0,https://pypi.org/project/gensim,4062552.0,4078021.0,https://anaconda.org/conda-forge/gensim,2023-03-28 02:35:38.702,1048751.0,,,,,1.0,4306.0,,,,,,,,,,,,,,
35,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-05-11 10:52:31.000000,2023-05-08 08:23:09,14441.0,6.0,2606.0,468.0,1417.0,228.0,1478.0,11930.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,440.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,192496.0,192496.0,https://pypi.org/project/nltk,9916689.0,9940772.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,1950784.0,,,,,1.0,,,,,,,,,,,,,,,
36,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-05-11 10:30:08.000000,2023-05-11 02:46:25,8697.0,288.0,1033.0,134.0,4865.0,560.0,3706.0,11498.0,Data Version Control | Git for Data & Models | ML Experiments Management.,283.0,41,True,2023-05-02 11:07:43,2.56.0,232.0,dvc,conda-forge/dvc,,,,7339.0,7339.0,https://pypi.org/project/dvc,688174.0,726281.0,https://anaconda.org/conda-forge/dvc,2023-05-02 16:16:47.633,1523036.0,,,,,1.0,109968.0,,,,,,dvc,dvc,dvc,,,,,,
37,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-05-11 05:28:10.000000,2023-05-10 21:30:20,7737.0,188.0,1577.0,212.0,5308.0,754.0,3973.0,10996.0,Parallel computing with task scheduling.,581.0,41,True,,,145.0,dask,conda-forge/dask,,,,48657.0,48657.0,https://pypi.org/project/dask,7057642.0,7162185.0,https://anaconda.org/conda-forge/dask,2023-04-28 21:15:18.554,8781669.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,
38,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-05-09 19:10:00.456000,2023-05-09 14:59:19,3491.0,113.0,693.0,148.0,1194.0,200.0,1588.0,8245.0,Declarative statistical visualization library for Python.,155.0,41,True,2023-05-09 15:04:23,5.0.0,22.0,altair,conda-forge/altair,,,,54757.0,54757.0,https://pypi.org/project/altair,11840895.0,11862360.0,https://anaconda.org/conda-forge/altair,2023-05-09 19:10:00.456,1760173.0,,,,,1.0,27.0,,,,,,,,,,,,,,
39,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-05-11 14:04:06.000000,2023-05-10 23:47:09,5504.0,228.0,2128.0,288.0,3320.0,630.0,2621.0,24577.0,Streamlit A faster way to build and share data apps.,177.0,40,True,2023-04-27 18:42:07,1.22.0,57.0,streamlit,,,,,733.0,733.0,https://pypi.org/project/streamlit,1753178.0,1753178.0,,,,,,,,1.0,,,,,,,,,,,,,,,
40,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2023-05-05 14:37:08.000000,2023-03-28 21:27:25,2659.0,43.0,7182.0,614.0,2176.0,147.0,1572.0,23893.0,The fastai deep learning library.,236.0,40,True,2023-03-28 20:28:42,2.7.12,49.0,fastai,,,,['pytorch'],13351.0,13351.0,https://pypi.org/project/fastai,254765.0,254765.0,,,,,,,,2.0,,,,,,,,,,,,,,,
41,Dagster,dagster-io/dagster,data-pipelines,,https://github.com/dagster-io/dagster,https://github.com/dagster-io/dagster,Apache-2.0,2018-04-30 16:30:04.000,2023-05-11 14:19:32.000000,2023-05-11 14:19:03,14421.0,1286.0,922.0,95.0,8377.0,1379.0,3941.0,7376.0,"An orchestration platform for the development, production, and observation of data assets.",309.0,40,True,2023-05-04 18:20:28,1.3.3,135.0,dagster,conda-forge/dagster,,,,1157.0,1157.0,https://pypi.org/project/dagster,511662.0,532415.0,https://anaconda.org/conda-forge/dagster,2023-05-04 23:24:19.010,871649.0,,,,,1.0,,,,,,,,,,,,,,,
